epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1
0,train,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.7310584783554077,0.2689414322376251,0.0,0.0
0,train,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7310584783554077,0.2689414322376251,0.0,0.0
0,val,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.7781601548194885,0.2218398600816726,0.0304503925144672,0.0304503832012414
0,val,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7326482534408569,0.2673516869544983,0.0053900000639259,0.0053900000639259
0,test,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.7781601548194885,0.2218398600816726,0.0304503925144672,0.0304503832012414
0,test,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7326482534408569,0.2673516869544983,0.0053900005295872,0.0053900005295872
50,train,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.1982347816228866,0.8017652034759521,0.268413633108139,0.268413633108139
50,train,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7315946817398071,0.2684052586555481,0.0290714520961046,0.0290714520961046
50,val,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.1984078288078308,0.8015921711921692,0.2685072124004364,0.268507182598114
50,val,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7320706844329834,0.2679293155670166,0.0211495459079742,0.0211495459079742
50,test,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.1984078288078308,0.8015921711921692,0.2685072124004364,0.268507182598114
50,test,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7320706844329834,0.2679293155670166,0.0211495459079742,0.0211495459079742
100,train,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2056346386671066,0.7943652868270874,0.2679564654827118,0.2679564356803894
100,train,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7272087931632996,0.2727911472320556,0.0461594574153423,0.0461594574153423
100,val,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2057155817747116,0.794284462928772,0.2679903507232666,0.2679903507232666
100,val,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7328899502754211,0.2671100497245788,0.0364080630242824,0.0364080630242824
100,test,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2057155817747116,0.794284462928772,0.2679903507232666,0.2679903507232666
100,test,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.7328899502754211,0.2671100497245788,0.0364080630242824,0.0364080630242824
150,train,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2003491222858429,0.7996507883071899,0.2681146562099457,0.2681146264076233
150,train,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.6604207754135132,0.3395792245864868,0.11788210272789,0.11788210272789
150,val,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2003205269575119,0.7996795177459717,0.2682647109031677,0.2682647109031677
150,val,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.6563180088996887,0.3436819911003113,0.1126460283994674,0.1126460283994674
150,test,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.2003205269575119,0.7996795177459717,0.2682647109031677,0.2682647109031677
150,test,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.6563180088996887,0.3436819911003113,0.1126460283994674,0.1126460283994674
200,train,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.1986577063798904,0.801342248916626,0.2681045532226562,0.2681045532226562
200,train,1,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 3]","[false, false]",0.656433641910553,0.3435663282871246,0.1294319629669189,0.1294319629669189
200,val,0,2,,,,"[10942, 2]","[10942, 2]",,"[10942, 2, 32]","[false, false]",0.1986431777477264,0.8013567924499512,0.2681006491184234,0.2681006789207458
