event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,2,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,0.5,0.5,0.5,0,0.07324457468442708,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,0.5,0.5,0.5,0,0.21513596316636605,,,,,,,,,,,,,,,,,,,
backward,0,train,2,0.005,3,,,,,,0.5,0.5,0.5,0,0.3007782451362841,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.41756755113601685,0.5824323892593384,,0.05451399087905884,0.05451399087905884,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4944637715816498,0.5055361986160278,,0.0037831775844097137,0.0037831785157322884,,,,,,,,,,,,
forward,0,val,2,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5224795937538147,0.4775204062461853,,0.0014672172255814075,0.001467215595766902,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.41756755113601685,0.5824323892593384,,0.05451399087905884,0.05451399087905884,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4944637715816498,0.5055361986160278,,0.00378317735157907,0.0037831785157322884,,,,,,,,,,,,
forward,0,test,2,0.005,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5224795937538147,0.4775204062461853,,0.001467216992750764,0.0014672159450128675,,,,,,,,,,,,
forward,50,train,0,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.15929223597049713,0.8407078385353088,,0.1628207117319107,0.1628207117319107,,,,,,,,,,,,
forward,50,train,1,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9133574366569519,0.08664251118898392,,0.05255508795380592,0.05255508795380592,,,,,,,,,,,,
forward,50,train,2,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.96361243724823,0.036387596279382706,,0.039371080696582794,0.039371080696582794,,,,,,,,,,,,
backward,50,train,0,0.0018,3,,,,,,0.5,0.5,0.5,0,0.0001230880461095782,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.0018,3,,,,,,0.5,0.5,0.5,0,0.0047077227555678645,,,,,,,,,,,,,,,,,,,
backward,50,train,2,0.0018,3,,,,,,0.5,0.5,0.5,0,0.013098940077527111,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.15952734649181366,0.8404726386070251,,0.16270646452903748,0.16270646452903748,,,,,,,,,,,,
forward,50,val,1,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9278027415275574,0.07219723612070084,,0.0013645561411976814,0.0013645576545968652,,,,,,,,,,,,
forward,50,val,2,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9789732694625854,0.02102671191096306,,4.3686144636012614e-05,4.36858827015385e-05,,,,,,,,,,,,
forward,50,test,0,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.15952734649181366,0.8404726386070251,,0.16270646452903748,0.16270646452903748,,,,,,,,,,,,
forward,50,test,1,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9278027415275574,0.07219723612070084,,0.0013645569561049342,0.001364557771012187,,,,,,,,,,,,
forward,50,test,2,0.0018,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9789732694625854,0.02102671191096306,,4.368640293250792e-05,4.368592635728419e-05,,,,,,,,,,,,
forward,100,train,0,0.000139968,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.164159893989563,0.835840106010437,,0.16071124374866486,0.16071124374866486,,,,,,,,,,,,
forward,100,train,1,0.000139968,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",0.5,0.5,0.5,1,,,,0.911777675151825,0.08822222799062729,,0.053628984838724136,0.05362898111343384,,,,,,,,,,,,
forward,100,train,2,0.000139968,3,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",0.5,0.5,0.5,1,,,,0.9614610075950623,0.03853902965784073,,0.03934973105788231,0.03934972733259201,,,,,,,,,,,,
