epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,val,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5191440582275391,0.4808559119701385,,0.0196444764733314,0.0196444783359766
0,val,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5025268793106079,0.4974730312824249,,0.0075342548079788,0.007534256670624
0,val,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.4971360862255096,0.5028640031814575,,0.0032745446078479,0.0032745422795414
0,test,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5191440582275391,0.4808559119701385,,0.0196444764733314,0.0196444783359766
0,test,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.5025268793106079,0.4974730312824249,,0.0075342548079788,0.007534256670624
0,test,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.4971360862255096,0.5028640031814575,,0.0032745446078479,0.0032745422795414
50,train,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.7723945379257202,0.2276054173707962,,0.1391878277063369,0.1391878277063369
50,train,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4384763240814209,0.5615236163139343,,0.181078165769577,0.181078165769577
50,train,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5156487822532654,0.484351247549057,,0.0632392093539238,0.0632392168045044
50,val,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.7714330554008484,0.2285669595003128,,0.1389407068490982,0.1389407217502594
50,val,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4371772706508636,0.562822699546814,,0.1850304156541824,0.1850304007530212
50,val,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5156772136688232,0.4843227863311767,,0.0626813545823097,0.0626813545823097
50,test,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.7714330554008484,0.2285669595003128,,0.1389407068490982,0.1389407217502594
50,test,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4371772706508636,0.562822699546814,,0.1850304156541824,0.1850304007530212
50,test,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5156772136688232,0.4843227863311767,,0.0626813545823097,0.0626813545823097
100,train,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8064367771148682,0.193563237786293,,0.1507591754198074,0.150759145617485
100,train,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4375995099544525,0.5624004006385803,,0.1765300333499908,0.1765300333499908
100,train,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5294784903526306,0.4705215394496918,,0.0783562138676643,0.0783562138676643
100,val,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8068506717681885,0.1931491494178772,,0.1508786231279373,0.1508786231279373
100,val,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4363850057125091,0.563615083694458,,0.1798033863306045,0.1798033714294433
100,val,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5298284888267517,0.4701715409755707,,0.0795261263847351,0.0795261263847351
100,test,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8068506717681885,0.1931491494178772,,0.1508786231279373,0.1508786231279373
100,test,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4363850057125091,0.563615083694458,,0.1798033863306045,0.1798033714294433
100,test,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5298284888267517,0.4701715409755707,,0.0795261263847351,0.0795261263847351
150,train,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8121196031570435,0.1878803223371505,,0.1523807495832443,0.1523807197809219
150,train,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4406492412090301,0.5593507289886475,,0.1706135869026184,0.1706135869026184
150,train,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5310298204421997,0.4689701497554779,,0.0819739550352096,0.0819739624857902
150,val,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8121592402458191,0.1878407895565033,,0.1523904353380203,0.1523904353380203
150,val,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4390541315078735,0.5609458684921265,,0.1745209842920303,0.1745209991931915
150,val,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5312610268592834,0.4687389731407165,,0.0839657261967659,0.0839657261967659
150,test,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8121592402458191,0.1878407895565033,,0.1523904353380203,0.1523904353380203
150,test,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4390541315078735,0.5609458684921265,,0.1745209842920303,0.1745209991931915
150,test,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5312610268592834,0.4687389731407165,,0.0839657261967659,0.0839657261967659
200,train,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8137955069541931,0.1862044632434845,,0.1528065949678421,0.1528065651655197
200,train,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4454018771648407,0.5545980930328369,,0.1641616076231002,0.1641616076231002
200,train,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5319705009460449,0.4680294692516327,,0.084763079881668,0.084763079881668
200,val,0,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.8138139843940735,0.1861860603094101,,0.1528101414442062,0.1528101414442062
200,val,1,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 64]","[false, false, false]",,0.4434249699115753,0.5565751194953918,,0.1681222915649414,0.1681222766637802
200,val,2,3,1.0,0.0,1.0,"[10942, 2]",,"[10942, 2]","[10942, 2, 3]","[false, false, false]",,0.5321081280708313,0.4678918719291687,,0.0874754637479782,0.0874754637479782
