event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
forward,0,train,1,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
forward,0,train,2,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
backward,0,train,0,0.005,2,,,,,,,,,0,0.00040548752379517656,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,,,,0,0.0010819730349404533,,,,,,,,,,,,,
backward,0,train,2,0.005,2,,,,,,,,,0,0.0007459357040410124,,,,,,,,,,,,,
forward,0,val,0,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7330199480056763,0.26697999238967896,0.0,0.0,,,,,,,,
forward,0,val,1,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7311673760414124,0.26883259415626526,1.8118023945135064e-05,1.808624256227631e-05,,,,,,,,
forward,0,val,2,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.728929877281189,0.2710701525211334,3.2016938348533586e-05,3.203245432814583e-05,,,,,,,,
forward,0,test,0,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7330199480056763,0.26697999238967896,0.0,0.0,,,,,,,,
forward,0,test,1,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7311673760414124,0.26883259415626526,1.8118023945135064e-05,1.808624256227631e-05,,,,,,,,
forward,0,test,2,0.005,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.728929877281189,0.2710701525211334,3.2016938348533586e-05,3.203245432814583e-05,,,,,,,,
forward,50,train,0,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.770805299282074,0.229194775223732,0.0,0.0,,,,,,,,
forward,50,train,1,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7750498652458191,0.2249501645565033,0.01701105572283268,0.01701105758547783,,,,,,,,
forward,50,train,2,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.7967583537101746,0.20324160158634186,0.023708688095211983,0.023708688095211983,,,,,,,,
backward,50,train,0,0.00108,2,,,,,,,,,0,0.0025702655465685838,,,,,,,,,,,,,
backward,50,train,1,0.00108,2,,,,,,,,,0,0.003898520678584829,,,,,,,,,,,,,
backward,50,train,2,0.00108,2,,,,,,,,,0,0.012996156668141946,,,,,,,,,,,,,
forward,50,val,0,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7708728313446045,0.22912715375423431,0.0,0.0,,,,,,,,
forward,50,val,1,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7754873037338257,0.2245127409696579,0.0032748589292168617,0.0032748295925557613,,,,,,,,
forward,50,val,2,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.798168420791626,0.20183150470256805,0.0058283149264752865,0.005828304681926966,,,,,,,,
forward,50,test,0,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7708728313446045,0.22912715375423431,0.0,0.0,,,,,,,,
forward,50,test,1,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7754873037338257,0.2245127409696579,0.0032748589292168617,0.0032748295925557613,,,,,,,,
forward,50,test,2,0.00108,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 4]","[false, false]",,,,0,,,0.798168420791626,0.20183150470256805,0.0058283149264752865,0.005828305147588253,,,,,,,,
forward,100,train,0,0.000139968,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7699470520019531,0.23005306720733643,0.0,0.0,,,,,,,,
forward,100,train,1,0.000139968,2,"[8285, 2]","[8285, 2]",,"[8285, 2, 32]","[false, false]",,,,0,,,0.7700105309486389,0.22998951375484467,0.01567756198346615,0.015677560120821,,,,,,,,
