epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,val,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.5049978494644165,0.4950021505355835,,0.0,0.0
0,val,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.4935643374919891,0.5064356327056885,,0.0001574184861965,0.0001574186608195
0,val,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.49605792760849,0.50394207239151,,8.162060839822516e-05,8.161472214851528e-05
0,test,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.5049978494644165,0.4950021505355835,,0.0,0.0
0,test,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.4935643374919891,0.5064356327056885,,0.0001574184861965,0.0001574186608195
0,test,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.49605792760849,0.50394207239151,,8.162060839822516e-05,8.161471487255767e-05
50,train,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.6334669589996338,0.3665330708026886,,0.0,0.0
50,train,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.3833905458450317,0.6166094541549683,,0.0131976064294576,0.0131976064294576
50,train,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.705193817615509,0.2948061823844909,,0.0358318537473678,0.0358318537473678
50,val,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.6343107223510742,0.3656893074512481,,0.0,0.0
50,val,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.3830715119838714,0.6169283986091614,,0.0020045998971909,0.0020045733544975
50,val,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.7060207724571228,0.2939791679382324,,0.007387803401798,0.0073878155089914
50,test,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.6343107223510742,0.3656893074512481,,0.0,0.0
50,test,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.3830715119838714,0.6169283986091614,,0.0020045998971909,0.0020045733544975
50,test,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.7060207724571228,0.2939791679382324,,0.007387803401798,0.0073878155089914
100,train,0,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.6496639251708984,0.3503358960151672,,0.0,0.0
100,train,1,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",,0.3824530243873596,0.6175470352172852,,0.0121315345168113,0.0121315354481339
100,train,2,3,0.1000000014901161,0.8999999761581421,0.1000000014901161,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",,0.7102445363998413,0.2897554636001587,,0.0348477438092231,0.0348477438092231
