event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,0.5,0.5,0.5,0,0.00044095942691170487,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,0.5,0.5,0.5,0,0.00034561515342992097,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5049996376037598,0.4950003921985626,,0.0,0.0,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4966517388820648,0.5033483505249023,,0.00023218207934405655,0.00023217085981741548,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.5049996376037598,0.4950003921985626,,0.0,0.0,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4966517388820648,0.5033483505249023,,0.00023218207934405655,0.00023217085981741548,,,,,,,,,,,,
forward,50,train,0,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4486887454986572,0.5513112545013428,,0.0,0.0,,,,,,,,,,,,
forward,50,train,1,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4842586815357208,0.5157412886619568,,0.003431999823078513,0.0034320007544010878,,,,,,,,,,,,
backward,50,train,0,0.003,3,,,,,,0.5,0.5,0.5,0,0.0011792447433012598,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.003,3,,,,,,0.5,0.5,0.5,0,0.0028259391587472983,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.45084020495414734,0.5491599440574646,,0.0,0.0,,,,,,,,,,,,
forward,50,val,1,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.48316583037376404,0.5168342590332031,,0.00048727489775046706,0.00048729139962233603,,,,,,,,,,,,
forward,50,test,0,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.45084020495414734,0.5491599440574646,,0.0,0.0,,,,,,,,,,,,
forward,50,test,1,0.003,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.48316583037376404,0.5168342590332031,,0.00048727489775046706,0.00048729139962233603,,,,,,,,,,,,
forward,100,train,0,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.488298237323761,0.511701762676239,,0.0,0.0,,,,,,,,,,,,
forward,100,train,1,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47409987449645996,0.52590012550354,,0.0034544472582638264,0.00345444749109447,,,,,,,,,,,,
backward,100,train,0,0.0003888,3,,,,,,0.5,0.5,0.5,0,0.0021778521274699097,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0003888,3,,,,,,0.5,0.5,0.5,0,0.002801279294790281,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4885634779930115,0.5114365816116333,,0.0,0.0,,,,,,,,,,,,
forward,100,val,1,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4742884933948517,0.5257115364074707,,0.0012463231105357409,0.0012463013408705592,,,,,,,,,,,,
forward,100,test,0,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4885634779930115,0.5114365816116333,,0.0,0.0,,,,,,,,,,,,
forward,100,test,1,0.0003888,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4742884933948517,0.5257115364074707,,0.0012463231105357409,0.0012463013408705592,,,,,,,,,,,,
forward,150,train,0,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.491517037153244,0.5084828734397888,,0.0,0.0,,,,,,,,,,,,
forward,150,train,1,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47442567348480225,0.5255743265151978,,0.003408225951716304,0.003408227115869522,,,,,,,,,,,,
backward,150,train,0,3.0233087999999994e-05,3,,,,,,0.5,0.5,0.5,0,0.002606821681478959,,,,,,,,,,,,,,,,,,,
backward,150,train,1,3.0233087999999994e-05,3,,,,,,0.5,0.5,0.5,0,0.004200306164686563,,,,,,,,,,,,,,,,,,,
forward,150,val,0,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.49154016375541687,0.5084599852561951,,0.0,0.0,,,,,,,,,,,,
forward,150,val,1,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4743690490722656,0.5256310105323792,,0.0012120601022616029,0.0012120669707655907,,,,,,,,,,,,
forward,150,test,0,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.49154016375541687,0.5084599852561951,,0.0,0.0,,,,,,,,,,,,
forward,150,test,1,3.0233087999999994e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4743690490722656,0.5256310105323792,,0.0012120601022616029,0.0012120669707655907,,,,,,,,,,,,
forward,200,train,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4920991063117981,0.5079008936882019,,0.0,0.0,,,,,,,,,,,,
forward,200,train,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47431594133377075,0.5256839990615845,,0.0033978649880737066,0.00339786265976727,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,0.5,0.5,0.5,0,0.0011867620700188992,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,0.5,0.5,0.5,0,0.00504980399509063,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.49210599064826965,0.5078939199447632,,0.0,0.0,,,,,,,,,,,,
forward,200,val,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47435349225997925,0.5256465077400208,,0.0012168075190857053,0.0012168006505817175,,,,,,,,,,,,
forward,200,test,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.49210599064826965,0.5078939199447632,,0.0,0.0,,,,,,,,,,,,
forward,200,test,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47435349225997925,0.5256465077400208,,0.0012168075190857053,0.0012168006505817175,,,,,,,,,,,,
forward,250,train,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4924435019493103,0.5075565576553345,,0.0,0.0,,,,,,,,,,,,
forward,250,train,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.47445064783096313,0.5255493521690369,,0.003361445153132081,0.003361445851624012,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,0.5,0.5,0.5,0,0.0017902007260265107,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,0.5,0.5,0.5,0,0.005339651110660889,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4924498498439789,0.507550060749054,,0.0,0.0,,,,,,,,,,,,
forward,250,val,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4743988513946533,0.5256011486053467,,0.0012072543613612652,0.0012072542449459434,,,,,,,,,,,,
forward,250,test,0,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 32]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4924498498439789,0.507550060749054,,0.0,0.0,,,,,,,,,,,,
forward,250,test,1,1e-05,3,"[8285, 2]",,"[8285, 2]","[8285, 2, 4]","[false, false, false]",0.5,0.5,0.5,1,,,,0.4743988513946533,0.5256011486053467,,0.0012072543613612652,0.0012072542449459434,,,,,,,,,,,,
