epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5761168599128723,0.211941584944725,0.211941584944725,0.0,0.0,0.0
0,train,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5761168599128723,0.211941584944725,0.211941584944725,0.0,0.0,0.0
0,train,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5761168599128723,0.211941584944725,0.211941584944725,0.0,0.0,0.0
0,val,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5732024312019348,0.2134016752243042,0.2133959382772445,0.0002428089501336,0.0001396777370246,0.0001449128903914
0,val,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5736803412437439,0.2131653577089309,0.2131543010473251,2.7002727165381657e-06,1.663276634644717e-06,1.4722212426931949e-06
0,val,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5736745595932007,0.2131627202033996,0.2131627202033996,9.783782672911913e-08,5.724276164187359e-08,5.3020542623016815e-08
0,test,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5732024312019348,0.2134016752243042,0.2133959382772445,0.0002428089501336,0.0001396777370246,0.0001449128903914
0,test,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5736803412437439,0.2131653577089309,0.2131543010473251,2.7002727165381657e-06,1.663276634644717e-06,1.4722212426931949e-06
0,test,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5736745595932007,0.2131627202033996,0.2131627202033996,9.783782672911913e-08,5.724276164187359e-08,5.3020542623016815e-08
50,train,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5446339845657349,0.2276763319969177,0.2276896387338638,4.748000264953589e-06,3.11867233904195e-06,3.4112194953195285e-06
50,train,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5448604822158813,0.2278238236904144,0.2273157238960266,1.2115583203353708e-08,1.5332352276686834e-08,1.6647389244894842e-08
50,train,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5446676015853882,0.2277178764343261,0.2276145070791244,0.0,0.0,0.0
50,val,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5444889068603516,0.227752074599266,0.2277590334415435,4.483700649871025e-06,3.0060666631470667e-06,3.1987149213819066e-06
50,val,1,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5447133779525757,0.2278899401426315,0.2273966372013092,2.3410466454265588e-08,1.752559875001225e-08,1.3678883803436293e-08
50,val,2,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 6]","[false, false, false]",0.5445154309272766,0.227783054113388,0.2277015298604965,0.0,0.0,0.0
50,test,0,3,,,,"[3327, 3]","[3327, 3]",,"[3327, 3, 64]","[false, false, false]",0.5444889068603516,0.227752074599266,0.2277590334415435,4.483700649871025e-06,3.0060666631470667e-06,3.1987149213819066e-06
