epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.7917243242263794,1.7903850078582764,1.7904733419418335,0.5666666666666667,0.456,0.427,0.005,0.456,0.427,0,Accuracy,higher,hpo,15
1,1.7903121709823608,1.7890597581863403,1.7892563343048096,0.6166666666666667,0.49,0.451,0.005,0.49,0.451,1,Accuracy,higher,hpo,15
2,1.787904977798462,1.7876453399658203,1.7879751920700073,0.65,0.504,0.467,0.005,0.504,0.467,2,Accuracy,higher,hpo,15
3,1.7865082025527954,1.7862967252731323,1.7867273092269897,0.6916666666666667,0.51,0.483,0.005,0.51,0.483,3,Accuracy,higher,hpo,15
4,1.7842180728912354,1.7848730087280273,1.7854254245758057,0.6916666666666667,0.526,0.495,0.005,0.526,0.495,4,Accuracy,higher,hpo,15
5,1.782476544380188,1.783427357673645,1.7841016054153442,0.7,0.54,0.501,0.005,0.54,0.501,5,Accuracy,higher,hpo,15
6,1.7815907001495361,1.78197181224823,1.7827717065811157,0.7,0.546,0.502,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
7,1.7778065204620361,1.7804546356201172,1.7814069986343384,0.6916666666666667,0.546,0.503,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
8,1.7770252227783203,1.778952717781067,1.7800568342208862,0.7083333333333334,0.54,0.503,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
9,1.774631381034851,1.7774176597595215,1.778683066368103,0.7,0.528,0.497,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
10,1.7733845710754395,1.7758209705352783,1.7772493362426758,0.6916666666666667,0.53,0.491,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
11,1.7728841304779053,1.7742440700531006,1.775823950767517,0.6916666666666667,0.528,0.493,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
12,1.7682719230651855,1.772639513015747,1.7743754386901855,0.6916666666666667,0.53,0.486,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
13,1.7686628103256226,1.7710260152816772,1.7729170322418213,0.675,0.526,0.486,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
14,1.7639999389648438,1.7693977355957031,1.771431803703308,0.675,0.524,0.483,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
15,1.7653119564056396,1.7678494453430176,1.7700002193450928,0.6666666666666666,0.522,0.483,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
16,1.7637743949890137,1.766347885131836,1.768591284751892,0.6666666666666666,0.526,0.484,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
17,1.7620681524276733,1.7648351192474365,1.7671655416488647,0.6666666666666666,0.53,0.487,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
18,1.7519694566726685,1.7632826566696167,1.7656981945037842,0.6583333333333333,0.532,0.491,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
19,1.7586630582809448,1.7617497444152832,1.7642549276351929,0.6583333333333333,0.534,0.496,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
20,1.7546366453170776,1.7602639198303223,1.7628495693206787,0.6583333333333333,0.54,0.502,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
21,1.7482037544250488,1.7586591243743896,1.7613638639450073,0.6416666666666667,0.54,0.505,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
22,1.753576397895813,1.7570998668670654,1.7599095106124878,0.6416666666666667,0.542,0.506,0.005,0.546,0.502,6,Accuracy,higher,hpo,15
