event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,0,train,1,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
backward,0,train,0,0.005,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
forward,0,val,0,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,0,val,1,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,0,test,0,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,0,test,1,0.005,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,50,train,0,0.00108,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 64]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
forward,50,train,1,0.00108,2,"[3327, 1]",,"[3327, 1]","[3327, 1, 6]","[false, false]",0.25,0.75,0.25,1,,,,1.0,,0.0,,,,,,,,
backward,50,train,0,0.00108,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
backward,50,train,1,0.00108,2,,,,,,0.25,0.75,0.25,0,,,,,,,,,,,,,,
