event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,0.25,0.75,0.25,0,1.768266872921941e-05,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,0.25,0.75,0.25,0,4.6818098245980725e-05,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.49741044640541077,0.5025895833969116,,0.0004043167282361537,0.0004043166700284928,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.5025047063827515,0.4974953234195709,,1.326584788330365e-05,1.326623805653071e-05,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.49741044640541077,0.5025895833969116,,0.0004043167282361537,0.0004043166700284928,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.5025047063827515,0.4974953234195709,,1.326584788330365e-05,1.326623805653071e-05,,,,,,,,,,,,
forward,50,train,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.43507999181747437,0.5649200081825256,,0.000618205638602376,0.0006182020297273993,,,,,,,,,,,,
forward,50,train,1,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 6]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4738823175430298,0.526117742061615,,0.0024952106177806854,0.002495209686458111,,,,,,,,,,,,
backward,50,train,0,0.005,3,,,,,,0.25,0.75,0.25,0,0.0012261702248456219,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.005,3,,,,,,0.25,0.75,0.25,0,0.002980786650230458,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.005,3,"[3327, 2]",,"[3327, 2]","[3327, 2, 64]","[false, false, false]",0.25,0.75,0.25,1,,,,0.4324949383735657,0.5675050616264343,,0.0006517282454296947,0.00065172731410712,,,,,,,,,,,,
