event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
forward,0,train,1,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
forward,0,train,2,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",,,,0,,,0.7310585379600525,0.2689414322376251,0.0,0.0,,,,,,,,
backward,0,train,0,0.005,2,,,,,,,,,0,0.17042873093767527,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,,,,0,0.6871413092088886,,,,,,,,,,,,,
backward,0,train,2,0.005,2,,,,,,,,,0,1.897769179854233,,,,,,,,,,,,,
forward,0,val,0,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7334387302398682,0.26656123995780945,0.0005852589965797961,0.0005852588801644742,,,,,,,,
forward,0,val,1,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7354121804237366,0.26458778977394104,0.0066473656333982944,0.00664736470207572,,,,,,,,
forward,0,val,2,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",,,,0,,,0.7142298221588135,0.2857701778411865,0.008071443997323513,0.008071442134678364,,,,,,,,
forward,0,test,0,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7334387302398682,0.26656123995780945,0.0005852589965797961,0.0005852588801644742,,,,,,,,
forward,0,test,1,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7354121804237366,0.26458778977394104,0.0066473656333982944,0.00664736470207572,,,,,,,,
forward,0,test,2,0.005,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",,,,0,,,0.7142298221588135,0.2857701778411865,0.008071443997323513,0.008071442134678364,,,,,,,,
forward,50,train,0,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.7648903727531433,0.23510949313640594,0.003199069295078516,0.0031990688294172287,,,,,,,,
forward,50,train,1,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.8099294900894165,0.19007055461406708,0.09730455279350281,0.09730455279350281,,,,,,,,
forward,50,train,2,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",,,,0,,,0.7535960078239441,0.24640394747257233,0.11098861694335938,0.11098861694335938,,,,,,,,
backward,50,train,0,0.003,2,,,,,,,,,0,0.03498127717366187,,,,,,,,,,,,,
backward,50,train,1,0.003,2,,,,,,,,,0,0.24595585377210516,,,,,,,,,,,,,
backward,50,train,2,0.003,2,,,,,,,,,0,0.37419791696091337,,,,,,,,,,,,,
forward,50,val,0,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.765226423740387,0.23477357625961304,0.0032046532724052668,0.003204652573913336,,,,,,,,
forward,50,val,1,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",,,,0,,,0.8294844627380371,0.17051559686660767,0.05454728379845619,0.054547276347875595,,,,,,,,
forward,50,val,2,0.003,2,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",,,,0,,,0.7992006540298462,0.20079930126667023,0.07584401965141296,0.07584401965141296,,,,,,,,
