epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1
0,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7310585379600525,0.2689414322376251,0.0,0.0
0,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7310585379600525,0.2689414322376251,0.0,0.0
0,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7310585379600525,0.2689414322376251,0.0,0.0
0,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7334387302398682,0.2665612399578094,0.0005852589965797,0.0005852588801644
0,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7354121804237366,0.264587789773941,0.0066473656333982,0.0066473647020757
0,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7142298221588135,0.2857701778411865,0.0080714439973235,0.0080714421346783
0,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7334387302398682,0.2665612399578094,0.0005852589965797,0.0005852588801644
0,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7354121804237366,0.264587789773941,0.0066473656333982,0.0066473647020757
0,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7142298221588135,0.2857701778411865,0.0080714439973235,0.0080714421346783
50,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7648903727531433,0.2351094931364059,0.0031990692950785,0.0031990688294172
50,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8099294900894165,0.190070554614067,0.0973045527935028,0.0973045527935028
50,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7535960078239441,0.2464039474725723,0.1109886169433593,0.1109886169433593
50,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.765226423740387,0.234773576259613,0.0032046532724052,0.0032046525739133
50,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8294844627380371,0.1705155968666076,0.0545472837984561,0.0545472763478755
50,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7992006540298462,0.2007993012666702,0.0758440196514129,0.0758440196514129
50,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.765226423740387,0.234773576259613,0.0032046532724052,0.0032046525739133
50,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8294844627380371,0.1705155968666076,0.0545472837984561,0.0545472763478755
50,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7992006540298462,0.2007993012666702,0.0758440196514129,0.0758440196514129
100,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7745103240013123,0.2254896461963653,0.0033098282292485,0.0033098268322646
100,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8167267441749573,0.1832732707262039,0.0969522967934608,0.0969522967934608
100,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7808857560157776,0.2191142439842224,0.1032415181398391,0.1032415181398391
100,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7745256423950195,0.2254742681980133,0.0033092759549617,0.0033092782832682
100,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8398356437683105,0.1601642966270446,0.0552297756075859,0.0552297756075859
100,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.819213330745697,0.1807866245508194,0.0720973536372184,0.0720973536372184
100,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7745256423950195,0.2254742681980133,0.0033092759549617,0.0033092782832682
100,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8398356437683105,0.1601642966270446,0.0552297756075859,0.0552297756075859
100,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.819213330745697,0.1807866245508194,0.0720973536372184,0.0720973536372184
150,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7750766277313232,0.2249234020709991,0.0032951477915048,0.0032951484899967
150,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8205735087394714,0.1794264763593673,0.0947856605052948,0.0947856605052948
150,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7898699045181274,0.2101301103830337,0.0978389233350753,0.0978389233350753
150,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7750808596611023,0.2249191403388977,0.003295112401247,0.0032951098401099
150,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8416017889976501,0.1583982408046722,0.0547773167490959,0.0547773130238056
150,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8226179480552673,0.1773819923400879,0.0701579824090004,0.0701579824090004
150,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7750808596611023,0.2249191403388977,0.003295112401247,0.0032951098401099
150,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8416017889976501,0.1583982408046722,0.0547773130238056,0.0547773130238056
150,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8226179480552673,0.1773819923400879,0.0701579824090004,0.0701579824090004
200,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751611471176147,0.224838837981224,0.0032930904999375,0.0032930907327681
200,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8199964761734009,0.1800034791231155,0.0982515960931778,0.0982515960931778
200,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7914959788322449,0.2085039764642715,0.0978375375270843,0.0978375375270843
200,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751621603965759,0.2248378247022628,0.0032930637244135,0.0032930651213973
200,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8419201970100403,0.1580797284841537,0.0547703653573989,0.0547703653573989
200,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8231489658355713,0.1768509149551391,0.0699254274368286,0.0699254274368286
200,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751621603965759,0.2248378247022628,0.0032930637244135,0.0032930651213973
200,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8419201970100403,0.1580797284841537,0.0547703653573989,0.0547703653573989
200,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8231489658355713,0.1768509149551391,0.0699254274368286,0.0699254274368286
250,train,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751820683479309,0.2248179018497467,0.0032911039888858,0.003291105153039
250,train,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8238977789878845,0.1761022061109542,0.0947712436318397,0.0947712361812591
250,train,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.7880284190177917,0.2119715362787246,0.0972443968057632,0.0972443968057632
250,val,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751825451850891,0.2248174548149109,0.0032910648733377,0.0032910637091845
250,val,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8420547246932983,0.1579453498125076,0.0547864623367786,0.0547864660620689
250,val,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8233472108840942,0.1766527891159057,0.0698626339435577,0.0698626339435577
250,test,0,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.7751825451850891,0.2248174548149109,0.0032910648733377,0.0032910637091845
250,test,1,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]",0.8420547246932983,0.1579453498125076,0.0547864660620689,0.0547864660620689
250,test,2,2,,,,"[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]",0.8233470916748047,0.1766527891159057,0.0698626339435577,0.0698626339435577
