epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9462693929672241,1.9405436515808105,1.9403761625289917,0.8357142857142857,0.68,0.687,0.005,0.68,0.687,0,Accuracy,higher,hpo,17
1,1.938543677330017,1.9362201690673828,1.9357961416244507,0.8857142857142857,0.706,0.71,0.005,0.706,0.71,1,Accuracy,higher,hpo,17
2,1.9310250282287598,1.931811809539795,1.9311543703079224,0.9071428571428571,0.724,0.723,0.005,0.724,0.723,2,Accuracy,higher,hpo,17
3,1.9235342741012573,1.9271568059921265,1.926245093345642,0.9071428571428571,0.73,0.727,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
4,1.9180890321731567,1.9224250316619873,1.9212526082992554,0.8857142857142857,0.728,0.729,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
5,1.9086556434631348,1.9174582958221436,1.916018009185791,0.8857142857142857,0.726,0.733,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
6,1.901397705078125,1.912240982055664,1.9105571508407593,0.8857142857142857,0.726,0.73,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
7,1.8934344053268433,1.906996250152588,1.9050320386886597,0.8857142857142857,0.724,0.725,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
8,1.8824694156646729,1.9014794826507568,1.8992445468902588,0.8928571428571429,0.72,0.722,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
9,1.8750392198562622,1.8957936763763428,1.8932758569717407,0.9071428571428571,0.726,0.722,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
10,1.8640267848968506,1.8898142576217651,1.8870067596435547,0.9,0.728,0.72,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
11,1.8596394062042236,1.8837367296218872,1.880611538887024,0.9071428571428571,0.724,0.724,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
12,1.8526968955993652,1.877604603767395,1.874117136001587,0.9,0.724,0.726,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
13,1.8387967348098755,1.8714648485183716,1.8676185607910156,0.9,0.724,0.724,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
14,1.838409423828125,1.8651105165481567,1.860890507698059,0.9142857142857143,0.724,0.725,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
15,1.8185774087905884,1.8585493564605713,1.8539375066757202,0.9142857142857143,0.722,0.726,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
16,1.8095670938491821,1.8517652750015259,1.8467698097229004,0.9142857142857143,0.726,0.727,0.005,0.73,0.727,3,Accuracy,higher,hpo,17
17,1.7974700927734375,1.8447179794311523,1.8393664360046387,0.9142857142857143,0.732,0.73,0.005,0.732,0.73,17,Accuracy,higher,hpo,17
18,1.7795392274856567,1.8374258279800415,1.8317081928253174,0.9142857142857143,0.736,0.73,0.005,0.736,0.73,18,Accuracy,higher,hpo,17
19,1.777325987815857,1.8298004865646362,1.8237512111663818,0.9142857142857143,0.736,0.734,0.005,0.736,0.73,18,Accuracy,higher,hpo,17
20,1.7604470252990723,1.8217400312423706,1.8154352903366089,0.9214285714285714,0.734,0.735,0.005,0.736,0.73,18,Accuracy,higher,hpo,17
21,1.7459871768951416,1.8135039806365967,1.8069658279418945,0.9214285714285714,0.734,0.737,0.005,0.736,0.73,18,Accuracy,higher,hpo,17
22,1.7395027875900269,1.805148959159851,1.798366904258728,0.9285714285714286,0.74,0.736,0.005,0.74,0.736,22,Accuracy,higher,hpo,17
23,1.7223155498504639,1.7967079877853394,1.7896782159805298,0.9428571428571428,0.746,0.739,0.005,0.746,0.739,23,Accuracy,higher,hpo,17
24,1.7133971452713013,1.7879844903945923,1.7807365655899048,0.95,0.75,0.742,0.005,0.75,0.742,24,Accuracy,higher,hpo,17
25,1.6973122358322144,1.7789207696914673,1.7714649438858032,0.9428571428571428,0.752,0.742,0.005,0.752,0.742,25,Accuracy,higher,hpo,17
26,1.686395287513733,1.7696667909622192,1.7620255947113037,0.9428571428571428,0.754,0.745,0.005,0.754,0.745,26,Accuracy,higher,hpo,17
27,1.6681221723556519,1.7603449821472168,1.7524964809417725,0.9357142857142857,0.756,0.743,0.005,0.756,0.743,27,Accuracy,higher,hpo,17
28,1.6634081602096558,1.7505532503128052,1.7425506114959717,0.9357142857142857,0.76,0.747,0.005,0.76,0.747,28,Accuracy,higher,hpo,17
29,1.6404963731765747,1.7405561208724976,1.7323508262634277,0.9285714285714286,0.762,0.747,0.005,0.762,0.747,29,Accuracy,higher,hpo,17
30,1.650753140449524,1.7308051586151123,1.7223529815673828,0.9285714285714286,0.762,0.748,0.005,0.762,0.747,29,Accuracy,higher,hpo,17
31,1.6055502891540527,1.7206532955169678,1.7119914293289185,0.9285714285714286,0.766,0.75,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
32,1.6030842065811157,1.7104774713516235,1.7016383409500122,0.9214285714285714,0.766,0.75,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
33,1.5768567323684692,1.700109839439392,1.6910475492477417,0.9142857142857143,0.764,0.749,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
34,1.5697377920150757,1.6896167993545532,1.680276870727539,0.9142857142857143,0.76,0.748,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
35,1.5641266107559204,1.6789889335632324,1.6693555116653442,0.9142857142857143,0.758,0.746,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
36,1.5281387567520142,1.6679552793502808,1.6579341888427734,0.9142857142857143,0.76,0.745,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
37,1.5120792388916016,1.656869649887085,1.6464499235153198,0.9142857142857143,0.756,0.746,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
38,1.4934513568878174,1.64529550075531,1.6345281600952148,0.9142857142857143,0.756,0.747,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
39,1.4799811840057373,1.6333359479904175,1.6222572326660156,0.9214285714285714,0.756,0.748,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
40,1.4607696533203125,1.6206746101379395,1.6093696355819702,0.9214285714285714,0.754,0.749,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
41,1.4516557455062866,1.6076281070709229,1.5961494445800781,0.9214285714285714,0.756,0.751,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
42,1.4176183938980103,1.594375729560852,1.5827163457870483,0.9214285714285714,0.754,0.753,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
43,1.3860055208206177,1.58091139793396,1.5690600872039795,0.9214285714285714,0.754,0.754,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
44,1.4128658771514893,1.5673454999923706,1.5553034543991089,0.9214285714285714,0.756,0.756,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
45,1.3489582538604736,1.5534394979476929,1.5412404537200928,0.9214285714285714,0.758,0.758,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
46,1.3584163188934326,1.5396919250488281,1.5273860692977905,0.9214285714285714,0.756,0.757,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
47,1.334299087524414,1.5258378982543945,1.5134295225143433,0.9142857142857143,0.756,0.756,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
48,1.3113130331039429,1.5121653079986572,1.4996529817581177,0.9142857142857143,0.756,0.753,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
49,1.317453384399414,1.498544454574585,1.4859209060668945,0.9142857142857143,0.752,0.749,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
50,1.234216332435608,1.4846789836883545,1.4719154834747314,0.9142857142857143,0.754,0.748,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
51,1.230934739112854,1.4706677198410034,1.4577863216400146,0.9071428571428571,0.76,0.748,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
52,1.2077893018722534,1.4567025899887085,1.443665862083435,0.9142857142857143,0.76,0.75,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
53,1.1996283531188965,1.442348599433899,1.4291298389434814,0.9142857142857143,0.754,0.75,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
54,1.2019675970077515,1.4281662702560425,1.4147377014160156,0.9142857142857143,0.752,0.75,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
55,1.1764261722564697,1.4138230085372925,1.4002665281295776,0.9142857142857143,0.752,0.749,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
56,1.1314164400100708,1.3994648456573486,1.3858574628829956,0.9142857142857143,0.756,0.748,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
57,1.1394214630126953,1.3850617408752441,1.3714567422866821,0.9142857142857143,0.758,0.747,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
58,1.1224972009658813,1.3707705736160278,1.3571845293045044,0.9142857142857143,0.756,0.749,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
59,1.0903619527816772,1.3568124771118164,1.3432427644729614,0.9071428571428571,0.754,0.751,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
60,1.0413818359375,1.3427412509918213,1.329184889793396,0.9142857142857143,0.75,0.753,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
61,1.063693881034851,1.3289966583251953,1.3155275583267212,0.9214285714285714,0.756,0.755,0.005,0.766,0.75,31,Accuracy,higher,hpo,17
