event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,1.0,0.0,1.0,0,1.9713133147833385e-05,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,1.0,0.0,1.0,0,0.00016052367525418257,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5024572610855103,0.49754270911216736,,0.0006850522477179766,0.0006850528880022466,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5025124549865723,0.49748754501342773,,1.9569288269849494e-05,1.9569346477510408e-05,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5024572610855103,0.49754270911216736,,0.0006850522477179766,0.0006850528880022466,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5025124549865723,0.49748754501342773,,1.9569288269849494e-05,1.9569346477510408e-05,,,,,,,,,,,,
forward,50,train,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5941600799560547,0.40583986043930054,,0.005713021848350763,0.005713020917028189,,,,,,,,,,,,
forward,50,train,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.390455424785614,0.609544575214386,,0.006589493248611689,0.006589497905224562,,,,,,,,,,,,
backward,50,train,0,0.005,3,,,,,,1.0,0.0,1.0,0,0.0028777294573708164,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.005,3,,,,,,1.0,0.0,1.0,0,0.0011183505456250765,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5974321365356445,0.40256792306900024,,0.005876448936760426,0.005876447539776564,,,,,,,,,,,,
forward,50,val,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.38770151138305664,0.6122984290122986,,0.006727432366460562,0.00672743609175086,,,,,,,,,,,,
forward,50,test,0,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5974321365356445,0.40256792306900024,,0.005876448936760426,0.005876447539776564,,,,,,,,,,,,
forward,50,test,1,0.005,3,"[2708, 2]",,"[2708, 2]","[2708, 2, 7]","[false, false, false]",1.0,0.0,1.0,1,,,,0.38770151138305664,0.6122984290122986,,0.006727432366460562,0.00672743609175086,,,,,,,,,,,,
