epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1
0,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.7310585975646973,0.2689414322376251,0.0,0.0
0,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.7310585975646973,0.2689414322376251,0.0,0.0
0,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.7320311069488525,0.2679688930511474,0.0060405978001654,0.0060405973345041
0,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.7311105728149414,0.2688894867897033,0.0001744001929182,0.0001744012406561
0,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.7320311069488525,0.2679688930511474,0.0060405978001654,0.0060405973345041
0,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.7311105728149414,0.2688894867897033,0.0001744001929182,0.0001744012406561
50,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9396438002586364,0.0603561624884605,0.0316686555743217,0.031668659299612
50,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9168234467506408,0.0831764936447143,0.0417708121240139,0.0417708121240139
50,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9398115277290344,0.0601884871721267,0.0315893627703189,0.0315893590450286
50,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9213135838508606,0.0786864534020423,0.0338804498314857,0.0338804498314857
50,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9398115277290344,0.0601884871721267,0.0315893627703189,0.0315893590450286
50,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9213135838508606,0.0786864534020423,0.0338804498314857,0.0338804498314857
100,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9434133768081664,0.0565866418182849,0.0297350995242595,0.0297350957989692
100,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9272964000701904,0.0727036744356155,0.0386018007993698,0.0386018045246601
100,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943435788154602,0.0565641894936561,0.029722012579441,0.0297220069915056
100,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9321069717407228,0.0678930580615997,0.029532503336668,0.0295325014740228
100,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943435788154602,0.0565641894936561,0.029722012579441,0.0297220069915056
100,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9321069717407228,0.0678930580615997,0.029532503336668,0.0295325014740228
150,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9437900185585022,0.0562099851667881,0.0295211747288703,0.0295211765915155
150,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9282866716384888,0.0717133060097694,0.0378120392560958,0.0378120392560958
150,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943792164325714,0.0562078207731246,0.0295200236141681,0.0295200254768133
150,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9327539205551147,0.0672460719943046,0.029284743592143,0.029284743592143
150,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943792164325714,0.0562078207731246,0.0295200236141681,0.0295200254768133
150,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9327539205551147,0.0672460719943046,0.029284743592143,0.029284743592143
200,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9438490867614746,0.0561508610844612,0.0294858943670988,0.0294858943670988
200,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9280251264572144,0.071974903345108,0.0380467027425766,0.0380467064678669
200,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943850040435791,0.0561499893665313,0.0294853523373603,0.0294853523373603
200,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9328793883323668,0.06712057441473,0.0292308907955884,0.0292308907955884
200,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.943850040435791,0.0561499893665313,0.0294853523373603,0.0294853523373603
200,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9328793883323668,0.06712057441473,0.0292308907955884,0.0292308907955884
250,train,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9439045190811156,0.0560955181717872,0.0294537805020809,0.0294537842273712
250,train,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9282398223876952,0.0717602223157882,0.0380747728049755,0.0380747728049755
250,val,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9439060091972352,0.0560940206050872,0.02945302054286,0.0294530242681503
250,val,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9329872727394104,0.0670126974582672,0.0291841980069875,0.0291841980069875
250,test,0,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 32]","[false, false]",0.9439060091972352,0.0560940206050872,0.02945302054286,0.0294530242681503
250,test,1,2,,,,"[11616, 2]","[11616, 2]",,"[11616, 2, 3]","[false, false]",0.9329872727394104,0.0670126974582672,0.0291841980069875,0.0291841980069875
