event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5761169195175171,0.21194155514240265,0.21194155514240265,0.0,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5761169195175171,0.21194155514240265,0.21194155514240265,0.0,0.0,0.0,,,,,,,,,,,,
forward,0,train,2,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",,,,0,,,0.5761169195175171,0.21194155514240265,0.21194155514240265,0.0,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,,,,0,0.06695645962310268,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,,,,0,0.20463388833130236,,,,,,,,,,,,,,,,,,,
backward,0,train,2,0.005,3,,,,,,,,,0,0.33743640515064166,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5812445282936096,0.20880378782749176,0.20995169878005981,0.005879734177142382,0.003785505425184965,0.0038730204105377197,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5764733552932739,0.2124233990907669,0.21110323071479797,0.008749455213546753,0.00571663212031126,0.006047803908586502,,,,,,,,,,,,
forward,0,val,2,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",,,,0,,,0.5537582635879517,0.22041940689086914,0.2258222997188568,0.0066878036595880985,0.003847577841952443,0.004994634073227644,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5812445282936096,0.20880378782749176,0.20995169878005981,0.005879734177142382,0.003785505425184965,0.0038730204105377197,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.5764733552932739,0.2124233990907669,0.21110323071479797,0.008749455213546753,0.00571663212031126,0.006047803908586502,,,,,,,,,,,,
forward,0,test,2,0.005,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",,,,0,,,0.5537582635879517,0.22041940689086914,0.2258222997188568,0.0066878036595880985,0.003847577841952443,0.004994634073227644,,,,,,,,,,,,
forward,50,train,0,0.00108,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.6756093502044678,0.1842433214187622,0.1401473432779312,0.04159493371844292,0.026077736169099808,0.02200583554804325,,,,,,,,,,,,
forward,50,train,1,0.00108,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 64]","[false, false, false]",,,,0,,,0.7440391778945923,0.20742598176002502,0.04853486642241478,0.09485939145088196,0.0859331488609314,0.04046333208680153,,,,,,,,,,,,
forward,50,train,2,0.00108,3,"[11616, 3]","[11616, 3]",,"[11616, 3, 3]","[false, false, false]",,,,0,,,0.8176893591880798,0.09751257300376892,0.08479811251163483,0.11442697793245316,0.05508572608232498,0.0632728636264801,,,,,,,,,,,,
backward,50,train,0,0.00108,3,,,,,,,,,0,0.016951628476537965,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.00108,3,,,,,,,,,0,0.022063815466621575,,,,,,,,,,,,,,,,,,,
