event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7310582995414734,0.26894158124923706,0.0,0.0,,,,,,,,
forward,0,train,1,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7310582995414734,0.26894158124923706,0.0,0.0,,,,,,,,
forward,0,train,2,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.7310582995414734,0.26894158124923706,0.0,0.0,,,,,,,,
backward,0,train,0,0.005,2,,,,,,,,,0,0.012887361136287915,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,,,,0,0.0015349012226136154,,,,,,,,,,,,,
backward,0,train,2,0.005,2,,,,,,,,,0,0.0007897423037279966,,,,,,,,,,,,,
forward,0,val,0,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7751264572143555,0.22487349808216095,0.03619232028722763,0.03619231656193733,,,,,,,,
forward,0,val,1,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7339563369750977,0.26604366302490234,0.0012744980631396174,0.0012745086569339037,,,,,,,,
forward,0,val,2,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.7283620238304138,0.2716379463672638,0.0002600768057163805,0.00026006565894931555,,,,,,,,
forward,0,test,0,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7751264572143555,0.22487349808216095,0.03619232028722763,0.03619231656193733,,,,,,,,
forward,0,test,1,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.7339563369750977,0.26604366302490234,0.0012744980631396174,0.0012745086569339037,,,,,,,,
forward,0,test,2,0.005,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.7283620238304138,0.2716379463672638,0.0002600768057163805,0.00026006560074165463,,,,,,,,
forward,50,train,0,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9952683448791504,0.004731594584882259,0.0103943832218647,0.01039438508450985,,,,,,,,
forward,50,train,1,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.965829610824585,0.03417028859257698,0.03570949658751488,0.03570948913693428,,,,,,,,
forward,50,train,2,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.8953962922096252,0.10460368543863297,0.08502523601055145,0.08502523601055145,,,,,,,,
backward,50,train,0,0.0018,2,,,,,,,,,0,0.0067904542737782445,,,,,,,,,,,,,
backward,50,train,1,0.0018,2,,,,,,,,,0,0.06848172418846175,,,,,,,,,,,,,
backward,50,train,2,0.0018,2,,,,,,,,,0,0.07301959052421095,,,,,,,,,,,,,
forward,50,val,0,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9952867031097412,0.004713308531790972,0.010364944115281105,0.010364940389990807,,,,,,,,
forward,50,val,1,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9737622737884521,0.026237621903419495,0.02052677422761917,0.02052677795290947,,,,,,,,
forward,50,val,2,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9104468822479248,0.08955305069684982,0.06173611059784889,0.0617360882461071,,,,,,,,
forward,50,test,0,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9952867031097412,0.004713308531790972,0.010364944115281105,0.010364940389990807,,,,,,,,
forward,50,test,1,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9737622737884521,0.026237621903419495,0.02052677422761917,0.02052677795290947,,,,,,,,
forward,50,test,2,0.0018,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9104468822479248,0.08955305069684982,0.06173611059784889,0.0617360882461071,,,,,,,,
forward,100,train,0,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957551956176758,0.004244659561663866,0.009591666981577873,0.009591666981577873,,,,,,,,
forward,100,train,1,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9684454798698425,0.03155452385544777,0.03644334897398949,0.03644334524869919,,,,,,,,
forward,100,train,2,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9063224196434021,0.09367750585079193,0.08094322681427002,0.08094324916601181,,,,,,,,
backward,100,train,0,0.000139968,2,,,,,,,,,0,0.005379584133492801,,,,,,,,,,,,,
backward,100,train,1,0.000139968,2,,,,,,,,,0,0.022306174524234453,,,,,,,,,,,,,
backward,100,train,2,0.000139968,2,,,,,,,,,0,0.05256727286279594,,,,,,,,,,,,,
forward,100,val,0,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957560300827026,0.004243943840265274,0.009590431116521358,0.009590426459908485,,,,,,,,
forward,100,val,1,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9763823747634888,0.023617593571543694,0.020128706470131874,0.020128710195422173,,,,,,,,
forward,100,val,2,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9168896079063416,0.08311039209365845,0.06686018407344818,0.06686017662286758,,,,,,,,
forward,100,test,0,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957560300827026,0.004243943840265274,0.009590431116521358,0.009590426459908485,,,,,,,,
forward,100,test,1,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9763823747634888,0.023617593571543694,0.020128706470131874,0.020128710195422173,,,,,,,,
forward,100,test,2,0.000139968,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9168896079063416,0.08311039209365845,0.06686018407344818,0.06686017662286758,,,,,,,,
forward,150,train,0,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957357048988342,0.004264263901859522,0.009612906724214554,0.009612911380827427,,,,,,,,
forward,150,train,1,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9678389430046082,0.03216101601719856,0.037901490926742554,0.03790149465203285,,,,,,,,
forward,150,train,2,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9100925326347351,0.08990748226642609,0.0711258053779602,0.07112578302621841,,,,,,,,
backward,150,train,0,1.0883911679999998e-05,2,,,,,,,,,0,0.004438314609654077,,,,,,,,,,,,,
backward,150,train,1,1.0883911679999998e-05,2,,,,,,,,,0,0.04046924574372604,,,,,,,,,,,,,
backward,150,train,2,1.0883911679999998e-05,2,,,,,,,,,0,0.07636263350415604,,,,,,,,,,,,,
forward,150,val,0,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957360029220581,0.004263965412974358,0.009612449444830418,0.009612446650862694,,,,,,,,
forward,150,val,1,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9767859578132629,0.02321411482989788,0.020054126158356667,0.020054113119840622,,,,,,,,
forward,150,val,2,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9178745150566101,0.0821254625916481,0.06733228266239166,0.06733224540948868,,,,,,,,
forward,150,test,0,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957360029220581,0.004263965412974358,0.009612449444830418,0.009612446650862694,,,,,,,,
forward,150,test,1,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9767859578132629,0.02321411482989788,0.020054126158356667,0.020054113119840622,,,,,,,,
forward,150,test,2,1.0883911679999998e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9178745150566101,0.0821254625916481,0.06733228266239166,0.06733224540948868,,,,,,,,
forward,200,train,0,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957360029220581,0.004263968672603369,0.009612665511667728,0.009612674824893475,,,,,,,,
forward,200,train,1,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9682841300964355,0.03171583265066147,0.035282209515571594,0.0352821983397007,,,,,,,,
forward,200,train,2,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9072961807250977,0.09270376712083817,0.08279407769441605,0.08279408514499664,,,,,,,,
backward,200,train,0,1e-05,2,,,,,,,,,0,0.002993872579240102,,,,,,,,,,,,,
backward,200,train,1,1e-05,2,,,,,,,,,0,0.03145646486278232,,,,,,,,,,,,,
backward,200,train,2,1e-05,2,,,,,,,,,0,0.08600101767268861,,,,,,,,,,,,,
forward,200,val,0,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957355856895447,0.004264283459633589,0.009613157249987125,0.009613157249987125,,,,,,,,
forward,200,val,1,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9768390655517578,0.023160947486758232,0.020060651004314423,0.020060649141669273,,,,,,,,
forward,200,val,2,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 5]","[false, false]",,,,0,,,0.9180677533149719,0.08193206042051315,0.0673004537820816,0.06730044633150101,,,,,,,,
forward,200,test,0,1e-05,2,"[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]",,,,0,,,0.9957355856895447,0.004264283459633589,0.009613157249987125,0.009613157249987125,,,,,,,,
