epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
0,train,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,train,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.5,0.5,,0.0,0.0
0,val,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.5856358408927917,0.4143641293048858,,0.0531807839870452,0.053180769085884
0,val,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.4780265092849731,0.5219734907150269,,0.0065198978409171,0.0065199080854654
0,val,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.4991056323051452,0.50089430809021,,0.0038617453537881,0.0038617558311671
0,test,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.5856358408927917,0.4143641293048858,,0.0531807839870452,0.053180769085884
0,test,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.4780265092849731,0.5219734907150269,,0.0065198978409171,0.0065199080854654
0,test,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.4991056323051452,0.50089430809021,,0.0038617453537881,0.0038617558311671
50,train,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.9037141799926758,0.0962858572602272,,0.0946019664406776,0.0946019738912582
