event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
forward,0,train,2,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.5,0.5,,0.0,0.0,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,1.0,0.0,1.0,0,0.007633646109254605,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,1.0,0.0,1.0,0,0.0016683877403140524,,,,,,,,,,,,,,,,,,,
backward,0,train,2,0.005,3,,,,,,1.0,0.0,1.0,0,0.0006316170917992545,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.551192581653595,0.44880741834640503,,0.05487223342061043,0.054872263222932816,,,,,,,,,,,,
forward,0,val,1,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.49634379148483276,0.5036561489105225,,0.0015425761230289936,0.0015425669262185693,,,,,,,,,,,,
forward,0,val,2,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4996393620967865,0.5003606081008911,,0.0022153689060360193,0.002215371700003743,,,,,,,,,,,,
forward,0,test,0,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.551192581653595,0.44880741834640503,,0.05487223342061043,0.054872263222932816,,,,,,,,,,,,
forward,0,test,1,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.49634379148483276,0.5036561489105225,,0.0015425761230289936,0.0015425669262185693,,,,,,,,,,,,
forward,0,test,2,0.005,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4996393620967865,0.5003606081008911,,0.0022153689060360193,0.002215371932834387,,,,,,,,,,,,
forward,50,train,0,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.8367579579353333,0.16324195265769958,,0.1815142035484314,0.1815141886472702,,,,,,,,,,,,
forward,50,train,1,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3600143492221832,0.6399857401847839,,0.14229054749011993,0.14229054749011993,,,,,,,,,,,,
forward,50,train,2,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.49209684133529663,0.5079032182693481,,0.04096164181828499,0.04096163436770439,,,,,,,,,,,,
backward,50,train,0,0.0018,3,,,,,,1.0,0.0,1.0,0,0.02513442598005814,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.0018,3,,,,,,1.0,0.0,1.0,0,0.05553259145650276,,,,,,,,,,,,,,,,,,,
backward,50,train,2,0.0018,3,,,,,,1.0,0.0,1.0,0,0.13309095722568282,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.835259199142456,0.1647406965494156,,0.1824992150068283,0.1824992150068283,,,,,,,,,,,,
forward,50,val,1,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3499701917171478,0.650029718875885,,0.14071062207221985,0.14071062207221985,,,,,,,,,,,,
forward,50,val,2,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4943971335887909,0.5056028366088867,,0.016514655202627182,0.01651465706527233,,,,,,,,,,,,
forward,50,test,0,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.835259199142456,0.1647406965494156,,0.1824992150068283,0.1824992150068283,,,,,,,,,,,,
forward,50,test,1,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3499701917171478,0.650029718875885,,0.14071062207221985,0.14071062207221985,,,,,,,,,,,,
forward,50,test,2,0.0018,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4943971335887909,0.5056028366088867,,0.01651465892791748,0.016514655202627182,,,,,,,,,,,,
forward,100,train,0,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7998668551445007,0.20013315975666046,,0.20077088475227356,0.20077088475227356,,,,,,,,,,,,
forward,100,train,1,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3780220150947571,0.6219778060913086,,0.125840425491333,0.12584041059017181,,,,,,,,,,,,
forward,100,train,2,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4784857928752899,0.5215141177177429,,0.04767956584692001,0.04767957702279091,,,,,,,,,,,,
backward,100,train,0,0.00023328,3,,,,,,1.0,0.0,1.0,0,0.03696438573304273,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.00023328,3,,,,,,1.0,0.0,1.0,0,0.13128300590040942,,,,,,,,,,,,,,,,,,,
backward,100,train,2,0.00023328,3,,,,,,1.0,0.0,1.0,0,0.09874674252109503,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7994011044502258,0.2005987912416458,,0.20087870955467224,0.20087870955467224,,,,,,,,,,,,
forward,100,val,1,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.37167081236839294,0.628329336643219,,0.12425722181797028,0.12425720691680908,,,,,,,,,,,,
forward,100,val,2,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.477161169052124,0.522838830947876,,0.03207399696111679,0.0320739820599556,,,,,,,,,,,,
forward,100,test,0,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7994011044502258,0.2005987912416458,,0.20087870955467224,0.20087870955467224,,,,,,,,,,,,
forward,100,test,1,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.37167081236839294,0.628329336643219,,0.12425722181797028,0.12425720691680908,,,,,,,,,,,,
forward,100,test,2,0.00023328,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.477161169052124,0.522838830947876,,0.03207399696111679,0.0320739820599556,,,,,,,,,,,,
forward,150,train,0,1.8139852799999997e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7934901118278503,0.2065098136663437,,0.2023063451051712,0.2023063600063324,,,,,,,,,,,,
forward,150,train,1,1.8139852799999997e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.375889390707016,0.6241108179092407,,0.12809371948242188,0.12809373438358307,,,,,,,,,,,,
forward,150,train,2,1.8139852799999997e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4830978214740753,0.5169021487236023,,0.04535553976893425,0.04535556584596634,,,,,,,,,,,,
backward,150,train,0,1.8139852799999997e-05,3,,,,,,1.0,0.0,1.0,0,0.0307460935417196,,,,,,,,,,,,,,,,,,,
backward,150,train,1,1.8139852799999997e-05,3,,,,,,1.0,0.0,1.0,0,0.05398082995596472,,,,,,,,,,,,,,,,,,,
backward,150,train,2,1.8139852799999997e-05,3,,,,,,1.0,0.0,1.0,0,0.1077929115193063,,,,,,,,,,,,,,,,,,,
