launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,0,0,"{""alpha"": 0.3, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 3}",0.546,0.162,3,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_000/seed_0/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,1,1,"{""alpha"": 0.03, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2}",0.78,0.794,34,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_001/seed_1/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,2,2,"{""alpha"": 1.0, ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 32, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2}",0.808,0.786,11,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_002/seed_2/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,3,3,"{""alpha"": 1.0, ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 50000, ""num_layers"": 2}",0.768,0.769,4,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_003/seed_3/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,4,4,"{""alpha"": 0.5, ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 64, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2}",0.782,0.765,21,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_004/seed_4/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,5,5,"{""alpha"": 0.03, ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 3}",0.746,0.766,135,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_005/seed_5/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,6,6,"{""alpha"": 1.0, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 25000, ""num_layers"": 3}",0.796,0.776,5,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_006/seed_6/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,7,7,"{""alpha"": 1.0, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 32, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 25000, ""num_layers"": 3}",0.79,0.776,201,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_007/seed_7/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,8,8,"{""alpha"": 0.03, ""dropout"": 0.7, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 3}",0.784,0.809,74,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_008/seed_8/run_0
20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant,Cora,GLANT_v1,9,9,"{""alpha"": 0.03, ""dropout"": 0.3, ""heads"": 4, ""hidden_channels"": 64, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 50000, ""num_layers"": 2}",0.764,0.74,87,Accuracy,higher,results/launches/20260429T062912_hpo_cora-citeseer-texas-aifb-imdb-acm_glant/raw/Cora/GLANT_v1/hpo_trial_009/seed_9/run_0
