epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.0997909307479858,2.133227825164795,2.0355916023254395,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.30386740331491713,0.31964117091595845,0,Accuracy,higher,final,1
1,1.8504573106765747,1.9425841569900513,1.8726310729980469,0.3774104683195592,0.3314917127071823,0.3432483474976393,0.005,0.3314917127071823,0.3432483474976393,1,Accuracy,higher,final,1
2,1.7689578533172607,1.0508142709732056,1.048431158065796,0.38154269972451793,0.3314917127071823,0.34796978281397545,0.005,0.3314917127071823,0.3432483474976393,1,Accuracy,higher,final,1
3,1.0342936515808105,1.3593655824661255,1.4025096893310547,0.29476584022038566,0.36464088397790057,0.3371104815864023,0.005,0.36464088397790057,0.3371104815864023,3,Accuracy,higher,final,1
4,1.4899864196777344,1.293612003326416,1.3281627893447876,0.29476584022038566,0.36464088397790057,0.3371104815864023,0.005,0.36464088397790057,0.3371104815864023,3,Accuracy,higher,final,1
5,1.3902578353881836,1.1037609577178955,1.1126917600631714,0.5413223140495868,0.5303867403314917,0.550519357884797,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
6,1.127176284790039,1.0891293287277222,1.0743236541748047,0.3622589531680441,0.3314917127071823,0.3493862134088763,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
7,1.0425488948822021,1.2063305377960205,1.1763408184051514,0.41460055096418735,0.35911602209944754,0.37016052880075545,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
8,1.1180652379989624,1.2997181415557861,1.263511300086975,0.3774104683195592,0.3314917127071823,0.3437204910292729,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
9,1.2011611461639404,1.2810611724853516,1.2458341121673584,0.3787878787878788,0.3314917127071823,0.34419263456090654,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
10,1.1787198781967163,1.1956466436386108,1.1662338972091675,0.5619834710743802,0.5248618784530387,0.5203021718602455,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
11,1.1060236692428589,1.1213905811309814,1.1004045009613037,0.546831955922865,0.5138121546961326,0.503777148253069,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
12,1.0529065132141113,1.0771405696868896,1.065217137336731,0.34297520661157027,0.32044198895027626,0.330028328611898,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
13,1.031148910522461,1.0449694395065308,1.0414456129074097,0.3347107438016529,0.30939226519337015,0.32341831916902736,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
14,1.0256779193878174,1.0192432403564453,1.0226671695709229,0.4297520661157025,0.40331491712707185,0.4164305949008499,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
15,1.0284000635147095,1.0020126104354858,1.0102806091308594,0.4132231404958678,0.48066298342541436,0.43626062322946174,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
16,1.01813805103302,0.9913859367370605,1.0017486810684204,0.3181818181818182,0.3867403314917127,0.35127478753541075,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
17,1.021127700805664,0.9862630367279053,0.9959399700164795,0.4765840220385675,0.5138121546961326,0.4763928234183192,0.005,0.5303867403314917,0.550519357884797,5,Accuracy,higher,final,1
18,0.9998238682746887,0.98468017578125,0.9915871620178223,0.6046831955922864,0.56353591160221,0.5915958451369216,0.005,0.56353591160221,0.5915958451369216,18,Accuracy,higher,final,1
19,0.9868590235710144,0.9804076552391052,0.9831914305686951,0.49173553719008267,0.4143646408839779,0.4461756373937677,0.005,0.56353591160221,0.5915958451369216,18,Accuracy,higher,final,1
20,0.9772633910179138,0.9668938517570496,0.9653229117393494,0.49173553719008267,0.44751381215469616,0.4428706326723324,0.005,0.56353591160221,0.5915958451369216,18,Accuracy,higher,final,1
21,0.9551027417182922,0.94987952709198,0.944742739200592,0.6818181818181818,0.6077348066298343,0.6326723323890463,0.005,0.6077348066298343,0.6326723323890463,21,Accuracy,higher,final,1
22,0.9249774813652039,0.9437245726585388,0.9367020130157471,0.6845730027548209,0.6187845303867403,0.6487252124645893,0.005,0.6187845303867403,0.6487252124645893,22,Accuracy,higher,final,1
23,0.9061450958251953,0.9499377608299255,0.94249427318573,0.628099173553719,0.569060773480663,0.5736543909348442,0.005,0.6187845303867403,0.6487252124645893,22,Accuracy,higher,final,1
24,0.8988144993782043,0.9474450945854187,0.9402580261230469,0.5909090909090909,0.5414364640883977,0.5382436260623229,0.005,0.6187845303867403,0.6487252124645893,22,Accuracy,higher,final,1
25,0.8858835697174072,0.9202371835708618,0.9129202365875244,0.6239669421487604,0.569060773480663,0.5661000944287063,0.005,0.6187845303867403,0.6487252124645893,22,Accuracy,higher,final,1
26,0.8583449721336365,0.8698809146881104,0.8613309860229492,0.6680440771349863,0.5966850828729282,0.6208687440982058,0.005,0.6187845303867403,0.6487252124645893,22,Accuracy,higher,final,1
27,0.7939854860305786,0.8128378987312317,0.8023272156715393,0.7024793388429752,0.6243093922651933,0.6525023607176582,0.005,0.6243093922651933,0.6525023607176582,27,Accuracy,higher,final,1
28,0.7626013159751892,0.7560414671897888,0.74372798204422,0.7396694214876033,0.6519337016574586,0.6813031161473088,0.005,0.6519337016574586,0.6813031161473088,28,Accuracy,higher,final,1
29,0.6983403563499451,0.6925721168518066,0.6785932183265686,0.7961432506887053,0.6795580110497238,0.7431539187913125,0.005,0.6795580110497238,0.7431539187913125,29,Accuracy,higher,final,1
30,0.6518798470497131,0.6213234066963196,0.6061015725135803,0.8402203856749312,0.7348066298342542,0.8026440037771483,0.005,0.7348066298342542,0.8026440037771483,30,Accuracy,higher,final,1
31,0.5831739902496338,0.5487903356552124,0.5330613255500793,0.8966942148760331,0.7845303867403315,0.8564683663833805,0.005,0.7845303867403315,0.8564683663833805,31,Accuracy,higher,final,1
32,0.5078589916229248,0.483632892370224,0.4690507650375366,0.9228650137741047,0.850828729281768,0.8833805476864967,0.005,0.850828729281768,0.8833805476864967,32,Accuracy,higher,final,1
