epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.1038002967834473,2.0032176971435547,1.9476195573806763,0.3774104683195592,0.3314917127071823,0.3432483474976393,0.01,0.3314917127071823,0.3432483474976393,0,Accuracy,higher,final,0
1,1.7660350799560547,1.2108092308044434,1.1770241260528564,0.3443526170798898,0.3149171270718232,0.3271954674220963,0.01,0.3314917127071823,0.3432483474976393,0,Accuracy,higher,final,0
2,1.1147304773330688,1.0842289924621582,1.0798263549804688,0.33746556473829203,0.30386740331491713,0.32152974504249293,0.01,0.3314917127071823,0.3432483474976393,0,Accuracy,higher,final,0
3,1.0668593645095825,1.0626842975616455,1.0831998586654663,0.29476584022038566,0.36464088397790057,0.3375826251180359,0.01,0.36464088397790057,0.3375826251180359,3,Accuracy,higher,final,0
4,1.095458745956421,1.0246020555496216,1.03592050075531,0.3650137741046832,0.4088397790055249,0.3654390934844193,0.01,0.4088397790055249,0.3654390934844193,4,Accuracy,higher,final,0
5,1.0338594913482666,0.999614417552948,0.9978983998298645,0.7754820936639119,0.7292817679558011,0.726628895184136,0.01,0.7292817679558011,0.726628895184136,5,Accuracy,higher,final,0
6,0.9760070443153381,0.998342752456665,0.993131697177887,0.3787878787878788,0.34806629834254144,0.364494806421152,0.01,0.7292817679558011,0.726628895184136,5,Accuracy,higher,final,0
7,0.9767908453941345,0.9229841828346252,0.9266942143440247,0.6005509641873278,0.6353591160220995,0.6208687440982058,0.01,0.7292817679558011,0.726628895184136,5,Accuracy,higher,final,0
8,0.9086774587631226,0.8908433318138123,0.8884921073913574,0.8278236914600551,0.7513812154696132,0.7785646836638338,0.01,0.7513812154696132,0.7785646836638338,8,Accuracy,higher,final,0
9,0.8567726612091064,0.8722007274627686,0.8635666966438293,0.7589531680440771,0.6685082872928176,0.6992445703493863,0.01,0.7513812154696132,0.7785646836638338,8,Accuracy,higher,final,0
10,0.8223145604133606,0.847438395023346,0.8412081003189087,0.699724517906336,0.5966850828729282,0.6279508970727101,0.01,0.7513812154696132,0.7785646836638338,8,Accuracy,higher,final,0
11,0.7959229946136475,0.8259103894233704,0.8116700053215027,0.7424242424242424,0.6574585635359116,0.673748819641171,0.01,0.7513812154696132,0.7785646836638338,8,Accuracy,higher,final,0
12,0.7534710764884949,0.8002157211303711,0.7869672775268555,0.7851239669421488,0.6961325966850829,0.7474032105760151,0.01,0.7513812154696132,0.7785646836638338,8,Accuracy,higher,final,0
13,0.7617623805999756,0.7455706596374512,0.7514201402664185,0.8829201101928374,0.850828729281768,0.8479697828139755,0.01,0.850828729281768,0.8479697828139755,13,Accuracy,higher,final,0
14,0.7347598075866699,0.7315122485160828,0.7178925275802612,0.7713498622589532,0.6519337016574586,0.7016052880075543,0.01,0.850828729281768,0.8479697828139755,13,Accuracy,higher,final,0
15,0.6574426889419556,0.7084397673606873,0.6880571246147156,0.7837465564738292,0.6795580110497238,0.7195467422096318,0.01,0.850828729281768,0.8479697828139755,13,Accuracy,higher,final,0
16,0.619908332824707,0.6565905809402466,0.6437040567398071,0.8898071625344353,0.8287292817679558,0.8503305004721435,0.01,0.850828729281768,0.8479697828139755,13,Accuracy,higher,final,0
17,0.604895293712616,0.6378173828125,0.628546953201294,0.9008264462809917,0.861878453038674,0.8772426817752597,0.01,0.861878453038674,0.8772426817752597,17,Accuracy,higher,final,0
18,0.6075796484947205,0.6409039497375488,0.6155218482017517,0.8154269972451791,0.7016574585635359,0.7516525023607177,0.01,0.861878453038674,0.8772426817752597,17,Accuracy,higher,final,0
19,0.5508633255958557,0.616570770740509,0.5986697673797607,0.8360881542699724,0.7292817679558011,0.7847025495750708,0.01,0.861878453038674,0.8772426817752597,17,Accuracy,higher,final,0
20,0.5449619889259338,0.5580653548240662,0.5557740330696106,0.9090909090909091,0.8895027624309392,0.8762983947119924,0.01,0.8895027624309392,0.8762983947119924,20,Accuracy,higher,final,0
21,0.5206132531166077,0.5906019806861877,0.5674316883087158,0.8429752066115702,0.7790055248618785,0.8130311614730878,0.01,0.8895027624309392,0.8762983947119924,20,Accuracy,higher,final,0
22,0.5315240621566772,0.6001473069190979,0.564972996711731,0.8140495867768595,0.6850828729281768,0.7393767705382436,0.01,0.8895027624309392,0.8762983947119924,20,Accuracy,higher,final,0
23,0.4900567829608917,0.5762024521827698,0.5543195009231567,0.8292011019283747,0.7458563535911602,0.7870632672332389,0.01,0.8895027624309392,0.8762983947119924,20,Accuracy,higher,final,0
