epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.39472496509552,1.375691294670105,1.3794901371002197,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
1,1.376200795173645,1.3546661138534546,1.3650203943252563,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
2,1.3668392896652222,1.3341872692108154,1.3512256145477295,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
3,1.357147455215454,1.3146125078201294,1.3381669521331787,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
4,1.3554214239120483,1.2961910963058472,1.3260602951049805,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
5,1.3319634199142456,1.2783682346343994,1.3145610094070435,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
6,1.320694923400879,1.2605971097946167,1.3035396337509155,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
7,1.3111298084259033,1.2433239221572876,1.2931803464889526,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
8,1.3029145002365112,1.2263625860214233,1.2834683656692505,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
9,1.292805790901184,1.2099039554595947,1.2745497226715088,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
10,1.2881284952163696,1.1941345930099487,1.266579508781433,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
11,1.290917992591858,1.1795966625213623,1.2597525119781494,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
12,1.2840391397476196,1.1660856008529663,1.2540425062179565,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
13,1.277077317237854,1.1538960933685303,1.2494882345199585,0.38392857142857145,0.5357142857142857,0.4166666666666667,0.005,0.5357142857142857,0.4166666666666667,0,Accuracy,higher,final,2
