epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.7919037342071533,1.7896819114685059,1.7897082567214966,0.6916666666666667,0.428,0.427,0.005,0.428,0.427,0,Accuracy,higher,final,0
1,1.7870292663574219,1.787475824356079,1.7874704599380493,0.8,0.546,0.537,0.005,0.546,0.537,1,Accuracy,higher,final,0
2,1.7809605598449707,1.785250186920166,1.785193920135498,0.875,0.608,0.584,0.005,0.608,0.584,2,Accuracy,higher,final,0
3,1.7767298221588135,1.782970905303955,1.7828826904296875,0.875,0.63,0.603,0.005,0.63,0.603,3,Accuracy,higher,final,0
4,1.7665504217147827,1.7805895805358887,1.7804503440856934,0.8833333333333333,0.65,0.623,0.005,0.65,0.623,4,Accuracy,higher,final,0
5,1.767017126083374,1.7781649827957153,1.7779154777526855,0.8916666666666667,0.682,0.661,0.005,0.682,0.661,5,Accuracy,higher,final,0
6,1.7598824501037598,1.7756317853927612,1.7752739191055298,0.9,0.702,0.683,0.005,0.702,0.683,6,Accuracy,higher,final,0
7,1.756263017654419,1.7732771635055542,1.7727901935577393,0.9083333333333333,0.706,0.703,0.005,0.706,0.703,7,Accuracy,higher,final,0
8,1.748828649520874,1.7709320783615112,1.7703033685684204,0.9166666666666666,0.718,0.709,0.005,0.718,0.709,8,Accuracy,higher,final,0
9,1.7437996864318848,1.7684643268585205,1.7677085399627686,0.9166666666666666,0.712,0.712,0.005,0.718,0.709,8,Accuracy,higher,final,0
10,1.7425110340118408,1.7659850120544434,1.7651102542877197,0.9333333333333333,0.716,0.711,0.005,0.718,0.709,8,Accuracy,higher,final,0
11,1.7318902015686035,1.7635464668273926,1.762549877166748,0.925,0.704,0.708,0.005,0.718,0.709,8,Accuracy,higher,final,0
12,1.734467625617981,1.7611305713653564,1.7600207328796387,0.925,0.702,0.71,0.005,0.718,0.709,8,Accuracy,higher,final,0
13,1.7277017831802368,1.758847951889038,1.7576395273208618,0.925,0.7,0.708,0.005,0.718,0.709,8,Accuracy,higher,final,0
14,1.7197985649108887,1.7565845251083374,1.7552725076675415,0.925,0.696,0.703,0.005,0.718,0.709,8,Accuracy,higher,final,0
15,1.7153620719909668,1.7542212009429932,1.75287663936615,0.9166666666666666,0.696,0.7,0.005,0.718,0.709,8,Accuracy,higher,final,0
16,1.7091401815414429,1.751880407333374,1.7504807710647583,0.9166666666666666,0.696,0.696,0.005,0.718,0.709,8,Accuracy,higher,final,0
17,1.704254388809204,1.7494763135910034,1.7480539083480835,0.9166666666666666,0.696,0.696,0.005,0.718,0.709,8,Accuracy,higher,final,0
18,1.7176231145858765,1.747252345085144,1.7458279132843018,0.9166666666666666,0.69,0.696,0.005,0.718,0.709,8,Accuracy,higher,final,0
19,1.6997650861740112,1.7449997663497925,1.7435886859893799,0.9083333333333333,0.694,0.699,0.005,0.718,0.709,8,Accuracy,higher,final,0
