epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.7923247814178467,1.7916951179504395,1.7901110649108887,0.45,0.148,0.189,0.01,0.148,0.189,0,Accuracy,higher,final,0
1,1.7845381498336792,1.7885502576828003,1.7873092889785767,0.5833333333333334,0.23,0.262,0.01,0.23,0.262,1,Accuracy,higher,final,0
2,1.7758244276046753,1.7843749523162842,1.7834328413009644,0.675,0.306,0.328,0.01,0.306,0.328,2,Accuracy,higher,final,0
3,1.7644038200378418,1.780172348022461,1.7794095277786255,0.775,0.36,0.352,0.01,0.36,0.352,3,Accuracy,higher,final,0
4,1.7527035474777222,1.7749879360198975,1.7741457223892212,0.85,0.438,0.442,0.01,0.438,0.442,4,Accuracy,higher,final,0
5,1.7359683513641357,1.7692598104476929,1.7681530714035034,0.8916666666666667,0.526,0.52,0.01,0.526,0.52,5,Accuracy,higher,final,0
6,1.7242718935012817,1.76320481300354,1.762009859085083,0.9166666666666666,0.584,0.58,0.01,0.584,0.58,6,Accuracy,higher,final,0
7,1.7107287645339966,1.7568838596343994,1.7556662559509277,0.9166666666666666,0.602,0.587,0.01,0.602,0.587,7,Accuracy,higher,final,0
8,1.6929434537887573,1.7498608827590942,1.7486183643341064,0.9166666666666666,0.622,0.618,0.01,0.622,0.618,8,Accuracy,higher,final,0
9,1.6730809211730957,1.7422224283218384,1.7408971786499023,0.9166666666666666,0.65,0.636,0.01,0.65,0.636,9,Accuracy,higher,final,0
10,1.6518142223358154,1.7345930337905884,1.7332208156585693,0.9166666666666666,0.66,0.646,0.01,0.66,0.646,10,Accuracy,higher,final,0
11,1.6347750425338745,1.7264779806137085,1.7249513864517212,0.9166666666666666,0.664,0.65,0.01,0.664,0.65,11,Accuracy,higher,final,0
12,1.6112442016601562,1.718536376953125,1.7165312767028809,0.9166666666666666,0.658,0.649,0.01,0.664,0.65,11,Accuracy,higher,final,0
13,1.5805351734161377,1.7101229429244995,1.707781195640564,0.9166666666666666,0.652,0.642,0.01,0.664,0.65,11,Accuracy,higher,final,0
14,1.5651031732559204,1.7015089988708496,1.6987931728363037,0.9166666666666666,0.64,0.641,0.01,0.664,0.65,11,Accuracy,higher,final,0
15,1.5443572998046875,1.6930588483810425,1.6898703575134277,0.9083333333333333,0.642,0.64,0.01,0.664,0.65,11,Accuracy,higher,final,0
16,1.5215357542037964,1.6838101148605347,1.6799980401992798,0.9083333333333333,0.644,0.638,0.01,0.664,0.65,11,Accuracy,higher,final,0
17,1.509684443473816,1.6738239526748657,1.6693331003189087,0.9083333333333333,0.652,0.653,0.01,0.664,0.65,11,Accuracy,higher,final,0
18,1.4671884775161743,1.6633925437927246,1.658411979675293,0.9333333333333333,0.668,0.663,0.01,0.668,0.663,18,Accuracy,higher,final,0
19,1.4353526830673218,1.6527771949768066,1.6470649242401123,0.9333333333333333,0.676,0.679,0.01,0.676,0.679,19,Accuracy,higher,final,0
20,1.426886796951294,1.641027569770813,1.6346149444580078,0.9333333333333333,0.686,0.682,0.01,0.686,0.682,20,Accuracy,higher,final,0
21,1.4062650203704834,1.6291882991790771,1.6219265460968018,0.9416666666666667,0.7,0.689,0.01,0.7,0.689,21,Accuracy,higher,final,0
22,1.372243046760559,1.6171725988388062,1.6091017723083496,0.9416666666666667,0.704,0.689,0.01,0.704,0.689,22,Accuracy,higher,final,0
23,1.3333109617233276,1.6048728227615356,1.5960453748703003,0.9416666666666667,0.708,0.687,0.01,0.708,0.687,23,Accuracy,higher,final,0
24,1.3123657703399658,1.592370867729187,1.5827534198760986,0.9416666666666667,0.712,0.696,0.01,0.712,0.696,24,Accuracy,higher,final,0
25,1.2635143995285034,1.5799463987350464,1.5694878101348877,0.9416666666666667,0.708,0.699,0.01,0.712,0.696,24,Accuracy,higher,final,0
