epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.793486475944519,1.7883321046829224,1.790783405303955,0.16666666666666666,0.232,0.181,0.01,0.232,0.181,0,Accuracy,higher,final,0
1,1.7815266847610474,1.7809977531433105,1.7836395502090454,0.25833333333333336,0.232,0.182,0.01,0.232,0.181,0,Accuracy,higher,final,0
2,1.758323311805725,1.7722328901290894,1.7751902341842651,0.7166666666666667,0.26,0.221,0.01,0.26,0.221,2,Accuracy,higher,final,0
3,1.7305753231048584,1.7621632814407349,1.7655407190322876,0.85,0.376,0.336,0.01,0.376,0.336,3,Accuracy,higher,final,0
4,1.6965489387512207,1.7502341270446777,1.7541520595550537,0.9083333333333333,0.49,0.445,0.01,0.49,0.445,4,Accuracy,higher,final,0
5,1.6605147123336792,1.7363178730010986,1.7406610250473022,0.95,0.524,0.492,0.01,0.524,0.492,5,Accuracy,higher,final,0
6,1.6138858795166016,1.7206391096115112,1.7252024412155151,0.9666666666666667,0.552,0.528,0.01,0.552,0.528,6,Accuracy,higher,final,0
7,1.5551563501358032,1.7034028768539429,1.70790696144104,0.9666666666666667,0.59,0.568,0.01,0.59,0.568,7,Accuracy,higher,final,0
8,1.502348780632019,1.684500813484192,1.6888818740844727,0.975,0.624,0.606,0.01,0.624,0.606,8,Accuracy,higher,final,0
9,1.4472624063491821,1.6631401777267456,1.6673861742019653,0.975,0.646,0.632,0.01,0.646,0.632,9,Accuracy,higher,final,0
10,1.3797504901885986,1.639789342880249,1.6439721584320068,0.975,0.66,0.644,0.01,0.66,0.644,10,Accuracy,higher,final,0
11,1.319305181503296,1.613659381866455,1.6177211999893188,0.9916666666666667,0.682,0.658,0.01,0.682,0.658,11,Accuracy,higher,final,0
12,1.2372009754180908,1.5852766036987305,1.5891895294189453,0.9916666666666667,0.688,0.672,0.01,0.688,0.672,12,Accuracy,higher,final,0
13,1.1550670862197876,1.5542917251586914,1.5585603713989258,0.9916666666666667,0.694,0.683,0.01,0.694,0.683,13,Accuracy,higher,final,0
14,1.0795228481292725,1.5221706628799438,1.5267678499221802,0.9916666666666667,0.696,0.684,0.01,0.696,0.684,14,Accuracy,higher,final,0
15,1.0126075744628906,1.489469289779663,1.4942831993103027,0.9916666666666667,0.704,0.688,0.01,0.704,0.688,15,Accuracy,higher,final,0
16,0.9235914349555969,1.4568244218826294,1.4616405963897705,0.9916666666666667,0.706,0.686,0.01,0.706,0.686,16,Accuracy,higher,final,0
17,0.8519515991210938,1.4247385263442993,1.4293991327285767,0.9916666666666667,0.706,0.691,0.01,0.706,0.686,16,Accuracy,higher,final,0
18,0.7832226157188416,1.3933504819869995,1.3975287675857544,0.9916666666666667,0.704,0.688,0.01,0.706,0.686,16,Accuracy,higher,final,0
19,0.71788489818573,1.3637117147445679,1.367290735244751,0.9916666666666667,0.704,0.684,0.01,0.706,0.686,16,Accuracy,higher,final,0
20,0.6441177129745483,1.3339753150939941,1.33705735206604,0.9916666666666667,0.706,0.681,0.01,0.706,0.686,16,Accuracy,higher,final,0
21,0.5971214175224304,1.3054426908493042,1.3077797889709473,0.9916666666666667,0.704,0.682,0.01,0.706,0.686,16,Accuracy,higher,final,0
22,0.5386002063751221,1.278229832649231,1.2801024913787842,0.9916666666666667,0.706,0.685,0.01,0.706,0.686,16,Accuracy,higher,final,0
23,0.4815252423286438,1.2534267902374268,1.2553513050079346,1.0,0.706,0.686,0.01,0.706,0.686,16,Accuracy,higher,final,0
24,0.4459473490715027,1.2306535243988037,1.232161283493042,1.0,0.706,0.68,0.01,0.706,0.686,16,Accuracy,higher,final,0
