epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9463751316070557,1.942701816558838,1.9426753520965576,0.6857142857142857,0.482,0.453,0.005,0.482,0.453,0,Accuracy,higher,final,1
1,1.940423607826233,1.9395337104797363,1.9393194913864136,0.8214285714285714,0.654,0.632,0.005,0.654,0.632,1,Accuracy,higher,final,1
2,1.9340986013412476,1.9363912343978882,1.9359873533248901,0.8785714285714286,0.684,0.659,0.005,0.684,0.659,2,Accuracy,higher,final,1
3,1.9282060861587524,1.9331600666046143,1.9325520992279053,0.8928571428571429,0.682,0.68,0.005,0.684,0.659,2,Accuracy,higher,final,1
4,1.924344778060913,1.9299253225326538,1.9291249513626099,0.8857142857142857,0.688,0.678,0.005,0.688,0.678,4,Accuracy,higher,final,1
5,1.9178106784820557,1.92657470703125,1.9255902767181396,0.8928571428571429,0.688,0.682,0.005,0.688,0.678,4,Accuracy,higher,final,1
6,1.9087759256362915,1.9229933023452759,1.921829342842102,0.9,0.692,0.685,0.005,0.692,0.685,6,Accuracy,higher,final,1
7,1.9035176038742065,1.9192686080932617,1.917902946472168,0.9071428571428571,0.696,0.695,0.005,0.696,0.695,7,Accuracy,higher,final,1
8,1.9002193212509155,1.9154478311538696,1.9138805866241455,0.9142857142857143,0.698,0.7,0.005,0.698,0.7,8,Accuracy,higher,final,1
9,1.8860774040222168,1.9113506078720093,1.9095847606658936,0.9142857142857143,0.704,0.707,0.005,0.704,0.707,9,Accuracy,higher,final,1
10,1.8886829614639282,1.9070332050323486,1.9050871133804321,0.9142857142857143,0.722,0.712,0.005,0.722,0.712,10,Accuracy,higher,final,1
11,1.8769888877868652,1.9024840593338013,1.9003971815109253,0.9142857142857143,0.736,0.722,0.005,0.736,0.722,11,Accuracy,higher,final,1
12,1.8681509494781494,1.8979357481002808,1.8956820964813232,0.9142857142857143,0.74,0.728,0.005,0.74,0.728,12,Accuracy,higher,final,1
13,1.852758526802063,1.8931809663772583,1.8907647132873535,0.9142857142857143,0.748,0.728,0.005,0.748,0.728,13,Accuracy,higher,final,1
14,1.8683890104293823,1.8884270191192627,1.885833501815796,0.9071428571428571,0.756,0.731,0.005,0.756,0.731,14,Accuracy,higher,final,1
15,1.8422657251358032,1.88357412815094,1.88076651096344,0.9071428571428571,0.756,0.727,0.005,0.756,0.731,14,Accuracy,higher,final,1
16,1.838107705116272,1.8786592483520508,1.8756437301635742,0.9,0.754,0.729,0.005,0.756,0.731,14,Accuracy,higher,final,1
17,1.8335410356521606,1.8735878467559814,1.870373010635376,0.9,0.752,0.73,0.005,0.756,0.731,14,Accuracy,higher,final,1
18,1.8273299932479858,1.8683305978775024,1.864915370941162,0.9,0.754,0.73,0.005,0.756,0.731,14,Accuracy,higher,final,1
19,1.8163862228393555,1.8629297018051147,1.8593628406524658,0.9142857142857143,0.758,0.735,0.005,0.758,0.735,19,Accuracy,higher,final,1
20,1.8047934770584106,1.8574306964874268,1.8536912202835083,0.9214285714285714,0.76,0.739,0.005,0.76,0.739,20,Accuracy,higher,final,1
21,1.8047585487365723,1.851881504058838,1.8479692935943604,0.9357142857142857,0.766,0.739,0.005,0.766,0.739,21,Accuracy,higher,final,1
22,1.7907109260559082,1.8462873697280884,1.8421540260314941,0.9285714285714286,0.766,0.745,0.005,0.766,0.739,21,Accuracy,higher,final,1
23,1.7835131883621216,1.8407478332519531,1.8364194631576538,0.9285714285714286,0.772,0.75,0.005,0.772,0.75,23,Accuracy,higher,final,1
24,1.768061637878418,1.8351491689682007,1.8306732177734375,0.9285714285714286,0.774,0.749,0.005,0.774,0.749,24,Accuracy,higher,final,1
25,1.7624380588531494,1.8295440673828125,1.8249648809432983,0.9285714285714286,0.768,0.751,0.005,0.774,0.749,24,Accuracy,higher,final,1
26,1.7409706115722656,1.8235986232757568,1.8189318180084229,0.9285714285714286,0.766,0.751,0.005,0.774,0.749,24,Accuracy,higher,final,1
27,1.735265851020813,1.8176716566085815,1.8129165172576904,0.9285714285714286,0.758,0.748,0.005,0.774,0.749,24,Accuracy,higher,final,1
28,1.7375761270523071,1.8117296695709229,1.806808352470398,0.9357142857142857,0.758,0.749,0.005,0.774,0.749,24,Accuracy,higher,final,1
29,1.7169462442398071,1.8058044910430908,1.8007192611694336,0.9357142857142857,0.758,0.747,0.005,0.774,0.749,24,Accuracy,higher,final,1
30,1.6865358352661133,1.7994294166564941,1.7941964864730835,0.9357142857142857,0.758,0.752,0.005,0.774,0.749,24,Accuracy,higher,final,1
31,1.7056984901428223,1.7927721738815308,1.7874178886413574,0.9357142857142857,0.76,0.753,0.005,0.774,0.749,24,Accuracy,higher,final,1
32,1.6790536642074585,1.7859808206558228,1.7805335521697998,0.9357142857142857,0.762,0.756,0.005,0.774,0.749,24,Accuracy,higher,final,1
33,1.7132644653320312,1.779170036315918,1.7736564874649048,0.9285714285714286,0.764,0.754,0.005,0.774,0.749,24,Accuracy,higher,final,1
34,1.6748892068862915,1.7721245288848877,1.766489028930664,0.9285714285714286,0.766,0.755,0.005,0.774,0.749,24,Accuracy,higher,final,1
35,1.6653509140014648,1.7652602195739746,1.7594282627105713,0.9214285714285714,0.762,0.753,0.005,0.774,0.749,24,Accuracy,higher,final,1
