epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9460854530334473,1.9415942430496216,1.9404245615005493,0.15714285714285714,0.08,0.096,0.01,0.08,0.096,0,Accuracy,higher,final,2
1,1.9344464540481567,1.9353394508361816,1.9339159727096558,0.39285714285714285,0.144,0.181,0.01,0.144,0.181,1,Accuracy,higher,final,2
2,1.9213351011276245,1.927579641342163,1.925843596458435,0.7285714285714285,0.418,0.463,0.01,0.418,0.463,2,Accuracy,higher,final,2
3,1.9080274105072021,1.9175511598587036,1.915657877922058,0.85,0.572,0.616,0.01,0.572,0.616,3,Accuracy,higher,final,2
4,1.8882590532302856,1.9065766334533691,1.9046891927719116,0.9285714285714286,0.676,0.725,0.01,0.676,0.725,4,Accuracy,higher,final,2
5,1.8697501420974731,1.8957409858703613,1.8935362100601196,0.95,0.722,0.755,0.01,0.722,0.755,5,Accuracy,higher,final,2
6,1.8478825092315674,1.885072946548462,1.8823599815368652,0.95,0.734,0.761,0.01,0.734,0.761,6,Accuracy,higher,final,2
7,1.8238753080368042,1.8731186389923096,1.8698257207870483,0.9714285714285714,0.746,0.762,0.01,0.746,0.762,7,Accuracy,higher,final,2
8,1.7969669103622437,1.8589099645614624,1.854983925819397,0.9714285714285714,0.74,0.764,0.01,0.746,0.762,7,Accuracy,higher,final,2
9,1.7763984203338623,1.8432459831237793,1.8386179208755493,0.9642857142857143,0.738,0.763,0.01,0.746,0.762,7,Accuracy,higher,final,2
10,1.7388097047805786,1.8267621994018555,1.8214137554168701,0.9571428571428572,0.732,0.757,0.01,0.746,0.762,7,Accuracy,higher,final,2
11,1.7159301042556763,1.8093327283859253,1.8032969236373901,0.9571428571428572,0.724,0.76,0.01,0.746,0.762,7,Accuracy,higher,final,2
12,1.6931374073028564,1.790990948677063,1.7843244075775146,0.9571428571428572,0.732,0.765,0.01,0.746,0.762,7,Accuracy,higher,final,2
