epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9468388557434082,1.9438292980194092,1.9439465999603271,0.29285714285714287,0.16,0.161,0.01,0.16,0.161,0,Accuracy,higher,final,1
1,1.9275686740875244,1.9304333925247192,1.9298737049102783,0.5571428571428572,0.258,0.267,0.01,0.258,0.267,1,Accuracy,higher,final,1
2,1.9001901149749756,1.9158319234848022,1.9148207902908325,0.9714285714285714,0.52,0.515,0.01,0.52,0.515,2,Accuracy,higher,final,1
3,1.8679543733596802,1.8996418714523315,1.8983582258224487,0.9928571428571429,0.6,0.584,0.01,0.6,0.584,3,Accuracy,higher,final,1
4,1.8336284160614014,1.8807119131088257,1.8791269063949585,0.9928571428571429,0.602,0.563,0.01,0.602,0.563,4,Accuracy,higher,final,1
5,1.784436821937561,1.8590552806854248,1.8570737838745117,0.9785714285714285,0.58,0.563,0.01,0.602,0.563,4,Accuracy,higher,final,1
6,1.7313028573989868,1.8343924283981323,1.8318947553634644,0.9928571428571429,0.596,0.575,0.01,0.602,0.563,4,Accuracy,higher,final,1
7,1.6760375499725342,1.807732105255127,1.8048031330108643,0.9928571428571429,0.606,0.589,0.01,0.606,0.589,7,Accuracy,higher,final,1
8,1.6246814727783203,1.7765381336212158,1.7732408046722412,0.9928571428571429,0.63,0.615,0.01,0.63,0.615,8,Accuracy,higher,final,1
9,1.5407953262329102,1.7414941787719727,1.7378137111663818,1.0,0.652,0.636,0.01,0.652,0.636,9,Accuracy,higher,final,1
10,1.4597039222717285,1.7019551992416382,1.697925090789795,1.0,0.672,0.659,0.01,0.672,0.659,10,Accuracy,higher,final,1
11,1.3793253898620605,1.6583770513534546,1.6540080308914185,1.0,0.702,0.68,0.01,0.702,0.68,11,Accuracy,higher,final,1
12,1.2942957878112793,1.6114050149917603,1.6065672636032104,1.0,0.724,0.699,0.01,0.724,0.699,12,Accuracy,higher,final,1
13,1.2145370244979858,1.5611215829849243,1.555810809135437,1.0,0.736,0.727,0.01,0.736,0.727,13,Accuracy,higher,final,1
14,1.1240040063858032,1.508135199546814,1.5024304389953613,1.0,0.752,0.749,0.01,0.752,0.749,14,Accuracy,higher,final,1
15,1.0231194496154785,1.45344877243042,1.4472407102584839,1.0,0.77,0.758,0.01,0.77,0.758,15,Accuracy,higher,final,1
16,0.9393221139907837,1.399221658706665,1.3923028707504272,1.0,0.772,0.759,0.01,0.772,0.759,16,Accuracy,higher,final,1
17,0.8402866721153259,1.344980239868164,1.3375271558761597,1.0,0.772,0.762,0.01,0.772,0.759,16,Accuracy,higher,final,1
18,0.7853510975837708,1.290450930595398,1.282378077507019,1.0,0.782,0.769,0.01,0.782,0.769,18,Accuracy,higher,final,1
19,0.694118082523346,1.238193154335022,1.2290199995040894,1.0,0.784,0.776,0.01,0.784,0.776,19,Accuracy,higher,final,1
20,0.6040481328964233,1.1859585046768188,1.1754730939865112,1.0,0.784,0.781,0.01,0.784,0.776,19,Accuracy,higher,final,1
21,0.5353573560714722,1.1358087062835693,1.1238346099853516,1.0,0.774,0.785,0.01,0.784,0.776,19,Accuracy,higher,final,1
22,0.5072627067565918,1.0888991355895996,1.0757235288619995,1.0,0.772,0.786,0.01,0.784,0.776,19,Accuracy,higher,final,1
23,0.4186018407344818,1.046825647354126,1.032331109046936,1.0,0.776,0.784,0.01,0.784,0.776,19,Accuracy,higher,final,1
24,0.37683969736099243,1.0090910196304321,0.9934168457984924,1.0,0.782,0.784,0.01,0.784,0.776,19,Accuracy,higher,final,1
25,0.31810256838798523,0.9744608402252197,0.9576873779296875,1.0,0.78,0.787,0.01,0.784,0.776,19,Accuracy,higher,final,1
26,0.29337409138679504,0.9418196082115173,0.9239476323127747,1.0,0.782,0.79,0.01,0.784,0.776,19,Accuracy,higher,final,1
27,0.2871321737766266,0.9148289561271667,0.8958327174186707,1.0,0.782,0.792,0.01,0.784,0.776,19,Accuracy,higher,final,1
28,0.26733553409576416,0.8884158730506897,0.8689160346984863,1.0,0.784,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
29,0.22513428330421448,0.8665412068367004,0.8461220860481262,1.0,0.782,0.799,0.01,0.784,0.776,19,Accuracy,higher,final,1
30,0.2091130167245865,0.8504853248596191,0.8286672830581665,1.0,0.78,0.798,0.01,0.784,0.776,19,Accuracy,higher,final,1
31,0.19005101919174194,0.8404720425605774,0.8171480298042297,1.0,0.778,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
32,0.19156791269779205,0.8310509324073792,0.8062929511070251,1.0,0.78,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
33,0.16454322636127472,0.8239728808403015,0.7976269721984863,1.0,0.774,0.793,0.01,0.784,0.776,19,Accuracy,higher,final,1
34,0.16517242789268494,0.8193958401679993,0.7912100553512573,1.0,0.778,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
35,0.1587609499692917,0.8141642808914185,0.7842391133308411,1.0,0.78,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
36,0.12853161990642548,0.8104214072227478,0.7788562178611755,1.0,0.778,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
37,0.150010347366333,0.8037120699882507,0.7709728479385376,1.0,0.774,0.8,0.01,0.784,0.776,19,Accuracy,higher,final,1
38,0.1206151694059372,0.7959953546524048,0.7626369595527649,1.0,0.774,0.802,0.01,0.784,0.776,19,Accuracy,higher,final,1
39,0.1388423889875412,0.7919758558273315,0.7578930854797363,1.0,0.774,0.803,0.01,0.784,0.776,19,Accuracy,higher,final,1
40,0.1197429895401001,0.7912123203277588,0.7562495470046997,1.0,0.774,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
41,0.1293502300977707,0.7887734174728394,0.7534089088439941,1.0,0.774,0.795,0.01,0.784,0.776,19,Accuracy,higher,final,1
42,0.13117657601833344,0.7846934795379639,0.7493038177490234,1.0,0.776,0.799,0.01,0.784,0.776,19,Accuracy,higher,final,1
43,0.13171322643756866,0.7815362811088562,0.745958149433136,1.0,0.782,0.799,0.01,0.784,0.776,19,Accuracy,higher,final,1
44,0.11420006304979324,0.7781247496604919,0.7425057291984558,1.0,0.784,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
45,0.10934571176767349,0.7762911319732666,0.7404744625091553,1.0,0.782,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
46,0.11818517744541168,0.7755835652351379,0.7393893003463745,1.0,0.782,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
47,0.12447106838226318,0.7755514979362488,0.738888144493103,1.0,0.776,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
48,0.11896661669015884,0.7789522409439087,0.7413188219070435,1.0,0.778,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
49,0.11551868170499802,0.7829944491386414,0.7439722418785095,1.0,0.776,0.798,0.01,0.784,0.776,19,Accuracy,higher,final,1
50,0.1270947903394699,0.7868916988372803,0.7464469075202942,1.0,0.778,0.799,0.01,0.784,0.776,19,Accuracy,higher,final,1
51,0.11004221439361572,0.7879040241241455,0.7465267181396484,1.0,0.772,0.797,0.01,0.784,0.776,19,Accuracy,higher,final,1
52,0.13512229919433594,0.7915545701980591,0.7489991188049316,1.0,0.77,0.795,0.01,0.784,0.776,19,Accuracy,higher,final,1
53,0.12857811152935028,0.7875118851661682,0.7452741861343384,1.0,0.77,0.796,0.01,0.784,0.776,19,Accuracy,higher,final,1
54,0.12572574615478516,0.7788935899734497,0.7378019094467163,1.0,0.774,0.795,0.01,0.784,0.776,19,Accuracy,higher,final,1
55,0.10816053301095963,0.7666403651237488,0.7272193431854248,1.0,0.784,0.794,0.01,0.784,0.776,19,Accuracy,higher,final,1
56,0.10290686786174774,0.7567617893218994,0.7186227440834045,1.0,0.782,0.798,0.01,0.784,0.776,19,Accuracy,higher,final,1
57,0.11926693469285965,0.7535815834999084,0.7155573964118958,1.0,0.782,0.794,0.01,0.784,0.776,19,Accuracy,higher,final,1
58,0.11276531219482422,0.7584834098815918,0.7192116975784302,1.0,0.778,0.794,0.01,0.784,0.776,19,Accuracy,higher,final,1
59,0.11630219221115112,0.7638327479362488,0.7231180667877197,1.0,0.778,0.791,0.01,0.784,0.776,19,Accuracy,higher,final,1
60,0.11211597919464111,0.771246075630188,0.7290219068527222,1.0,0.776,0.79,0.01,0.784,0.776,19,Accuracy,higher,final,1
61,0.11621205508708954,0.7750101089477539,0.7316166758537292,1.0,0.776,0.79,0.01,0.784,0.776,19,Accuracy,higher,final,1
62,0.10005506128072739,0.7735254168510437,0.729827344417572,1.0,0.772,0.788,0.01,0.784,0.776,19,Accuracy,higher,final,1
63,0.10825163871049881,0.7650614976882935,0.7219482660293579,1.0,0.774,0.792,0.01,0.784,0.776,19,Accuracy,higher,final,1
64,0.10529618710279465,0.7593010067939758,0.7168689966201782,1.0,0.772,0.798,0.01,0.784,0.776,19,Accuracy,higher,final,1
65,0.10402217507362366,0.7540111541748047,0.7124179601669312,1.0,0.776,0.794,0.01,0.784,0.776,19,Accuracy,higher,final,1
66,0.08830124884843826,0.7535288333892822,0.7120922207832336,1.0,0.776,0.793,0.01,0.784,0.776,19,Accuracy,higher,final,1
67,0.09533120691776276,0.7539027333259583,0.7124912142753601,1.0,0.78,0.793,0.01,0.784,0.776,19,Accuracy,higher,final,1
68,0.09472938627004623,0.7545362710952759,0.7132813930511475,1.0,0.78,0.787,0.01,0.784,0.776,19,Accuracy,higher,final,1
69,0.10353563725948334,0.7512593865394592,0.7104880213737488,1.0,0.78,0.792,0.01,0.784,0.776,19,Accuracy,higher,final,1
70,0.1081215888261795,0.7514907717704773,0.7108022570610046,1.0,0.776,0.791,0.01,0.784,0.776,19,Accuracy,higher,final,1
71,0.10561226308345795,0.7549026012420654,0.7138416767120361,1.0,0.776,0.788,0.01,0.784,0.776,19,Accuracy,higher,final,1
72,0.0995696485042572,0.7505391836166382,0.7100802063941956,1.0,0.78,0.791,0.01,0.784,0.776,19,Accuracy,higher,final,1
73,0.10509174317121506,0.7413506507873535,0.7017003297805786,1.0,0.784,0.789,0.01,0.784,0.776,19,Accuracy,higher,final,1
74,0.10195282846689224,0.735230565071106,0.6956121325492859,1.0,0.782,0.791,0.01,0.784,0.776,19,Accuracy,higher,final,1
75,0.0843895971775055,0.7327436208724976,0.6926650404930115,1.0,0.788,0.792,0.01,0.788,0.792,75,Accuracy,higher,final,1
76,0.09471176564693451,0.735721230506897,0.6946290135383606,1.0,0.782,0.794,0.01,0.788,0.792,75,Accuracy,higher,final,1
77,0.0835619643330574,0.7420511245727539,0.699873685836792,1.0,0.768,0.789,0.01,0.788,0.792,75,Accuracy,higher,final,1
78,0.08108494430780411,0.7494549751281738,0.7062950730323792,1.0,0.77,0.79,0.01,0.788,0.792,75,Accuracy,higher,final,1
79,0.09019890427589417,0.751449704170227,0.7077176570892334,1.0,0.776,0.791,0.01,0.788,0.792,75,Accuracy,higher,final,1
80,0.07975375652313232,0.7522996664047241,0.707950234413147,1.0,0.774,0.79,0.01,0.788,0.792,75,Accuracy,higher,final,1
81,0.08385934680700302,0.7455676198005676,0.7017871737480164,1.0,0.772,0.794,0.01,0.788,0.792,75,Accuracy,higher,final,1
82,0.08334513753652573,0.7380091547966003,0.6949488520622253,1.0,0.774,0.798,0.01,0.788,0.792,75,Accuracy,higher,final,1
83,0.0785026028752327,0.7334988117218018,0.6907156109809875,1.0,0.774,0.797,0.01,0.788,0.792,75,Accuracy,higher,final,1
84,0.09208802133798599,0.734713077545166,0.6914987564086914,1.0,0.776,0.795,0.01,0.788,0.792,75,Accuracy,higher,final,1
85,0.08602020144462585,0.7395101189613342,0.6953661441802979,1.0,0.776,0.789,0.01,0.788,0.792,75,Accuracy,higher,final,1
86,0.0812331885099411,0.7428532838821411,0.6981749534606934,1.0,0.776,0.791,0.01,0.788,0.792,75,Accuracy,higher,final,1
87,0.07557885348796844,0.7456397414207458,0.7003368735313416,1.0,0.776,0.789,0.01,0.788,0.792,75,Accuracy,higher,final,1
88,0.07621786743402481,0.7466052174568176,0.7010732293128967,1.0,0.774,0.787,0.01,0.788,0.792,75,Accuracy,higher,final,1
89,0.08248528838157654,0.7477728128433228,0.7020721435546875,1.0,0.772,0.785,0.01,0.788,0.792,75,Accuracy,higher,final,1
90,0.09216145426034927,0.7487478852272034,0.7028428912162781,1.0,0.774,0.786,0.01,0.788,0.792,75,Accuracy,higher,final,1
91,0.07770128548145294,0.7456662654876709,0.7002660036087036,1.0,0.774,0.795,0.01,0.788,0.792,75,Accuracy,higher,final,1
92,0.07914881408214569,0.7403252720832825,0.6961462497711182,1.0,0.772,0.796,0.01,0.788,0.792,75,Accuracy,higher,final,1
93,0.07635179162025452,0.7361262440681458,0.6926960349082947,1.0,0.776,0.799,0.01,0.788,0.792,75,Accuracy,higher,final,1
94,0.07250995934009552,0.7369784116744995,0.6932173371315002,1.0,0.776,0.8,0.01,0.788,0.792,75,Accuracy,higher,final,1
95,0.07857462018728256,0.7402321696281433,0.6959881782531738,1.0,0.772,0.793,0.01,0.788,0.792,75,Accuracy,higher,final,1
96,0.06983369588851929,0.7474626302719116,0.7020093202590942,1.0,0.772,0.792,0.01,0.788,0.792,75,Accuracy,higher,final,1
97,0.07558301836252213,0.7513346076011658,0.7057018876075745,1.0,0.774,0.789,0.01,0.788,0.792,75,Accuracy,higher,final,1
98,0.0859556719660759,0.759438693523407,0.7133185863494873,1.0,0.78,0.786,0.01,0.788,0.792,75,Accuracy,higher,final,1
