epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.1008011102676392,1.065859317779541,1.0741972923278809,0.7725,0.5075,0.4807360552041403,0.005,0.5075,0.4807360552041403,0,Accuracy,higher,final,1
1,1.030720829963684,1.0384879112243652,1.053478479385376,0.7825,0.505,0.4798734905117884,0.005,0.5075,0.4807360552041403,0,Accuracy,higher,final,1
2,0.9626480340957642,1.0159859657287598,1.0363134145736694,0.7975,0.515,0.4735480161012076,0.005,0.515,0.4735480161012076,2,Accuracy,higher,final,1
3,0.8977841138839722,0.9974847435951233,1.0217442512512207,0.81,0.515,0.476710753306498,0.005,0.515,0.4735480161012076,2,Accuracy,higher,final,1
4,0.8365579843521118,0.9819090962409973,1.0082811117172241,0.8275,0.5275,0.4890741805635423,0.005,0.5275,0.4890741805635423,4,Accuracy,higher,final,1
5,0.7964338660240173,0.9682263731956482,0.99531090259552,0.835,0.5325,0.5092006900517538,0.005,0.5325,0.5092006900517538,5,Accuracy,higher,final,1
6,0.7375442385673523,0.9562299251556396,0.9828203320503235,0.8625,0.5525,0.5253018976423232,0.005,0.5525,0.5253018976423232,6,Accuracy,higher,final,1
7,0.7008345127105713,0.9449860453605652,0.9700930714607239,0.89,0.56,0.5431282346175963,0.005,0.56,0.5431282346175963,7,Accuracy,higher,final,1
8,0.6581367254257202,0.9350051879882812,0.9580684900283813,0.9025,0.5675,0.5592294422081656,0.005,0.5675,0.5592294422081656,8,Accuracy,higher,final,1
9,0.6064355969429016,0.9271281957626343,0.9472450017929077,0.925,0.59,0.5687176538240368,0.005,0.59,0.5687176538240368,9,Accuracy,higher,final,1
10,0.5765825510025024,0.9217665195465088,0.9383209347724915,0.945,0.5975,0.5759056929269695,0.005,0.5975,0.5759056929269695,10,Accuracy,higher,final,1
11,0.5201312899589539,0.9187045097351074,0.9315117597579956,0.95,0.6,0.5793559516963772,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
12,0.5012692213058472,0.9172689318656921,0.9268661737442017,0.9525,0.595,0.5799309948246119,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
13,0.4643199145793915,0.9172125458717346,0.9247146844863892,0.955,0.5975,0.5802185163887291,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
14,0.42235323786735535,0.918203592300415,0.9245352149009705,0.9525,0.5875,0.5770557791834388,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
15,0.41581833362579346,0.9191153049468994,0.9259136319160461,0.9575,0.5925,0.5747556066705003,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
16,0.4140087962150574,0.9204512238502502,0.929047167301178,0.96,0.5875,0.5747556066705003,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
17,0.36603686213493347,0.9222802519798279,0.9334701895713806,0.965,0.5775,0.5741805635422657,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
18,0.35225236415863037,0.924349844455719,0.9382903575897217,0.9675,0.575,0.5738930419781484,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
19,0.3529478907585144,0.9265663027763367,0.9431304931640625,0.975,0.575,0.5756181713628522,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
20,0.32372260093688965,0.9293243885040283,0.9471510648727417,0.975,0.5875,0.5750431282346176,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
21,0.2989799678325653,0.9328601360321045,0.9520547389984131,0.9825,0.5925,0.5741805635422657,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
22,0.29916486144065857,0.9377604126930237,0.9584929943084717,0.9825,0.5875,0.5718803910293272,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
23,0.2928212285041809,0.943665623664856,0.9658533334732056,0.9825,0.5825,0.5721679125934445,0.005,0.6,0.5793559516963772,11,Accuracy,higher,final,1
24,0.26004189252853394,0.9475364685058594,0.9701342582702637,0.9875,0.5875,0.5733179988499137,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
25,0.2756904363632202,0.9512912034988403,0.974984347820282,0.9925,0.585,0.5741805635422657,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
26,0.261508584022522,0.9556787014007568,0.9798777103424072,0.9925,0.58,0.574468085106383,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
27,0.25910988450050354,0.9608471393585205,0.9857883453369141,0.995,0.575,0.573605520414031,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
28,0.2544354498386383,0.9657265543937683,0.9913416504859924,0.9975,0.57,0.5730304772857965,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
29,0.24362459778785706,0.9708642363548279,0.9972973465919495,1.0,0.57,0.5730304772857965,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
30,0.22578507661819458,0.9759800434112549,1.002993106842041,1.0,0.5675,0.5718803910293272,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
31,0.26785287261009216,0.9800569415092468,1.0079013109207153,1.0,0.57,0.5707303047728579,0.003,0.6,0.5793559516963772,11,Accuracy,higher,final,1
