epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.0932116508483887,1.0444188117980957,1.0632057189941406,0.7175,0.5125,0.4583093732029902,0.01,0.5125,0.4583093732029902,0,Accuracy,higher,final,2
1,0.9820718169212341,1.0029499530792236,1.0348663330078125,0.745,0.51,0.4677975848188614,0.01,0.5125,0.4583093732029902,0,Accuracy,higher,final,2
2,0.865631103515625,0.9729219079017639,1.0127270221710205,0.8025,0.515,0.480448533640023,0.01,0.515,0.480448533640023,2,Accuracy,higher,final,2
3,0.7455875277519226,0.9501030445098877,0.9901794195175171,0.865,0.5425,0.4971247843588269,0.01,0.5425,0.4971247843588269,3,Accuracy,higher,final,2
4,0.6340945959091187,0.9311607480049133,0.9660072922706604,0.9,0.5625,0.5293271995399655,0.01,0.5625,0.5293271995399655,4,Accuracy,higher,final,2
5,0.5263535976409912,0.9173234701156616,0.944489598274231,0.94,0.595,0.5560667050028753,0.01,0.595,0.5560667050028753,5,Accuracy,higher,final,2
6,0.44607803225517273,0.9125679135322571,0.9310106039047241,0.9625,0.6025,0.5756181713628522,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
7,0.36304381489753723,0.9169285297393799,0.9279442429542542,0.9775,0.5925,0.5853939045428407,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
8,0.30310580134391785,0.9282589554786682,0.9347819089889526,0.98,0.585,0.5879815986198965,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
9,0.2500457763671875,0.9447804093360901,0.9500976800918579,0.985,0.5825,0.5891316848763657,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
10,0.20869441330432892,0.9644972085952759,0.97263103723526,0.985,0.5875,0.5897067280046003,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
11,0.17423182725906372,0.9876787066459656,1.0015989542007446,0.9925,0.5925,0.5876940770557791,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
12,0.14787720143795013,1.0132472515106201,1.0342515707015991,0.9925,0.5975,0.58654399079931,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
13,0.13001421093940735,1.0395694971084595,1.0680629014968872,0.995,0.595,0.5874065554916619,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
14,0.10875929147005081,1.0677722692489624,1.1033735275268555,0.995,0.585,0.5845313398504888,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
15,0.09639003127813339,1.0950430631637573,1.1375796794891357,0.9975,0.5875,0.5845313398504888,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
16,0.08321855217218399,1.1199212074279785,1.1685200929641724,0.9975,0.585,0.5816561242093157,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
17,0.06957830488681793,1.1407935619354248,1.1949622631072998,0.9975,0.5875,0.5830937320299022,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
18,0.0719442293047905,1.1588573455810547,1.2176613807678223,0.9975,0.5875,0.5816561242093157,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
19,0.06397250294685364,1.1747030019760132,1.237767219543457,0.9975,0.58,0.5830937320299022,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
20,0.05429365113377571,1.1893078088760376,1.2570894956588745,0.9975,0.5825,0.5836687751581369,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
21,0.052457865327596664,1.2033997774124146,1.2756134271621704,1.0,0.585,0.5816561242093157,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
22,0.05187356099486351,1.2180880308151245,1.2949281930923462,1.0,0.585,0.5770557791834388,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
23,0.044385626912117004,1.2326693534851074,1.3137500286102295,1.0,0.5775,0.5761932144910868,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
24,0.04292875900864601,1.2482783794403076,1.3310025930404663,1.0,0.5875,0.5747556066705003,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
25,0.04163665696978569,1.2641910314559937,1.3490062952041626,1.0,0.585,0.5741805635422657,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
26,0.04228692129254341,1.2782069444656372,1.365151286125183,1.0,0.585,0.5718803910293272,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
27,0.04466451704502106,1.2895132303237915,1.3760515451431274,1.0,0.585,0.5727429557216791,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
28,0.044342171400785446,1.2988704442977905,1.3858314752578735,1.0,0.585,0.5724554341575618,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
29,0.04028017818927765,1.303163766860962,1.387753963470459,1.0,0.5875,0.5704427832087406,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
30,0.04592275619506836,1.304538607597351,1.3832212686538696,1.0,0.595,0.5710178263369753,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
31,0.04375926032662392,1.306367039680481,1.3800983428955078,1.0,0.585,0.569867740080506,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
32,0.04114716500043869,1.307539701461792,1.3753634691238403,1.0,0.585,0.5730304772857965,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
33,0.04426504299044609,1.310701608657837,1.3717373609542847,1.0,0.5825,0.5721679125934445,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
34,0.04288838431239128,1.3154362440109253,1.374526858329773,1.0,0.5925,0.5713053479010926,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
35,0.04350343719124794,1.3229984045028687,1.3847119808197021,1.0,0.5975,0.5738930419781484,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
36,0.046346891671419144,1.3308466672897339,1.4025044441223145,1.0,0.585,0.5681426106958022,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
37,0.0451984778046608,1.3302547931671143,1.4143604040145874,1.0,0.5925,0.5638297872340425,0.01,0.6025,0.5756181713628522,6,Accuracy,higher,final,2
