epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.1085436344146729,1.0700793266296387,1.0762509107589722,0.695,0.4375,0.4039677975848189,0.01,0.4375,0.4039677975848189,0,Accuracy,higher,final,1
1,1.0151686668395996,1.019309401512146,1.04042649269104,0.7675,0.485,0.46003450258769407,0.01,0.485,0.46003450258769407,1,Accuracy,higher,final,1
2,0.877449631690979,0.9757446050643921,1.0087389945983887,0.8225,0.5225,0.48389879240943073,0.01,0.5225,0.48389879240943073,2,Accuracy,higher,final,1
3,0.7245668768882751,0.9427071213722229,0.9799405932426453,0.8875,0.5525,0.5138010350776309,0.01,0.5525,0.5138010350776309,3,Accuracy,higher,final,1
4,0.5683653950691223,0.9158742427825928,0.9481316804885864,0.95,0.5625,0.5402530189764232,0.01,0.5625,0.5402530189764232,4,Accuracy,higher,final,1
5,0.4239577353000641,0.9020287990570068,0.9215513467788696,0.975,0.5975,0.5713053479010926,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
6,0.2957603335380554,0.9149990081787109,0.9197414517402649,0.99,0.585,0.5848188614146062,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
7,0.2012731432914734,0.9552519917488098,0.9500136375427246,0.995,0.57,0.5920069005175388,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
8,0.14261570572853088,1.0017368793487549,0.9967480301856995,0.9975,0.57,0.5908568142610696,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
9,0.10557211190462112,1.0456435680389404,1.051641821861267,0.9975,0.57,0.5891316848763657,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
10,0.06994278728961945,1.0956181287765503,1.1190333366394043,0.9975,0.565,0.5874065554916619,0.01,0.5975,0.5713053479010926,5,Accuracy,higher,final,1
