epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.6411080360412598,1.5195550918579102,1.4245494604110718,0.5402298850574713,0.5254237288135594,0.6486486486486487,0.01,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
1,1.306247353553772,1.4271091222763062,1.3183399438858032,0.6551724137931034,0.5254237288135594,0.6486486486486487,0.01,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
2,1.0239067077636719,1.4882060289382935,1.4585334062576294,0.7011494252873564,0.5084745762711864,0.4864864864864865,0.01,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
3,0.9615448713302612,1.2870625257492065,1.2825334072113037,0.7241379310344828,0.5423728813559322,0.5945945945945946,0.01,0.5423728813559322,0.5945945945945946,3,Accuracy,higher,final,0
4,0.9323940277099609,1.246019959449768,1.264891505241394,0.7471264367816092,0.576271186440678,0.6216216216216216,0.01,0.576271186440678,0.6216216216216216,4,Accuracy,higher,final,0
5,0.8145007491111755,1.3804806470870972,1.4430011510849,0.7241379310344828,0.6271186440677966,0.6216216216216216,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
6,0.7991816997528076,1.4831364154815674,1.559784173965454,0.7586206896551724,0.6271186440677966,0.6216216216216216,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
7,0.7143227458000183,1.5626074075698853,1.6493761539459229,0.7816091954022989,0.576271186440678,0.6216216216216216,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
8,0.7662219405174255,1.7944047451019287,1.9173945188522339,0.8160919540229885,0.4745762711864407,0.4594594594594595,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
9,0.6028972864151001,2.076012372970581,2.227452278137207,0.7816091954022989,0.3728813559322034,0.16216216216216217,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
10,0.6445099711418152,2.082184314727783,2.2502999305725098,0.7931034482758621,0.3389830508474576,0.1891891891891892,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
11,0.7875425815582275,1.8378679752349854,2.0180439949035645,0.8390804597701149,0.5084745762711864,0.4594594594594595,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
12,0.49138781428337097,1.7432153224945068,1.9375602006912231,0.8275862068965517,0.559322033898305,0.5675675675675675,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
13,0.5175097584724426,1.7489709854125977,1.9513964653015137,0.8160919540229885,0.5932203389830508,0.5675675675675675,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
14,0.5578521490097046,1.786072015762329,1.9846463203430176,0.8275862068965517,0.576271186440678,0.5675675675675675,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
15,0.5078316330909729,1.8506940603256226,2.024085521697998,0.8735632183908046,0.559322033898305,0.5405405405405406,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
16,0.47711724042892456,1.9572116136550903,2.087315320968628,0.8850574712643678,0.559322033898305,0.5405405405405406,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
17,0.5723804831504822,2.110196113586426,2.1705963611602783,0.8735632183908046,0.576271186440678,0.4864864864864865,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
18,0.5582876801490784,2.202760934829712,2.2245352268218994,0.8390804597701149,0.5423728813559322,0.4864864864864865,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
19,0.41514334082603455,2.2828893661499023,2.2825164794921875,0.8390804597701149,0.5423728813559322,0.4864864864864865,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
20,0.4429236650466919,2.329899311065674,2.3421363830566406,0.8620689655172413,0.5423728813559322,0.5135135135135135,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
21,0.4623914361000061,2.3611600399017334,2.403862714767456,0.8160919540229885,0.576271186440678,0.5405405405405406,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
22,0.6188473105430603,2.3622097969055176,2.469902276992798,0.8390804597701149,0.576271186440678,0.4864864864864865,0.01,0.6271186440677966,0.6216216216216216,5,Accuracy,higher,final,0
