epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.6972436904907227,1.243074893951416,1.0759296417236328,0.5517241379310345,0.5254237288135594,0.6486486486486487,0.01,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,1
1,1.1396360397338867,1.2062996625900269,1.022547960281372,0.7241379310344828,0.559322033898305,0.6756756756756757,0.01,0.559322033898305,0.6756756756756757,1,Accuracy,higher,final,1
2,0.8038470149040222,1.1017109155654907,0.9346913695335388,0.8620689655172413,0.6610169491525424,0.7027027027027027,0.01,0.6610169491525424,0.7027027027027027,2,Accuracy,higher,final,1
3,0.592822790145874,0.9818123579025269,0.8494352102279663,0.896551724137931,0.6949152542372882,0.7297297297297297,0.01,0.6949152542372882,0.7297297297297297,3,Accuracy,higher,final,1
4,0.47073906660079956,0.8713917136192322,0.7729165554046631,0.9310344827586207,0.711864406779661,0.7297297297297297,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
5,0.2713395953178406,0.7995421886444092,0.7490421533584595,0.9425287356321839,0.6949152542372882,0.7027027027027027,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
6,0.22892804443836212,0.7377987504005432,0.7004101276397705,0.9540229885057471,0.711864406779661,0.7297297297297297,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
7,0.26181578636169434,0.7188820838928223,0.6785528063774109,0.9770114942528736,0.6949152542372882,0.7837837837837838,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
8,0.11998404562473297,0.7606502175331116,0.7293661236763,0.9770114942528736,0.711864406779661,0.7837837837837838,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
9,0.16111689805984497,0.7927542328834534,0.7911825180053711,0.9770114942528736,0.6779661016949152,0.7837837837837838,0.01,0.711864406779661,0.7297297297297297,4,Accuracy,higher,final,1
10,0.12608729302883148,0.8075186610221863,0.8424971103668213,0.9885057471264368,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
11,0.09011130779981613,0.8332746028900146,0.8893688321113586,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
12,0.09330172836780548,0.8786107897758484,0.9512312412261963,1.0,0.6949152542372882,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
13,0.08146050572395325,0.9288670420646667,1.0095484256744385,1.0,0.6779661016949152,0.7027027027027027,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
14,0.04839170351624489,0.9567110538482666,1.0412731170654297,1.0,0.6779661016949152,0.7027027027027027,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
15,0.04807370901107788,0.9529136419296265,1.0369662046432495,1.0,0.6610169491525424,0.7297297297297297,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
16,0.06772463023662567,0.9305387735366821,1.0104984045028687,1.0,0.6610169491525424,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
17,0.03745312616229057,0.9151062369346619,0.990672767162323,1.0,0.6779661016949152,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
18,0.027978694066405296,0.9247578978538513,0.9979780316352844,1.0,0.6949152542372882,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
19,0.046948377043008804,0.9874863624572754,1.0577014684677124,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
20,0.03576461225748062,1.0930567979812622,1.1457960605621338,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
21,0.04364563897252083,1.1428258419036865,1.1761480569839478,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
22,0.03196381777524948,1.147022008895874,1.1741561889648438,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
23,0.055752720683813095,1.1056805849075317,1.1382523775100708,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
24,0.046613555401563644,1.0768178701400757,1.1293096542358398,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
25,0.02433668076992035,1.0167485475540161,1.1033519506454468,1.0,0.7288135593220338,0.7297297297297297,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
26,0.014233367517590523,0.9600197672843933,1.083268404006958,1.0,0.7457627118644068,0.7297297297297297,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
27,0.029187723994255066,0.9023447632789612,1.0558000802993774,1.0,0.7288135593220338,0.7297297297297297,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
28,0.005242479965090752,0.8711602091789246,1.0408604145050049,1.0,0.7457627118644068,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
29,0.015103034675121307,0.8561225533485413,1.034712314605713,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
30,0.025228768587112427,0.8452290296554565,1.0264610052108765,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
31,0.021044684574007988,0.8401364684104919,1.0211430788040161,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
32,0.0162966251373291,0.8346983194351196,1.0207308530807495,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
33,0.014226059429347515,0.8368197083473206,1.0279512405395508,1.0,0.7288135593220338,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
34,0.017628049477934837,0.8487536907196045,1.0463494062423706,1.0,0.711864406779661,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
35,0.006607381626963615,0.8626837730407715,1.061954379081726,1.0,0.711864406779661,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
36,0.005558679345995188,0.8750302791595459,1.0751179456710815,1.0,0.6949152542372882,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
37,0.007524432614445686,0.8959436416625977,1.089561939239502,1.0,0.6949152542372882,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
38,0.013896137475967407,0.9139842391014099,1.1023234128952026,1.0,0.6949152542372882,0.8108108108108109,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
39,0.002788630547001958,0.9295486211776733,1.1144767999649048,1.0,0.6949152542372882,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
40,0.01691218838095665,0.9298091530799866,1.119148850440979,1.0,0.6949152542372882,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
41,0.0164780355989933,0.9313956499099731,1.1254544258117676,1.0,0.6949152542372882,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
42,0.012394069693982601,0.9376615285873413,1.1355355978012085,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
43,0.0049627856351435184,0.946975588798523,1.1531528234481812,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
44,0.008763854391872883,0.955610990524292,1.1708744764328003,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
45,0.002104773186147213,0.9659648537635803,1.18820059299469,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
46,0.008563757874071598,0.9780135154724121,1.202998399734497,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
47,0.010384486988186836,0.9827092289924622,1.209580898284912,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
48,0.005890273954719305,0.9865735769271851,1.2164371013641357,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
49,0.007336850743740797,0.9910308122634888,1.2203867435455322,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
50,0.01942543126642704,0.9774521589279175,1.2132717370986938,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
51,0.008803651668131351,0.9622470140457153,1.2058874368667603,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7457627118644068,0.7837837837837838,10,Accuracy,higher,final,1
52,0.012252533808350563,0.9560048580169678,1.20537269115448,1.0,0.7627118644067796,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
53,0.004089852329343557,0.9499192237854004,1.2049360275268555,1.0,0.7627118644067796,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
54,0.01806197687983513,0.9463950991630554,1.2046942710876465,1.0,0.7627118644067796,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
55,0.006154872011393309,0.9414842128753662,1.2036411762237549,1.0,0.7627118644067796,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
56,0.004277327097952366,0.9352294206619263,1.2008249759674072,1.0,0.7627118644067796,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
57,0.024864306673407555,0.9083296060562134,1.183371663093567,1.0,0.7457627118644068,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
58,0.008701945655047894,0.8807198405265808,1.160845398902893,1.0,0.7288135593220338,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
59,0.006459944415837526,0.8632827401161194,1.1429061889648438,1.0,0.6949152542372882,0.7837837837837838,0.01,0.7627118644067796,0.7837837837837838,52,Accuracy,higher,final,1
