epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.0973759889602661,5.6611409187316895,5.574023723602295,0.3774104683195592,0.3314917127071823,0.3432483474976393,0.01,0.3314917127071823,0.3432483474976393,0,Accuracy,higher,final,2
1,5.235349655151367,1.0134379863739014,1.036967396736145,0.2988980716253444,0.36464088397790057,0.33899905571293676,0.01,0.36464088397790057,0.33899905571293676,1,Accuracy,higher,final,2
2,1.101229190826416,1.307908058166504,1.320221185684204,0.32920110192837465,0.30386740331491713,0.31964117091595845,0.01,0.36464088397790057,0.33899905571293676,1,Accuracy,higher,final,2
3,1.3833298683166504,1.0236704349517822,1.0156137943267822,0.3333333333333333,0.30386740331491713,0.32200188857412654,0.01,0.36464088397790057,0.33899905571293676,1,Accuracy,higher,final,2
4,1.0089597702026367,1.0064940452575684,0.988788902759552,0.46831955922865015,0.3867403314917127,0.3942398489140699,0.01,0.3867403314917127,0.3942398489140699,4,Accuracy,higher,final,2
5,0.995263397693634,1.0127915143966675,0.9952827095985413,0.4669421487603306,0.39779005524861877,0.3947119924457035,0.01,0.39779005524861877,0.3947119924457035,5,Accuracy,higher,final,2
6,0.983680009841919,0.8785947561264038,0.851138710975647,0.6790633608815427,0.5966850828729282,0.6203966005665722,0.01,0.5966850828729282,0.6203966005665722,6,Accuracy,higher,final,2
7,0.8157020807266235,0.9173963069915771,0.8811523914337158,0.640495867768595,0.569060773480663,0.5745986779981114,0.01,0.5966850828729282,0.6203966005665722,6,Accuracy,higher,final,2
8,0.8310956954956055,0.7147083878517151,0.6836047172546387,0.8925619834710744,0.7513812154696132,0.8092540132200189,0.01,0.7513812154696132,0.8092540132200189,8,Accuracy,higher,final,2
9,0.6337237358093262,0.6599716544151306,0.6437294483184814,0.9146005509641874,0.7900552486187845,0.8418319169027384,0.01,0.7900552486187845,0.8418319169027384,9,Accuracy,higher,final,2
10,0.6170527338981628,0.6251143217086792,0.5985338687896729,0.9352617079889807,0.8011049723756906,0.852219074598678,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
11,0.6001572012901306,0.6462650895118713,0.5968309640884399,0.8787878787878788,0.7016574585635359,0.7719546742209632,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
12,0.5778042078018188,0.5607928037643433,0.5216728448867798,0.9297520661157025,0.7734806629834254,0.8394711992445704,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
13,0.510593831539154,0.5385190844535828,0.5166285037994385,0.9297520661157025,0.8011049723756906,0.846081208687441,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
14,0.4675990045070648,0.509729266166687,0.4748820960521698,0.9325068870523416,0.7955801104972375,0.8446647780925401,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
15,0.4269241988658905,0.5328346490859985,0.46267831325531006,0.9242424242424242,0.7790055248618785,0.8163361661945231,0.01,0.8011049723756906,0.852219074598678,10,Accuracy,higher,final,2
16,0.39888012409210205,0.4524560570716858,0.4064781069755554,0.9559228650137741,0.8176795580110497,0.8762983947119924,0.01,0.8176795580110497,0.8762983947119924,16,Accuracy,higher,final,2
17,0.36929917335510254,0.38803425431251526,0.3633496165275574,0.9710743801652892,0.8839779005524862,0.902738432483475,0.01,0.8839779005524862,0.902738432483475,17,Accuracy,higher,final,2
18,0.32884690165519714,0.35557034611701965,0.3388983905315399,0.9724517906336089,0.8839779005524862,0.9032105760151086,0.01,0.8839779005524862,0.902738432483475,17,Accuracy,higher,final,2
19,0.30494338274002075,0.3455161452293396,0.31410011649131775,0.9683195592286501,0.8729281767955801,0.9102927289896129,0.01,0.8839779005524862,0.902738432483475,17,Accuracy,higher,final,2
20,0.26740479469299316,0.3421918451786041,0.3041740655899048,0.9669421487603306,0.8729281767955801,0.9041548630783758,0.01,0.8839779005524862,0.902738432483475,17,Accuracy,higher,final,2
21,0.2529067397117615,0.31608933210372925,0.285793274641037,0.9724517906336089,0.8784530386740331,0.9098205854579793,0.01,0.8839779005524862,0.902738432483475,17,Accuracy,higher,final,2
22,0.22440184652805328,0.27999597787857056,0.26662397384643555,0.9793388429752066,0.8895027624309392,0.9150141643059491,0.01,0.8895027624309392,0.9150141643059491,22,Accuracy,higher,final,2
23,0.19494947791099548,0.2600858211517334,0.2623485326766968,0.9820936639118457,0.8950276243093923,0.9050991501416431,0.01,0.8950276243093923,0.9050991501416431,23,Accuracy,higher,final,2
24,0.21529486775398254,0.2558758854866028,0.24957580864429474,0.9834710743801653,0.8950276243093923,0.9135977337110481,0.01,0.8950276243093923,0.9050991501416431,23,Accuracy,higher,final,2
25,0.16615276038646698,0.27644121646881104,0.24959278106689453,0.9862258953168044,0.8950276243093923,0.9202077431539188,0.01,0.8950276243093923,0.9050991501416431,23,Accuracy,higher,final,2
26,0.15524087846279144,0.3108508884906769,0.26669028401374817,0.9862258953168044,0.8784530386740331,0.9050991501416431,0.01,0.8950276243093923,0.9050991501416431,23,Accuracy,higher,final,2
27,0.15377669036388397,0.3069233000278473,0.263774573802948,0.9889807162534435,0.8895027624309392,0.9036827195467422,0.01,0.8950276243093923,0.9050991501416431,23,Accuracy,higher,final,2
28,0.14653992652893066,0.2714308798313141,0.24333322048187256,0.9889807162534435,0.9005524861878453,0.9131255901794145,0.01,0.9005524861878453,0.9131255901794145,28,Accuracy,higher,final,2
29,0.11870367079973221,0.24780750274658203,0.23121027648448944,0.9931129476584022,0.8950276243093923,0.9220963172804533,0.01,0.9005524861878453,0.9131255901794145,28,Accuracy,higher,final,2
30,0.1197672113776207,0.24024367332458496,0.22680145502090454,0.9944903581267218,0.9005524861878453,0.9235127478753541,0.01,0.9005524861878453,0.9131255901794145,28,Accuracy,higher,final,2
31,0.13839241862297058,0.24948282539844513,0.22771911323070526,0.9944903581267218,0.9060773480662984,0.9187913125590179,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
32,0.10804592072963715,0.2721395492553711,0.23737670481204987,0.9944903581267218,0.9005524861878453,0.9150141643059491,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
33,0.0949791744351387,0.288316547870636,0.2454664558172226,0.9944903581267218,0.8950276243093923,0.9140698772426817,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
34,0.09225244075059891,0.29022395610809326,0.24613142013549805,0.9944903581267218,0.8950276243093923,0.9145420207743153,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
35,0.0679890587925911,0.2747541069984436,0.23804232478141785,0.9972451790633609,0.9060773480662984,0.9140698772426817,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
36,0.07046576589345932,0.2578045427799225,0.2326422929763794,1.0,0.9005524861878453,0.9197355996222851,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
37,0.07492139935493469,0.2503722012042999,0.233427956700325,1.0,0.9060773480662984,0.9192634560906515,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
38,0.06379183381795883,0.25340762734413147,0.2370629459619522,1.0,0.9060773480662984,0.9183191690273843,0.01,0.9060773480662984,0.9187913125590179,31,Accuracy,higher,final,2
39,0.060178037732839584,0.2625565826892853,0.24066346883773804,1.0,0.9116022099447514,0.9164305949008499,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
40,0.05510368198156357,0.272892028093338,0.24422459304332733,1.0,0.9116022099447514,0.9159584513692163,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
41,0.052223678678274155,0.28753629326820374,0.25015848875045776,1.0,0.9005524861878453,0.9140698772426817,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
42,0.06586252152919769,0.28822842240333557,0.24995331466197968,1.0,0.9060773480662984,0.9131255901794145,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
43,0.05170099809765816,0.28430524468421936,0.2477308064699173,1.0,0.9060773480662984,0.9135977337110481,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
44,0.03953763097524643,0.28290045261383057,0.2476087063550949,1.0,0.9005524861878453,0.9164305949008499,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
45,0.049355119466781616,0.2823343575000763,0.24852679669857025,1.0,0.9005524861878453,0.9169027384324835,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
46,0.040323205292224884,0.28630778193473816,0.2525416910648346,1.0,0.9005524861878453,0.9150141643059491,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
47,0.04053720831871033,0.3073843717575073,0.26410818099975586,1.0,0.9005524861878453,0.9121813031161473,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
48,0.045942384749650955,0.3309764266014099,0.2788064181804657,1.0,0.9005524861878453,0.9140698772426817,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
49,0.03389955312013626,0.34394600987434387,0.28620463609695435,1.0,0.9005524861878453,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
50,0.048076990991830826,0.3430705964565277,0.28321942687034607,1.0,0.9005524861878453,0.9121813031161473,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
51,0.034711308777332306,0.33485063910484314,0.276003897190094,1.0,0.9060773480662984,0.9117091595845137,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
52,0.03884941712021828,0.3110973834991455,0.26378828287124634,1.0,0.9005524861878453,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
53,0.04735414311289787,0.3056575357913971,0.2617347836494446,1.0,0.9005524861878453,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
54,0.03712945058941841,0.3210374116897583,0.2729116976261139,1.0,0.9060773480662984,0.9112370160528801,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
55,0.04669513180851936,0.3244509994983673,0.27637484669685364,1.0,0.9005524861878453,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
56,0.04410867765545845,0.32152336835861206,0.2757331430912018,1.0,0.9005524861878453,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
57,0.03847017139196396,0.3159922957420349,0.2705763876438141,1.0,0.9005524861878453,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
58,0.034053362905979156,0.30901744961738586,0.26323339343070984,1.0,0.9060773480662984,0.9079320113314447,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
59,0.03815141320228577,0.31120797991752625,0.26203614473342896,1.0,0.9005524861878453,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
60,0.02933584712445736,0.32022300362586975,0.2663688063621521,1.0,0.9060773480662984,0.9117091595845137,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
61,0.03502144664525986,0.33882856369018555,0.2784736752510071,1.0,0.9060773480662984,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
62,0.0410287119448185,0.3516266942024231,0.288031667470932,1.0,0.9060773480662984,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
63,0.034858547151088715,0.37139075994491577,0.3030269145965576,1.0,0.9116022099447514,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
64,0.027190444990992546,0.3746616840362549,0.30683860182762146,1.0,0.9116022099447514,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
65,0.03194190934300423,0.37758389115333557,0.31058675050735474,1.0,0.9060773480662984,0.9084041548630784,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
66,0.030614038929343224,0.3363572657108307,0.2840842008590698,1.0,0.9060773480662984,0.9060434372049103,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
67,0.02845297008752823,0.311871200799942,0.27073585987091064,1.0,0.9005524861878453,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
68,0.045037638396024704,0.3171693682670593,0.27076131105422974,1.0,0.9005524861878453,0.9069877242681775,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
69,0.03467161953449249,0.3380478620529175,0.28111907839775085,1.0,0.9060773480662984,0.9098205854579793,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
70,0.03511442616581917,0.3464868366718292,0.2865554988384247,1.0,0.9060773480662984,0.9112370160528801,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
71,0.03516177460551262,0.3409954309463501,0.28338295221328735,1.0,0.9060773480662984,0.9102927289896129,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
72,0.03325345739722252,0.3118168115615845,0.2665386199951172,1.0,0.9060773480662984,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
73,0.02751569263637066,0.2936725914478302,0.2611686885356903,1.0,0.8950276243093923,0.9084041548630784,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
74,0.03431377559900284,0.2991982698440552,0.2652326822280884,1.0,0.8950276243093923,0.908876298394712,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
75,0.030726976692676544,0.31493818759918213,0.27418532967567444,1.0,0.9005524861878453,0.9060434372049103,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
76,0.03179691359400749,0.340981662273407,0.2895675003528595,1.0,0.9060773480662984,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
77,0.038874104619026184,0.3359576165676117,0.28556007146835327,1.0,0.9060773480662984,0.9069877242681775,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
78,0.03266911208629608,0.33137306571006775,0.28139686584472656,1.0,0.9060773480662984,0.908876298394712,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
79,0.0274349395185709,0.3599095642566681,0.2981683909893036,1.0,0.9116022099447514,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
80,0.03443821147084236,0.3191785514354706,0.2741324305534363,1.0,0.9005524861878453,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
81,0.03901438042521477,0.323910117149353,0.2749466896057129,1.0,0.9060773480662984,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
82,0.03496858477592468,0.3572980463504791,0.2940952181816101,1.0,0.9060773480662984,0.9121813031161473,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
83,0.028094245120882988,0.342669814825058,0.2848684787750244,1.0,0.9116022099447514,0.9102927289896129,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
84,0.038237620145082474,0.32864469289779663,0.2783939242362976,1.0,0.9005524861878453,0.9069877242681775,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
85,0.03977452591061592,0.32113876938819885,0.2803340256214142,1.0,0.9005524861878453,0.9055712936732767,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
86,0.029156014323234558,0.3579687178134918,0.30353081226348877,1.0,0.9005524861878453,0.9055712936732767,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
87,0.048161908984184265,0.28820231556892395,0.2591094970703125,1.0,0.8950276243093923,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
88,0.02750045247375965,0.2840711176395416,0.256976455450058,1.0,0.9005524861878453,0.9117091595845137,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
89,0.03655403107404709,0.34837326407432556,0.28981196880340576,1.0,0.9116022099447514,0.9150141643059491,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
90,0.03332546725869179,0.3602514863014221,0.2995409369468689,1.0,0.9005524861878453,0.9102927289896129,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
91,0.02895248308777809,0.33228930830955505,0.2801770865917206,1.0,0.9005524861878453,0.9093484419263456,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
92,0.03719841688871384,0.2819945216178894,0.2596627473831177,1.0,0.9005524861878453,0.9079320113314447,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
93,0.029666632413864136,0.27214327454566956,0.261605441570282,1.0,0.9005524861878453,0.9046270066100094,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
94,0.031824007630348206,0.3353148102760315,0.28189942240715027,1.0,0.9005524861878453,0.9107648725212465,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
95,0.03685818240046501,0.40639644861221313,0.3341347873210907,1.0,0.8839779005524862,0.9060434372049103,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
96,0.02952135168015957,0.413526326417923,0.34037914872169495,1.0,0.8839779005524862,0.9032105760151086,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
97,0.03244755044579506,0.3287031352519989,0.27884143590927124,1.0,0.9116022099447514,0.9169027384324835,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
98,0.041154053062200546,0.26314809918403625,0.28007593750953674,1.0,0.8895027624309392,0.9041548630783758,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
99,0.04979119077324867,0.30140990018844604,0.269075870513916,1.0,0.9060773480662984,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
100,0.0389731340110302,0.3704913556575775,0.3117314875125885,1.0,0.9005524861878453,0.9079320113314447,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
101,0.03817862644791603,0.40169546008110046,0.3356228470802307,1.0,0.8950276243093923,0.9013220018885741,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
102,0.034344632178545,0.3389259874820709,0.2895912528038025,1.0,0.9116022099447514,0.9074598677998111,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
103,0.03661486506462097,0.27350425720214844,0.2610023319721222,1.0,0.9005524861878453,0.9084041548630784,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
104,0.028383903205394745,0.28137844800949097,0.25722894072532654,1.0,0.9116022099447514,0.9140698772426817,0.01,0.9116022099447514,0.9164305949008499,39,Accuracy,higher,final,2
