epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.4051933288574219,1.1953059434890747,1.2547444105148315,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
1,1.332303762435913,1.196044921875,1.2710061073303223,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
2,1.3228217363357544,1.19132399559021,1.2698034048080444,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
3,1.353642463684082,1.1551926136016846,1.2360318899154663,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
4,1.307350993156433,1.1222429275512695,1.2032992839813232,0.5089285714285714,0.6071428571428571,0.5,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
5,1.3578075170516968,1.1255333423614502,1.1966079473495483,0.49107142857142855,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
6,1.3043965101242065,1.1438521146774292,1.2014024257659912,0.4732142857142857,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
7,1.3146555423736572,1.1471713781356812,1.1936955451965332,0.4732142857142857,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
8,1.3141447305679321,1.1446521282196045,1.181673526763916,0.49107142857142855,0.6071428571428571,0.5833333333333334,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
9,1.3002281188964844,1.1464101076126099,1.1754825115203857,0.49107142857142855,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
10,1.2415904998779297,1.1566162109375,1.179619312286377,0.5089285714285714,0.6071428571428571,0.5277777777777778,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
11,1.254876971244812,1.1621572971343994,1.1851180791854858,0.49107142857142855,0.6071428571428571,0.5277777777777778,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
12,1.2603718042373657,1.1667734384536743,1.1904815435409546,0.49107142857142855,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
13,1.2542680501937866,1.1663464307785034,1.1911101341247559,0.5,0.6071428571428571,0.5555555555555556,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
14,1.2644462585449219,1.1583898067474365,1.1847920417785645,0.48214285714285715,0.6071428571428571,0.5833333333333334,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
15,1.271662950515747,1.142350673675537,1.1738499402999878,0.48214285714285715,0.6071428571428571,0.5833333333333334,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
16,1.2645795345306396,1.1292469501495361,1.1648744344711304,0.4732142857142857,0.6071428571428571,0.5833333333333334,0.01,0.6071428571428571,0.5,4,Accuracy,higher,final,0
