epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.779894232749939,1.6285754442214966,1.550992488861084,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
1,1.7742595672607422,1.389364242553711,1.410400390625,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.32142857142857145,0.3333333333333333,0,Accuracy,higher,final,0
2,1.482956886291504,1.0705443620681763,1.216138243675232,0.5178571428571429,0.6071428571428571,0.6111111111111112,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
3,1.4863882064819336,1.0759413242340088,1.2544481754302979,0.4017857142857143,0.5714285714285714,0.4444444444444444,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
4,1.6640493869781494,1.0542289018630981,1.197638750076294,0.5,0.5714285714285714,0.5833333333333334,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
5,1.5360767841339111,1.109050989151001,1.1921617984771729,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
6,1.4477537870407104,1.2298166751861572,1.2488651275634766,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
7,1.3989708423614502,1.3046716451644897,1.2842589616775513,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
8,1.2849321365356445,1.3101452589035034,1.2762000560760498,0.3482142857142857,0.32142857142857145,0.3333333333333333,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
9,1.3803168535232544,1.295197606086731,1.2666724920272827,0.375,0.5357142857142857,0.3888888888888889,0.01,0.6071428571428571,0.6111111111111112,2,Accuracy,higher,final,0
10,1.2801634073257446,1.2784916162490845,1.2651481628417969,0.5267857142857143,0.6428571428571429,0.5277777777777778,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
11,1.3447611331939697,1.2203532457351685,1.223235845565796,0.48214285714285715,0.6428571428571429,0.5833333333333334,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
12,1.3533023595809937,1.1494592428207397,1.1700984239578247,0.48214285714285715,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
13,1.2224394083023071,1.130989670753479,1.1535097360610962,0.5178571428571429,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
14,1.244400143623352,1.1453148126602173,1.1655031442642212,0.48214285714285715,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
15,1.2182562351226807,1.1561095714569092,1.17710280418396,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
16,1.2588516473770142,1.156009316444397,1.179381012916565,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
17,1.2086092233657837,1.1389338970184326,1.167440414428711,0.48214285714285715,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
18,1.2304445505142212,1.116860032081604,1.1496442556381226,0.5,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
19,1.2035328149795532,1.1102464199066162,1.141133189201355,0.5178571428571429,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
20,1.2159568071365356,1.1093270778656006,1.1344854831695557,0.5178571428571429,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
21,1.2226663827896118,1.1363853216171265,1.1435770988464355,0.5,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
22,1.131163477897644,1.1919053792953491,1.1742218732833862,0.48214285714285715,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
23,1.1293047666549683,1.24491286277771,1.2063932418823242,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
24,1.2517975568771362,1.277617335319519,1.22702956199646,0.48214285714285715,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
25,1.1911977529525757,1.2815526723861694,1.2292990684509277,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
26,1.2097948789596558,1.2585809230804443,1.2134138345718384,0.4732142857142857,0.6071428571428571,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
27,1.1654431819915771,1.2108099460601807,1.181251049041748,0.5,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
28,1.1410287618637085,1.1622856855392456,1.1498972177505493,0.5,0.6428571428571429,0.5277777777777778,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
29,1.2017823457717896,1.124910831451416,1.1272623538970947,0.5089285714285714,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
30,1.1292966604232788,1.1033483743667603,1.1151151657104492,0.5089285714285714,0.6071428571428571,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
31,1.2414690256118774,1.1026999950408936,1.115063190460205,0.5,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
32,1.1470271348953247,1.1157244443893433,1.124294638633728,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
33,1.1935198307037354,1.1289451122283936,1.1329869031906128,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
34,1.258036732673645,1.1450042724609375,1.142552137374878,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
35,1.111299753189087,1.1492606401443481,1.1448198556900024,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
36,1.1977555751800537,1.1546741724014282,1.1463655233383179,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
37,1.1680101156234741,1.1472631692886353,1.1403827667236328,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
38,1.172410249710083,1.1285475492477417,1.128243088722229,0.5089285714285714,0.6428571428571429,0.5277777777777778,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
39,1.1116214990615845,1.1166208982467651,1.1221330165863037,0.5089285714285714,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
40,1.255219578742981,1.1325874328613281,1.1314164400100708,0.5,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
41,1.1456010341644287,1.152699589729309,1.1433202028274536,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
42,1.191985011100769,1.1626633405685425,1.149638056755066,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
43,1.0716567039489746,1.1719869375228882,1.1554971933364868,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
44,1.1470718383789062,1.152809739112854,1.142951488494873,0.5089285714285714,0.6428571428571429,0.5,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
45,1.1308461427688599,1.1326231956481934,1.130324125289917,0.5178571428571429,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
46,1.116021752357483,1.1189031600952148,1.12134850025177,0.5089285714285714,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
47,1.132719874382019,1.1036481857299805,1.111416220664978,0.5,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
48,1.1227089166641235,1.0991487503051758,1.1091749668121338,0.5,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
49,1.1042355298995972,1.1128076314926147,1.1182187795639038,0.5089285714285714,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
50,1.0690653324127197,1.1306467056274414,1.1292544603347778,0.5178571428571429,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
51,1.0914753675460815,1.135137915611267,1.1320509910583496,0.5267857142857143,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
52,1.1328493356704712,1.126224398612976,1.1267095804214478,0.5178571428571429,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
53,1.1292774677276611,1.1194342374801636,1.121840000152588,0.5178571428571429,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
54,1.12675940990448,1.1143654584884644,1.1177321672439575,0.5089285714285714,0.6428571428571429,0.5555555555555556,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
55,1.085848331451416,1.1076924800872803,1.1125454902648926,0.5,0.6428571428571429,0.5833333333333334,0.01,0.6428571428571429,0.5277777777777778,10,Accuracy,higher,final,0
