epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.7927438020706177,1.7919379472732544,1.7906715869903564,0.18333333333333332,0.212,0.231,0.01,0.212,0.231,0,Accuracy,higher,final,0
1,1.7882373332977295,1.7891933917999268,1.7878539562225342,0.2833333333333333,0.214,0.232,0.01,0.214,0.232,1,Accuracy,higher,final,0
2,1.7802314758300781,1.7863986492156982,1.7847681045532227,0.31666666666666665,0.216,0.24,0.01,0.216,0.24,2,Accuracy,higher,final,0
3,1.771816372871399,1.782724142074585,1.7808724641799927,0.65,0.264,0.299,0.01,0.264,0.299,3,Accuracy,higher,final,0
4,1.7599810361862183,1.7783186435699463,1.7763662338256836,0.8666666666666667,0.386,0.426,0.01,0.386,0.426,4,Accuracy,higher,final,0
5,1.7469093799591064,1.773223638534546,1.7713570594787598,0.925,0.438,0.47,0.01,0.438,0.47,5,Accuracy,higher,final,0
6,1.730333924293518,1.767484426498413,1.765702724456787,0.95,0.492,0.517,0.01,0.492,0.517,6,Accuracy,higher,final,0
7,1.7149025201797485,1.7605466842651367,1.7589728832244873,0.9583333333333334,0.536,0.562,0.01,0.536,0.562,7,Accuracy,higher,final,0
8,1.6928597688674927,1.7528592348098755,1.7515901327133179,0.9666666666666667,0.58,0.604,0.01,0.58,0.604,8,Accuracy,higher,final,0
9,1.6652973890304565,1.7443724870681763,1.7434039115905762,0.9666666666666667,0.62,0.642,0.01,0.62,0.642,9,Accuracy,higher,final,0
10,1.6409426927566528,1.735541820526123,1.7347803115844727,0.9916666666666667,0.658,0.678,0.01,0.658,0.678,10,Accuracy,higher,final,0
11,1.6218992471694946,1.7267847061157227,1.7257628440856934,1.0,0.68,0.691,0.01,0.68,0.691,11,Accuracy,higher,final,0
12,1.5803889036178589,1.7172139883041382,1.7157126665115356,1.0,0.682,0.697,0.01,0.682,0.697,12,Accuracy,higher,final,0
13,1.5462394952774048,1.7074981927871704,1.7053115367889404,1.0,0.688,0.696,0.01,0.688,0.696,13,Accuracy,higher,final,0
14,1.5180150270462036,1.6976255178451538,1.694655418395996,1.0,0.68,0.689,0.01,0.688,0.696,13,Accuracy,higher,final,0
15,1.4823724031448364,1.6860421895980835,1.6822596788406372,1.0,0.676,0.679,0.01,0.688,0.696,13,Accuracy,higher,final,0
16,1.437233328819275,1.672884464263916,1.6682817935943604,1.0,0.68,0.673,0.01,0.688,0.696,13,Accuracy,higher,final,0
17,1.397297978401184,1.6588371992111206,1.6532458066940308,1.0,0.66,0.672,0.01,0.688,0.696,13,Accuracy,higher,final,0
18,1.3691909313201904,1.6442580223083496,1.6372989416122437,1.0,0.644,0.664,0.01,0.688,0.696,13,Accuracy,higher,final,0
19,1.3292236328125,1.6275662183761597,1.6195082664489746,1.0,0.636,0.677,0.01,0.688,0.696,13,Accuracy,higher,final,0
20,1.269578218460083,1.6100373268127441,1.600900411605835,1.0,0.64,0.684,0.01,0.688,0.696,13,Accuracy,higher,final,0
