epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.791553020477295,1.7811836004257202,1.7815004587173462,0.8416666666666667,0.434,0.416,0.01,0.434,0.416,0,Accuracy,higher,final,0
1,1.7651695013046265,1.7620493173599243,1.7625606060028076,0.8333333333333334,0.53,0.531,0.01,0.53,0.531,1,Accuracy,higher,final,0
2,1.7112925052642822,1.7334011793136597,1.7340595722198486,0.85,0.542,0.555,0.01,0.542,0.555,2,Accuracy,higher,final,0
3,1.6359301805496216,1.7001608610153198,1.7008142471313477,0.85,0.536,0.545,0.01,0.542,0.555,2,Accuracy,higher,final,0
4,1.5524210929870605,1.6603947877883911,1.6600639820098877,0.875,0.568,0.565,0.01,0.568,0.565,4,Accuracy,higher,final,0
5,1.4516206979751587,1.6142373085021973,1.612000823020935,0.8833333333333333,0.58,0.582,0.01,0.58,0.582,5,Accuracy,higher,final,0
6,1.353522539138794,1.5624967813491821,1.5578703880310059,0.9166666666666666,0.612,0.615,0.01,0.612,0.615,6,Accuracy,higher,final,0
7,1.2391704320907593,1.505025863647461,1.4979958534240723,0.925,0.63,0.637,0.01,0.63,0.637,7,Accuracy,higher,final,0
8,1.1026413440704346,1.4444835186004639,1.4355028867721558,0.9333333333333333,0.674,0.658,0.01,0.674,0.658,8,Accuracy,higher,final,0
9,0.944984495639801,1.382849931716919,1.3718730211257935,0.9333333333333333,0.696,0.678,0.01,0.696,0.678,9,Accuracy,higher,final,0
10,0.8616340160369873,1.322594165802002,1.310255527496338,0.95,0.702,0.698,0.01,0.702,0.698,10,Accuracy,higher,final,0
11,0.7463617324829102,1.265056848526001,1.2515088319778442,0.9583333333333334,0.712,0.699,0.01,0.712,0.699,11,Accuracy,higher,final,0
12,0.6345422267913818,1.2118288278579712,1.197277307510376,0.9583333333333334,0.716,0.704,0.01,0.716,0.704,12,Accuracy,higher,final,0
13,0.5561809539794922,1.1646831035614014,1.1497163772583008,0.9666666666666667,0.722,0.702,0.01,0.722,0.702,13,Accuracy,higher,final,0
14,0.48155754804611206,1.1238240003585815,1.1076098680496216,0.9666666666666667,0.72,0.703,0.01,0.722,0.702,13,Accuracy,higher,final,0
15,0.4227709472179413,1.091982126235962,1.0746079683303833,0.9666666666666667,0.72,0.703,0.01,0.722,0.702,13,Accuracy,higher,final,0
16,0.37382930517196655,1.0603420734405518,1.043792486190796,0.975,0.714,0.701,0.01,0.722,0.702,13,Accuracy,higher,final,0
17,0.33407124876976013,1.0332293510437012,1.0189404487609863,0.975,0.712,0.697,0.01,0.722,0.702,13,Accuracy,higher,final,0
18,0.30691543221473694,1.0142289400100708,1.0030533075332642,0.975,0.708,0.698,0.01,0.722,0.702,13,Accuracy,higher,final,0
19,0.2515093982219696,0.9989666938781738,0.9904789924621582,0.975,0.714,0.699,0.01,0.722,0.702,13,Accuracy,higher,final,0
20,0.23680682480335236,0.987265408039093,0.9799773693084717,0.975,0.712,0.702,0.01,0.722,0.702,13,Accuracy,higher,final,0
21,0.20022009313106537,0.9811988472938538,0.972664475440979,0.975,0.71,0.701,0.01,0.722,0.702,13,Accuracy,higher,final,0
22,0.2293957620859146,0.9783971309661865,0.9631220102310181,0.9833333333333333,0.702,0.696,0.01,0.722,0.702,13,Accuracy,higher,final,0
23,0.18221697211265564,0.9767256379127502,0.9559694528579712,0.9833333333333333,0.686,0.692,0.01,0.722,0.702,13,Accuracy,higher,final,0
24,0.19240906834602356,0.977091908454895,0.9520453214645386,0.9916666666666667,0.678,0.682,0.01,0.722,0.702,13,Accuracy,higher,final,0
25,0.18766167759895325,0.9720830321311951,0.948500394821167,0.9833333333333333,0.678,0.676,0.01,0.722,0.702,13,Accuracy,higher,final,0
26,0.1973389983177185,0.9629476070404053,0.9431484341621399,0.9833333333333333,0.692,0.682,0.01,0.722,0.702,13,Accuracy,higher,final,0
27,0.15180763602256775,0.9552395343780518,0.9410517811775208,0.9916666666666667,0.702,0.688,0.01,0.722,0.702,13,Accuracy,higher,final,0
28,0.14257778227329254,0.9508860111236572,0.9425549507141113,1.0,0.696,0.691,0.01,0.722,0.702,13,Accuracy,higher,final,0
29,0.16350440680980682,0.9446672201156616,0.9380751252174377,1.0,0.698,0.69,0.01,0.722,0.702,13,Accuracy,higher,final,0
30,0.14292214810848236,0.9464626312255859,0.9382035136222839,1.0,0.694,0.691,0.01,0.722,0.702,13,Accuracy,higher,final,0
31,0.1528359204530716,0.9554772973060608,0.9426964521408081,1.0,0.698,0.696,0.01,0.722,0.702,13,Accuracy,higher,final,0
32,0.1408151239156723,0.9662002325057983,0.949846088886261,1.0,0.692,0.69,0.01,0.722,0.702,13,Accuracy,higher,final,0
33,0.17388375103473663,0.9796225428581238,0.9596427083015442,1.0,0.684,0.674,0.01,0.722,0.702,13,Accuracy,higher,final,0
