epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.947196125984192,1.941375732421875,1.9411122798919678,0.20714285714285716,0.146,0.149,0.01,0.146,0.149,0,Accuracy,higher,final,0
1,1.9409672021865845,1.937491774559021,1.9372689723968506,0.2857142857142857,0.224,0.231,0.01,0.224,0.231,1,Accuracy,higher,final,0
2,1.9335793256759644,1.9331387281417847,1.9330201148986816,0.32857142857142857,0.27,0.26,0.01,0.27,0.26,2,Accuracy,higher,final,0
3,1.9213361740112305,1.9266849756240845,1.9265120029449463,0.8214285714285714,0.406,0.396,0.01,0.406,0.396,3,Accuracy,higher,final,0
4,1.9084481000900269,1.9212334156036377,1.9207910299301147,0.9928571428571429,0.628,0.634,0.01,0.628,0.634,4,Accuracy,higher,final,0
5,1.892721176147461,1.915271520614624,1.91437566280365,0.9857142857142858,0.638,0.653,0.01,0.638,0.653,5,Accuracy,higher,final,0
6,1.873832106590271,1.9069314002990723,1.9054993391036987,0.9714285714285714,0.62,0.649,0.01,0.638,0.653,5,Accuracy,higher,final,0
7,1.852716088294983,1.8974250555038452,1.8953466415405273,0.9714285714285714,0.612,0.644,0.01,0.638,0.653,5,Accuracy,higher,final,0
8,1.8228759765625,1.8862240314483643,1.883382797241211,0.9714285714285714,0.65,0.666,0.01,0.65,0.666,8,Accuracy,higher,final,0
9,1.7974977493286133,1.8744064569473267,1.870718002319336,1.0,0.664,0.694,0.01,0.664,0.694,9,Accuracy,higher,final,0
10,1.766031265258789,1.860621452331543,1.8559051752090454,1.0,0.682,0.711,0.01,0.682,0.711,10,Accuracy,higher,final,0
11,1.7343218326568604,1.8444819450378418,1.8387113809585571,1.0,0.72,0.723,0.01,0.72,0.723,11,Accuracy,higher,final,0
12,1.679355263710022,1.8259328603744507,1.819242000579834,1.0,0.724,0.731,0.01,0.724,0.731,12,Accuracy,higher,final,0
13,1.6561520099639893,1.804260015487671,1.7968034744262695,1.0,0.728,0.745,0.01,0.728,0.745,13,Accuracy,higher,final,0
14,1.6238871812820435,1.7810941934585571,1.7728341817855835,1.0,0.73,0.759,0.01,0.73,0.759,14,Accuracy,higher,final,0
15,1.5644638538360596,1.757071614265442,1.7481005191802979,1.0,0.736,0.763,0.01,0.736,0.763,15,Accuracy,higher,final,0
16,1.5179481506347656,1.733522653579712,1.7238712310791016,1.0,0.736,0.763,0.01,0.736,0.763,15,Accuracy,higher,final,0
17,1.4568525552749634,1.7095959186553955,1.699204444885254,1.0,0.746,0.767,0.01,0.746,0.767,17,Accuracy,higher,final,0
18,1.3742378950119019,1.6852097511291504,1.6739156246185303,1.0,0.744,0.771,0.01,0.746,0.767,17,Accuracy,higher,final,0
19,1.3303229808807373,1.6583738327026367,1.6461035013198853,1.0,0.746,0.772,0.01,0.746,0.767,17,Accuracy,higher,final,0
20,1.2946836948394775,1.629733681678772,1.6164450645446777,1.0,0.748,0.778,0.01,0.748,0.778,20,Accuracy,higher,final,0
21,1.2274590730667114,1.5997393131256104,1.5853979587554932,1.0,0.752,0.776,0.01,0.752,0.776,21,Accuracy,higher,final,0
22,1.1734765768051147,1.5671947002410889,1.5520168542861938,1.0,0.752,0.781,0.01,0.752,0.776,21,Accuracy,higher,final,0
23,1.0682557821273804,1.5341782569885254,1.5181190967559814,1.0,0.754,0.778,0.01,0.754,0.778,23,Accuracy,higher,final,0
24,1.0495809316635132,1.5029362440109253,1.4857069253921509,1.0,0.75,0.773,0.01,0.754,0.778,23,Accuracy,higher,final,0
25,0.9850828051567078,1.4730150699615479,1.4545336961746216,1.0,0.744,0.769,0.01,0.754,0.778,23,Accuracy,higher,final,0
26,0.8976099491119385,1.4445980787277222,1.424956202507019,1.0,0.75,0.77,0.01,0.754,0.778,23,Accuracy,higher,final,0
