epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.946112036705017,1.9336293935775757,1.9331648349761963,0.6142857142857143,0.396,0.388,0.01,0.396,0.388,0,Accuracy,higher,final,0
1,1.9182034730911255,1.9045801162719727,1.9031444787979126,0.75,0.458,0.449,0.01,0.458,0.449,1,Accuracy,higher,final,0
2,1.8697859048843384,1.8608711957931519,1.8576048612594604,0.8571428571428571,0.566,0.573,0.01,0.566,0.573,2,Accuracy,higher,final,0
3,1.7816122770309448,1.808023452758789,1.8025517463684082,0.9,0.626,0.666,0.01,0.626,0.666,3,Accuracy,higher,final,0
4,1.6976323127746582,1.746032953262329,1.7378100156784058,0.9071428571428571,0.69,0.724,0.01,0.69,0.724,4,Accuracy,higher,final,0
5,1.5729128122329712,1.67304527759552,1.6612826585769653,0.9285714285714286,0.72,0.747,0.01,0.72,0.747,5,Accuracy,higher,final,0
6,1.4552427530288696,1.5872137546539307,1.5718095302581787,0.9428571428571428,0.74,0.774,0.01,0.74,0.774,6,Accuracy,higher,final,0
7,1.322767734527588,1.4909002780914307,1.4717947244644165,0.95,0.75,0.786,0.01,0.75,0.786,7,Accuracy,higher,final,0
8,1.1796561479568481,1.3903058767318726,1.3671777248382568,0.9571428571428572,0.756,0.796,0.01,0.756,0.796,8,Accuracy,higher,final,0
9,1.0523335933685303,1.2874760627746582,1.2604707479476929,0.9714285714285714,0.774,0.8,0.01,0.774,0.8,9,Accuracy,higher,final,0
10,0.8924524784088135,1.1898515224456787,1.1583340167999268,0.9785714285714285,0.79,0.811,0.01,0.79,0.811,10,Accuracy,higher,final,0
11,0.7474108934402466,1.0936225652694702,1.0578166246414185,0.9714285714285714,0.796,0.817,0.01,0.796,0.817,11,Accuracy,higher,final,0
12,0.6378800272941589,1.0048565864562988,0.9648234844207764,0.9714285714285714,0.8,0.826,0.01,0.8,0.826,12,Accuracy,higher,final,0
13,0.5507017970085144,0.9275574684143066,0.8832646608352661,0.9714285714285714,0.802,0.827,0.01,0.802,0.827,13,Accuracy,higher,final,0
14,0.4583965837955475,0.8617820143699646,0.8133436441421509,0.9714285714285714,0.804,0.829,0.01,0.804,0.829,14,Accuracy,higher,final,0
15,0.40833932161331177,0.8147045969963074,0.7616682052612305,0.9714285714285714,0.804,0.827,0.01,0.804,0.829,14,Accuracy,higher,final,0
16,0.35555320978164673,0.7833001613616943,0.7248892784118652,0.9785714285714285,0.796,0.819,0.01,0.804,0.829,14,Accuracy,higher,final,0
17,0.2850564122200012,0.7538836598396301,0.6913697719573975,0.9785714285714285,0.79,0.819,0.01,0.804,0.829,14,Accuracy,higher,final,0
18,0.2535519301891327,0.7248353958129883,0.6587662696838379,0.9785714285714285,0.792,0.819,0.01,0.804,0.829,14,Accuracy,higher,final,0
19,0.21180710196495056,0.696255624294281,0.6279934644699097,0.9857142857142858,0.804,0.825,0.01,0.804,0.829,14,Accuracy,higher,final,0
20,0.20337916910648346,0.6758862137794495,0.6052859425544739,1.0,0.808,0.83,0.01,0.808,0.83,20,Accuracy,higher,final,0
21,0.17152920365333557,0.6646755337715149,0.5910935997962952,1.0,0.814,0.831,0.01,0.814,0.831,21,Accuracy,higher,final,0
22,0.16855081915855408,0.663118302822113,0.5849852561950684,1.0,0.808,0.831,0.01,0.814,0.831,21,Accuracy,higher,final,0
23,0.14260977506637573,0.66340172290802,0.5806102156639099,1.0,0.804,0.831,0.01,0.814,0.831,21,Accuracy,higher,final,0
24,0.15356628596782684,0.6689002513885498,0.5810924172401428,1.0,0.792,0.827,0.01,0.814,0.831,21,Accuracy,higher,final,0
25,0.1242348924279213,0.6749195456504822,0.5832620859146118,1.0,0.792,0.826,0.01,0.814,0.831,21,Accuracy,higher,final,0
26,0.11463563144207001,0.6935114860534668,0.5970163345336914,1.0,0.788,0.813,0.01,0.814,0.831,21,Accuracy,higher,final,0
27,0.10885794460773468,0.7053054571151733,0.6065571308135986,1.0,0.784,0.808,0.01,0.814,0.831,21,Accuracy,higher,final,0
28,0.11856517940759659,0.7120555639266968,0.6121916770935059,1.0,0.784,0.812,0.01,0.814,0.831,21,Accuracy,higher,final,0
29,0.12532490491867065,0.7209768295288086,0.6206315755844116,1.0,0.786,0.812,0.01,0.814,0.831,21,Accuracy,higher,final,0
30,0.09938067197799683,0.7177549600601196,0.6197502613067627,1.0,0.786,0.813,0.01,0.814,0.831,21,Accuracy,higher,final,0
31,0.12012578547000885,0.6993421316146851,0.6064935326576233,1.0,0.788,0.817,0.01,0.814,0.831,21,Accuracy,higher,final,0
32,0.09073594957590103,0.6841817498207092,0.5969364047050476,1.0,0.796,0.814,0.01,0.814,0.831,21,Accuracy,higher,final,0
33,0.1085909754037857,0.671684205532074,0.5889481902122498,1.0,0.806,0.825,0.01,0.814,0.831,21,Accuracy,higher,final,0
34,0.09571169316768646,0.6635571122169495,0.5847692489624023,1.0,0.812,0.825,0.01,0.814,0.831,21,Accuracy,higher,final,0
35,0.08584576845169067,0.6614622473716736,0.5834054350852966,1.0,0.806,0.827,0.01,0.814,0.831,21,Accuracy,higher,final,0
36,0.11066703498363495,0.6689117550849915,0.589372992515564,1.0,0.802,0.826,0.01,0.814,0.831,21,Accuracy,higher,final,0
37,0.11329958587884903,0.6763545274734497,0.5956066846847534,1.0,0.798,0.826,0.01,0.814,0.831,21,Accuracy,higher,final,0
38,0.10186687111854553,0.6781616806983948,0.5983820557594299,1.0,0.792,0.826,0.01,0.814,0.831,21,Accuracy,higher,final,0
