epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.0984638929367065,1.0681498050689697,1.0794023275375366,0.675,0.515,0.4574468085106383,0.01,0.515,0.4574468085106383,0,Accuracy,higher,final,1
1,1.0499707460403442,1.0368150472640991,1.0587927103042603,0.62,0.465,0.409718228867165,0.01,0.515,0.4574468085106383,0,Accuracy,higher,final,1
2,0.9756336212158203,1.0126256942749023,1.0448867082595825,0.61,0.445,0.39735480161012077,0.01,0.515,0.4574468085106383,0,Accuracy,higher,final,1
3,0.8818994164466858,0.9975689649581909,1.0353749990463257,0.6825,0.4675,0.42380678550891315,0.01,0.515,0.4574468085106383,0,Accuracy,higher,final,1
4,0.7817184329032898,0.9781652688980103,1.0144940614700317,0.79,0.525,0.4643473260494537,0.01,0.525,0.4643473260494537,4,Accuracy,higher,final,1
5,0.6743130683898926,0.9599971771240234,0.989071786403656,0.8925,0.55,0.5109258194364578,0.01,0.55,0.5109258194364578,5,Accuracy,higher,final,1
6,0.5746661424636841,0.9487824440002441,0.9650170803070068,0.9525,0.565,0.5385278895917194,0.01,0.565,0.5385278895917194,6,Accuracy,higher,final,1
7,0.4640241265296936,0.9500970244407654,0.9525976777076721,0.9675,0.5825,0.5537665324899368,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
8,0.3800171911716461,0.96439528465271,0.9550982713699341,0.98,0.5775,0.5692926969522715,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
9,0.3376188576221466,0.9916534423828125,0.9762551188468933,0.9825,0.5775,0.569867740080506,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
10,0.269763320684433,1.022812008857727,1.0100884437561035,0.9825,0.57,0.5701552616446234,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
11,0.1971699297428131,1.0557754039764404,1.0510692596435547,0.9875,0.565,0.5678550891316849,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
12,0.1709463894367218,1.089409351348877,1.10043203830719,0.9925,0.5775,0.566129959746981,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
13,0.14274738729000092,1.129848837852478,1.1572155952453613,0.995,0.5775,0.5667050028752156,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
14,0.12770222127437592,1.1686047315597534,1.2097289562225342,0.995,0.5825,0.5649798734905118,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
15,0.09267935156822205,1.205031394958496,1.2560158967971802,1.0,0.5775,0.5652673950546291,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
16,0.09521209448575974,1.2364966869354248,1.2937160730361938,1.0,0.575,0.5652673950546291,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
17,0.07222041487693787,1.2675801515579224,1.3311080932617188,1.0,0.5675,0.5667050028752156,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
18,0.09407343715429306,1.2972313165664673,1.3670661449432373,1.0,0.57,0.5646923519263944,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
19,0.08082931488752365,1.3277243375778198,1.403292179107666,1.0,0.5725,0.5577918343875791,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
20,0.08169116079807281,1.3608603477478027,1.4384162425994873,1.0,0.5625,0.5560667050028753,0.01,0.5825,0.5537665324899368,7,Accuracy,higher,final,1
