epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.6472299098968506,1.2547636032104492,1.1414766311645508,0.5287356321839081,0.5254237288135594,0.6486486486486487,0.01,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,2
1,1.1366521120071411,1.2513991594314575,1.1148301362991333,0.7126436781609196,0.576271186440678,0.6756756756756757,0.01,0.576271186440678,0.6756756756756757,1,Accuracy,higher,final,2
2,0.881868302822113,1.1050620079040527,1.0032713413238525,0.8275862068965517,0.6779661016949152,0.7297297297297297,0.01,0.6779661016949152,0.7297297297297297,2,Accuracy,higher,final,2
3,0.7514190673828125,0.9751456379890442,0.930609941482544,0.8850574712643678,0.6610169491525424,0.7297297297297297,0.01,0.6779661016949152,0.7297297297297297,2,Accuracy,higher,final,2
4,0.5508480668067932,0.8948797583580017,0.8184527158737183,0.896551724137931,0.6949152542372882,0.7297297297297297,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
5,0.3309814929962158,0.9053919911384583,0.8065077066421509,0.9310344827586207,0.6779661016949152,0.7567567567567568,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
6,0.3004613518714905,0.972728967666626,0.8455679416656494,0.9310344827586207,0.6779661016949152,0.7297297297297297,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
7,0.21554282307624817,1.0349644422531128,0.9143470525741577,0.9655172413793104,0.6440677966101694,0.7297297297297297,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
8,0.20033302903175354,1.047269344329834,0.9498794078826904,0.9655172413793104,0.6440677966101694,0.7027027027027027,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
9,0.11933834105730057,1.056313157081604,0.9879492521286011,0.9770114942528736,0.6440677966101694,0.7027027027027027,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
10,0.0742468535900116,1.0479450225830078,1.009507656097412,0.9885057471264368,0.6779661016949152,0.7027027027027027,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
11,0.1162164956331253,1.0087080001831055,1.0093073844909668,1.0,0.6949152542372882,0.7297297297297297,0.01,0.6949152542372882,0.7297297297297297,4,Accuracy,higher,final,2
12,0.07223668694496155,0.9511656761169434,1.0035881996154785,1.0,0.7288135593220338,0.7567567567567568,0.01,0.7288135593220338,0.7567567567567568,12,Accuracy,higher,final,2
