epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.7933616638183594,1.7833279371261597,1.7846543788909912,0.2,0.242,0.185,0.005,0.242,0.185,0,Accuracy,higher,final,0
1,1.7787991762161255,1.7782942056655884,1.7805653810501099,0.3333333333333333,0.27,0.231,0.005,0.27,0.231,1,Accuracy,higher,final,0
2,1.7754709720611572,1.7732278108596802,1.7747684717178345,0.675,0.43,0.394,0.005,0.43,0.394,2,Accuracy,higher,final,0
3,1.7675641775131226,1.7690837383270264,1.7701301574707031,0.8,0.616,0.622,0.005,0.616,0.622,3,Accuracy,higher,final,0
4,1.7462379932403564,1.7642401456832886,1.7645512819290161,0.8583333333333333,0.618,0.641,0.005,0.618,0.641,4,Accuracy,higher,final,0
5,1.7374004125595093,1.7576428651809692,1.7579530477523804,0.85,0.612,0.626,0.005,0.618,0.641,4,Accuracy,higher,final,0
6,1.732646107673645,1.7521575689315796,1.7521694898605347,0.8583333333333333,0.614,0.637,0.005,0.618,0.641,4,Accuracy,higher,final,0
7,1.7092803716659546,1.7471872568130493,1.746908187866211,0.9,0.656,0.674,0.005,0.656,0.674,7,Accuracy,higher,final,0
8,1.6974619626998901,1.742187261581421,1.7416757345199585,0.9166666666666666,0.668,0.696,0.005,0.668,0.696,8,Accuracy,higher,final,0
9,1.6776615381240845,1.7373286485671997,1.7366997003555298,0.9333333333333333,0.684,0.707,0.005,0.684,0.707,9,Accuracy,higher,final,0
10,1.6755205392837524,1.7329885959625244,1.7318958044052124,0.975,0.694,0.708,0.005,0.694,0.708,10,Accuracy,higher,final,0
11,1.6714208126068115,1.7279313802719116,1.7265942096710205,0.9666666666666667,0.688,0.697,0.005,0.694,0.708,10,Accuracy,higher,final,0
12,1.6595003604888916,1.7221237421035767,1.720704436302185,0.975,0.684,0.687,0.005,0.694,0.708,10,Accuracy,higher,final,0
13,1.6311551332473755,1.715780258178711,1.7145031690597534,0.9666666666666667,0.668,0.653,0.005,0.694,0.708,10,Accuracy,higher,final,0
14,1.590993046760559,1.7077836990356445,1.7068959474563599,0.9666666666666667,0.662,0.65,0.005,0.694,0.708,10,Accuracy,higher,final,0
15,1.5762075185775757,1.699874997138977,1.6990622282028198,0.9666666666666667,0.662,0.651,0.005,0.694,0.708,10,Accuracy,higher,final,0
16,1.5584779977798462,1.6917424201965332,1.6907457113265991,0.9666666666666667,0.664,0.65,0.005,0.694,0.708,10,Accuracy,higher,final,0
17,1.580423355102539,1.6825881004333496,1.6814647912979126,0.9666666666666667,0.678,0.663,0.005,0.694,0.708,10,Accuracy,higher,final,0
18,1.5546127557754517,1.6735668182373047,1.6723511219024658,0.9666666666666667,0.678,0.671,0.005,0.694,0.708,10,Accuracy,higher,final,0
19,1.541563630104065,1.6653070449829102,1.6637580394744873,0.975,0.684,0.675,0.005,0.694,0.708,10,Accuracy,higher,final,0
20,1.497289776802063,1.6564828157424927,1.654841423034668,0.9666666666666667,0.692,0.693,0.005,0.694,0.708,10,Accuracy,higher,final,0
