epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9494253396987915,1.932832956314087,1.9332164525985718,0.2714285714285714,0.232,0.226,0.005,0.232,0.226,0,Accuracy,higher,final,1
1,1.9376652240753174,1.9270457029342651,1.926616907119751,0.5785714285714286,0.32,0.338,0.005,0.32,0.338,1,Accuracy,higher,final,1
2,1.9214469194412231,1.9230763912200928,1.9215822219848633,0.6142857142857143,0.336,0.344,0.005,0.336,0.344,2,Accuracy,higher,final,1
3,1.8971247673034668,1.9164855480194092,1.9139961004257202,0.7928571428571428,0.454,0.46,0.005,0.454,0.46,3,Accuracy,higher,final,1
4,1.8873883485794067,1.907285451889038,1.9038647413253784,0.85,0.48,0.501,0.005,0.48,0.501,4,Accuracy,higher,final,1
5,1.8626617193222046,1.8974754810333252,1.8935418128967285,0.9071428571428571,0.546,0.551,0.005,0.546,0.551,5,Accuracy,higher,final,1
6,1.8546953201293945,1.8856868743896484,1.8818122148513794,0.9642857142857143,0.608,0.644,0.005,0.608,0.644,6,Accuracy,higher,final,1
7,1.839728832244873,1.8719894886016846,1.8685483932495117,0.9642857142857143,0.73,0.745,0.005,0.73,0.745,7,Accuracy,higher,final,1
8,1.8261445760726929,1.859668493270874,1.8567487001419067,0.9357142857142857,0.746,0.741,0.005,0.746,0.741,8,Accuracy,higher,final,1
9,1.8069183826446533,1.8481014966964722,1.845550537109375,0.9214285714285714,0.712,0.706,0.005,0.746,0.741,8,Accuracy,higher,final,1
10,1.7941838502883911,1.8375592231750488,1.835326910018921,0.9,0.654,0.65,0.005,0.746,0.741,8,Accuracy,higher,final,1
11,1.7583181858062744,1.8265851736068726,1.824326992034912,0.8857142857142857,0.628,0.621,0.005,0.746,0.741,8,Accuracy,higher,final,1
12,1.7338825464248657,1.815438151359558,1.812807321548462,0.8928571428571429,0.626,0.627,0.005,0.746,0.741,8,Accuracy,higher,final,1
13,1.72024667263031,1.8032294511795044,1.8000576496124268,0.8928571428571429,0.654,0.646,0.005,0.746,0.741,8,Accuracy,higher,final,1
14,1.6801319122314453,1.7907041311264038,1.7869997024536133,0.8928571428571429,0.662,0.661,0.005,0.746,0.741,8,Accuracy,higher,final,1
15,1.674713134765625,1.776963233947754,1.7725846767425537,0.9,0.672,0.687,0.005,0.746,0.741,8,Accuracy,higher,final,1
16,1.6247119903564453,1.7629729509353638,1.7577636241912842,0.9071428571428571,0.698,0.705,0.005,0.746,0.741,8,Accuracy,higher,final,1
17,1.6260080337524414,1.7493289709091187,1.7427573204040527,0.9357142857142857,0.726,0.728,0.005,0.746,0.741,8,Accuracy,higher,final,1
18,1.6076711416244507,1.7350713014602661,1.7270004749298096,0.95,0.744,0.748,0.005,0.746,0.741,8,Accuracy,higher,final,1
19,1.581516146659851,1.7199993133544922,1.7106293439865112,0.9642857142857143,0.766,0.759,0.005,0.766,0.759,19,Accuracy,higher,final,1
20,1.5511467456817627,1.7037771940231323,1.6933131217956543,0.9714285714285714,0.758,0.768,0.005,0.766,0.759,19,Accuracy,higher,final,1
21,1.524799108505249,1.685741662979126,1.6745953559875488,0.9714285714285714,0.756,0.781,0.005,0.766,0.759,19,Accuracy,higher,final,1
22,1.5139228105545044,1.667044758796692,1.65542471408844,0.9714285714285714,0.768,0.785,0.005,0.768,0.785,22,Accuracy,higher,final,1
23,1.5050517320632935,1.6471632719039917,1.6355046033859253,0.9714285714285714,0.77,0.793,0.005,0.77,0.793,23,Accuracy,higher,final,1
24,1.5151759386062622,1.6278579235076904,1.6162865161895752,0.9714285714285714,0.772,0.792,0.005,0.772,0.792,24,Accuracy,higher,final,1
