event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3499999940395355, 0.20000000298023224, 0.20000000298023224]",,,,0,,,0.35000014305114746,0.19999989867210388,0.19999989867210388,0.0,0.0,0.0,0.3499999940395355,0.20000000298023224,0.20000000298023224,,,,,,,,,,,,
forward,0,train,1,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3499999940395355, 0.20000000298023224, 0.20000000298023224]",,,,0,,,0.35000014305114746,0.19999989867210388,0.19999989867210388,0.0,0.0,0.0,0.3499999940395355,0.20000000298023224,0.20000000298023224,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",,,,0,,,0.34886351227760315,0.19920119643211365,0.19920119643211365,0.0,0.0,0.0,0.3488633632659912,0.19920118153095245,0.19920118153095245,0.9775061011314392,nan,nan,nan,0.9675231575965881,nan,nan,nan,0.9899912476539612,nan,nan,nan
forward,0,val,1,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",,,,0,,,0.34886351227760315,0.19920119643211365,0.19920119643211365,0.0,0.0,0.0,0.3488633632659912,0.19920118153095245,0.19920118153095245,0.9783865213394165,nan,nan,nan,0.9565837979316711,nan,nan,nan,0.9880561232566833,nan,nan,nan
forward,0,test,0,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",,,,0,,,0.34886351227760315,0.19920119643211365,0.19920119643211365,0.0,0.0,0.0,0.3488633632659912,0.19920118153095245,0.19920118153095245,0.9775061011314392,nan,nan,nan,0.9675231575965881,nan,nan,nan,0.9899912476539612,nan,nan,nan
forward,0,test,1,0.005,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",,,,0,,,0.34886351227760315,0.19920119643211365,0.19920119643211365,0.0,0.0,0.0,0.3488633632659912,0.19920118153095245,0.19920118153095245,0.9783865809440613,nan,nan,nan,0.9565837979316711,nan,nan,nan,0.9880561232566833,nan,nan,nan
forward,50,train,0,0.003,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3952440619468689, 0.2016112357378006, 0.18962283432483673]",,,,0,,,0.39524397253990173,0.2016112059354782,0.18962284922599792,0.0,0.0,0.0,0.3952440619468689,0.2016112357378006,0.18962283432483673,,,,,,,,,,,,
forward,50,train,1,0.003,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4012712240219116, 0.19471518695354462, 0.19440901279449463]",,,,0,,,0.40127119421958923,0.19471512734889984,0.19440896809101105,0.0,0.0,0.0,0.4012712240219116,0.19471518695354462,0.19440901279449463,,,,,,,,,,,,
