epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3499999940395355, 0.20000000298023224, 0.20000000298023224]",0.3500001430511474,0.1999998986721038,0.1999998986721038,0.0,0.0,0.0,0.3499999940395355,0.2000000029802322,0.2000000029802322
0,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3499999940395355, 0.20000000298023224, 0.20000000298023224]",0.3500001430511474,0.1999998986721038,0.1999998986721038,0.0,0.0,0.0,0.3499999940395355,0.2000000029802322,0.2000000029802322
0,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",0.3488635122776031,0.1992011964321136,0.1992011964321136,0.0,0.0,0.0,0.3488633632659912,0.1992011815309524,0.1992011815309524
0,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",0.3488635122776031,0.1992011964321136,0.1992011964321136,0.0,0.0,0.0,0.3488633632659912,0.1992011815309524,0.1992011815309524
0,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",0.3488635122776031,0.1992011964321136,0.1992011964321136,0.0,0.0,0.0,0.3488633632659912,0.1992011815309524,0.1992011815309524
0,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.3488633632659912, 0.19920118153095245, 0.19920118153095245]",0.3488635122776031,0.1992011964321136,0.1992011964321136,0.0,0.0,0.0,0.3488633632659912,0.1992011815309524,0.1992011815309524
50,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3952440619468689, 0.2016112357378006, 0.18962283432483673]",0.3952439725399017,0.2016112059354782,0.1896228492259979,0.0,0.0,0.0,0.3952440619468689,0.2016112357378006,0.1896228343248367
50,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4012712240219116, 0.19471518695354462, 0.19440901279449463]",0.4012711942195892,0.1947151273488998,0.194408968091011,0.0,0.0,0.0,0.4012712240219116,0.1947151869535446,0.1944090127944946
50,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3959631025791168, 0.20158816874027252, 0.18971796333789825]",0.3959630131721496,0.2015882283449173,0.1897179037332534,0.0,0.0,0.0,0.3959631025791168,0.2015881687402725,0.1897179633378982
50,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4020310640335083, 0.19475246965885162, 0.1947498321533203]",0.4020309746265411,0.1947525888681411,0.1947498321533203,0.0,0.0,0.0,0.4020310640335083,0.1947524696588516,0.1947498321533203
