event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.002,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.4950162172317505, 0.5044341683387756, 0.49968892335891724]",,,,0,,,0.4794121980667114,0.4935741722583771,0.5295718312263489,0.054345931857824326,0.05590973421931267,0.051043540239334106,0.4950162172317505,0.5044341683387756,0.49968892335891724,,,,,,,,,,,,
backward,0,train,0,0.002,3,,,,,,,,,,,,0,0.4410926415648271,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.4945162534713745, 0.5049341320991516, 0.49918895959854126]",,,,0,,,0.4813820421695709,0.49541643261909485,0.5225471258163452,0.023550627753138542,0.02491411194205284,0.02311033010482788,0.4945162534713745,0.5049341320991516,0.49918895959854126,,,,,0.9855333566665649,nan,nan,nan,0.9883923530578613,nan,nan,nan
forward,0,test,0,0.002,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.4945162534713745, 0.5049341320991516, 0.49918895959854126]",,,,0,,,0.4813820421695709,0.49541643261909485,0.5225471258163452,0.023550627753138542,0.02491411194205284,0.02311033010482788,0.4945162534713745,0.5049341320991516,0.49918895959854126,,,,,0.9855333566665649,nan,nan,nan,0.9883923530578613,nan,nan,nan
forward,50,train,0,0.0012,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.5034518241882324, 0.4984525740146637, 0.49388226866722107]",,,,0,,,0.6014809608459473,0.40255168080329895,0.48150208592414856,0.12762276828289032,0.13513919711112976,0.09015023708343506,0.5034518241882324,0.4984525740146637,0.49388226866722107,,,,,,,,,,,,
backward,50,train,0,0.0012,3,,,,,,,,,,,,0,0.11668246275066328,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0012,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.5034459829330444, 0.49841609597206116, 0.49389493465423584]",,,,0,,,0.6019009351730347,0.40225011110305786,0.4885544776916504,0.10247400403022766,0.114496149122715,0.0658407136797905,0.5034459829330444,0.49841609597206116,0.49389493465423584,,,,,0.9673770666122437,0.0471525639295578,0.5674384832382202,0.9862899780273438,0.9352814555168152,0.01626262255012989,0.9417397379875183,0.9393753409385681
forward,50,test,0,0.0012,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.5034459829330444, 0.49841609597206116, 0.49389493465423584]",,,,0,,,0.6019009351730347,0.40225011110305786,0.4885544776916504,0.10247400403022766,0.114496149122715,0.0658407136797905,0.5034459829330444,0.49841609597206116,0.49389493465423584,,,,,0.9673770666122437,0.0471525639295578,0.5674384832382202,0.9862899780273438,0.9352814555168152,0.01626262255012989,0.9417397379875183,0.9393753409385681
forward,100,train,0,0.00015551999999999997,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[183, 3]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.5030612349510193, 0.4977737069129944, 0.4935685396194458]",,,,0,,,0.5598942637443542,0.41135305166244507,0.5159854292869568,0.1188131719827652,0.1274314671754837,0.09810987859964371,0.5030612349510193,0.4977737069129944,0.4935685396194458,,,,,,,,,,,,
backward,100,train,0,0.00015551999999999997,3,,,,,,,,,,,,0,0.1905934961705606,,,,,,,,,,,,,,,,,,,,,,
