epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,hop_scalar_hop_0,hop_scalar_hop_1
0,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.5058340430259705, 0.505702793598175]",0.52004474401474,0.0,0.051250223070383,0.0,0.5058340430259705,0.505702793598175
0,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.5053341388702393, 0.5052029490470886]",0.4923775792121887,0.0,0.0239429678767919,0.0,0.5053341388702393,0.5052029490470886
0,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.5053341388702393, 0.5052029490470886]",0.4923775792121887,0.0,0.0239429678767919,0.0,0.5053341388702393,0.5052029490470886
50,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4904291331768036, 0.500309407711029]",0.2272712439298629,0.0,0.1020388305187225,0.0,0.4904291331768036,0.500309407711029
50,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.490499347448349, 0.5002727508544922]",0.2193975001573562,0.0,0.0849301218986511,0.0,0.490499347448349,0.5002727508544922
50,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.490499347448349, 0.5002727508544922]",0.2193975001573562,0.0,0.0849301218986511,0.0,0.490499347448349,0.5002727508544922
100,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49072274565696716, 0.49997204542160034]",0.249621108174324,0.0,0.1094743832945823,0.0,0.4907227456569671,0.4999720454216003
100,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907139539718628, 0.49997323751449585]",0.2408135831356048,0.0,0.0863061770796775,0.0,0.4907139539718628,0.4999732375144958
100,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907139539718628, 0.49997323751449585]",0.2408135831356048,0.0,0.0863061770796775,0.0,0.4907139539718628,0.4999732375144958
150,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907669126987457, 0.49998581409454346]",0.2446568757295608,0.0,0.1135839372873306,0.0,0.4907669126987457,0.4999858140945434
150,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907664358615875, 0.49998581409454346]",0.2427220642566681,0.0,0.0862653329968452,0.0,0.4907664358615875,0.4999858140945434
150,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907664358615875, 0.49998581409454346]",0.2427220642566681,0.0,0.0862653329968452,0.0,0.4907664358615875,0.4999858140945434
200,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49075454473495483, 0.4999876618385315]",0.2430865615606308,0.0,0.1049981191754341,0.0,0.4907545447349548,0.4999876618385315
200,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49075478315353394, 0.49998772144317627]",0.2428348362445831,0.0,0.0862513780593872,0.0,0.4907547831535339,0.4999877214431762
200,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49075478315353394, 0.49998772144317627]",0.2428348362445831,0.0,0.0862513780593872,0.0,0.4907547831535339,0.4999877214431762
250,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907609224319458, 0.49998950958251953]",0.242044985294342,0.0,0.1085316613316536,0.0,0.4907609224319458,0.4999895095825195
250,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49076128005981445, 0.49998950958251953]",0.2433065474033355,0.0,0.0862842202186584,0.0,0.4907612800598144,0.4999895095825195
250,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49076128005981445, 0.49998950958251953]",0.2433065474033355,0.0,0.0862842202186584,0.0,0.4907612800598144,0.4999895095825195
300,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49078699946403503, 0.49999117851257324]",0.2546453475952148,0.0,0.1165702641010284,0.0,0.490786999464035,0.4999911785125732
300,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907878041267395, 0.49999117851257324]",0.2439288347959518,0.0,0.086336001753807,0.0,0.4907878041267395,0.4999911785125732
300,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907878041267395, 0.49999117851257324]",0.2439288347959518,0.0,0.086336001753807,0.0,0.4907878041267395,0.4999911785125732
350,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907948076725006, 0.4999927282333374]",0.2519557178020477,0.0,0.1129789799451828,0.0,0.4907948076725006,0.4999927282333374
350,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907940626144409, 0.4999927878379822]",0.2442114949226379,0.0,0.0863547995686531,0.0,0.4907940626144409,0.4999927878379822
350,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907940626144409, 0.4999927878379822]",0.2442114949226379,0.0,0.0863547995686531,0.0,0.4907940626144409,0.4999927878379822
400,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49078333377838135, 0.499994158744812]",0.2558886706829071,0.0,0.1129115447402,0.0,0.4907833337783813,0.499994158744812
400,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49078235030174255, 0.499994158744812]",0.2443602681159973,0.0,0.0863675773143768,0.0,0.4907823503017425,0.499994158744812
400,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49078235030174255, 0.499994158744812]",0.2443602681159973,0.0,0.0863675773143768,0.0,0.4907823503017425,0.499994158744812
450,train,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.49078619480133057, 0.4999953508377075]",0.2610431015491485,0.0,0.1120179444551467,0.0,0.4907861948013305,0.4999953508377075
450,val,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907868206501007, 0.4999953508377075]",0.2446421384811401,0.0,0.0863850191235542,0.0,0.4907868206501007,0.4999953508377075
450,test,0,2,,,,"[183, 2]",2.0,"[""hop_1"", ""hop_2""]","[183, 2]",,"[183, 2, 32]","[false, true]","[0.4907868206501007, 0.4999953508377075]",0.2446421384811401,0.0,0.0863850191235542,0.0,0.4907868206501007,0.4999953508377075
