event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,hop_scalar_hop_0,hop_scalar_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.002,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.5058340430259705, 0.505702793598175]",,,,0,,,0.52004474401474,0.5174614191055298,0.05125022307038307,0.054671112447977066,0.5058340430259705,0.505702793598175,,,,,,,,
backward,0,train,0,0.002,2,,,,,,,,,,,,0,0.2406512826715719,,,,,,,,,,,,,,,
forward,0,val,0,0.002,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.5053341388702393, 0.506202757358551]",,,,0,,,0.5157084465026855,0.5268152356147766,0.023824989795684814,0.028935758396983147,0.5053341388702393,0.506202757358551,0.9872756600379944,nan,nan,nan,0.9885799288749695,nan,nan,nan
forward,0,test,0,0.002,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.5053341388702393, 0.506202757358551]",,,,0,,,0.5157084465026855,0.5268152356147766,0.023824989795684814,0.028935758396983147,0.5053341388702393,0.506202757358551,0.9872756600379944,nan,nan,nan,0.9885799288749695,nan,nan,nan
forward,50,train,0,0.0012,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49940788745880127, 0.5023499727249146]",,,,0,,,0.35107681155204773,0.48293837904930115,0.12540265917778015,0.12114264816045761,0.49940788745880127,0.5023499727249146,,,,,,,,
backward,50,train,0,0.0012,2,,,,,,,,,,,,0,0.2720419430817404,,,,,,,,,,,,,,,
forward,50,val,0,0.0012,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49943825602531433, 0.502128541469574]",,,,0,,,0.3557518422603607,0.47918662428855896,0.11419806629419327,0.10186873376369476,0.49943825602531433,0.502128541469574,0.9295668601989746,0.07886801660060883,0.5369946360588074,0.9675083160400391,0.9006246328353882,0.022045040503144264,0.9202330708503723,0.9049509763717651
forward,50,test,0,0.0012,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49943825602531433, 0.502128541469574]",,,,0,,,0.3557518422603607,0.47918662428855896,0.11419806629419327,0.10186873376369476,0.49943825602531433,0.502128541469574,0.9295668601989746,0.07886801660060883,0.5369946360588074,0.9675083160400391,0.9006246328353882,0.022045040503144264,0.9202330708503723,0.9049509763717651
forward,100,train,0,0.00025919999999999996,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49934473633766174, 0.4967115819454193]",,,,0,,,0.3355208933353424,0.4143432378768921,0.15511080622673035,0.1455954909324646,0.49934473633766174,0.4967115819454193,,,,,,,,
backward,100,train,0,0.00025919999999999996,2,,,,,,,,,,,,0,0.15520866130520963,,,,,,,,,,,,,,,
forward,100,val,0,0.00025919999999999996,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49936020374298096, 0.49666786193847656]",,,,0,,,0.32745635509490967,0.41953906416893005,0.12422216683626175,0.11455465108156204,0.49936020374298096,0.49666786193847656,0.9149682521820068,0.09171649068593979,0.5292493104934692,0.9587048888206482,0.9297855496406555,0.018638361245393753,0.7830305099487305,0.9337858557701111
forward,100,test,0,0.00025919999999999996,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49936020374298096, 0.49666786193847656]",,,,0,,,0.32745635509490967,0.41953906416893005,0.12422216683626175,0.11455465108156204,0.49936020374298096,0.49666786193847656,0.9149682521820068,0.09171649068593979,0.5292493104934692,0.9587048888206482,0.9297855496406555,0.018638361245393753,0.7830305099487305,0.9337858557701111
forward,150,train,0,2.015539199999999e-05,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.4993450343608856, 0.4961310625076294]",,,,0,,,0.3248881995677948,0.4242458641529083,0.1419898420572281,0.1344314068555832,0.4993450343608856,0.4961310625076294,,,,,,,,
backward,150,train,0,2.015539199999999e-05,2,,,,,,,,,,,,0,0.11277351098080264,,,,,,,,,,,,,,,
forward,150,val,0,2.015539199999999e-05,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49934348464012146, 0.4961302578449249]",,,,0,,,0.3247925043106079,0.41396501660346985,0.12465251982212067,0.11504963040351868,0.49934348464012146,0.4961302578449249,0.9168245196342468,0.09047424048185349,0.5312981605529785,0.9596059322357178,0.9345757961273193,0.018082184717059135,0.7728309631347656,0.9378395080566406
forward,150,test,0,2.015539199999999e-05,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49934348464012146, 0.4961302578449249]",,,,0,,,0.3247925043106079,0.41396501660346985,0.12465251982212067,0.11504963040351868,0.49934348464012146,0.4961302578449249,0.9168245196342468,0.09047424048185349,0.5312981605529785,0.9596059322357178,0.9345757961273193,0.018082184717059135,0.7728309631347656,0.9378395080566406
forward,200,train,0,1e-05,2,2,"[""hop_1"", ""hop_2""]","[183, 2]","[183, 2]",,"[183, 2, 32]","[false, false]","[0.49930134415626526, 0.4960993826389313]",,,,0,,,0.33512794971466064,0.4181351363658905,0.13998331129550934,0.134078249335289,0.49930134415626526,0.4960993826389313,,,,,,,,
backward,200,train,0,1e-05,2,,,,,,,,,,,,0,0.2711966796459057,,,,,,,,,,,,,,,
