event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4
forward,0,train,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5043644309043884, 0.49994343519210815, 0.49503618478775024, 0.5022963881492615, 0.4990590810775757]",,,,0,,,0.500933051109314,0.5212948322296143,0.4807611405849457,0.5370007157325745,0.5052180290222168,0.05448569357395172,0.05347110331058502,0.05653202906250954,0.054184362292289734,0.049945369362831116,0.5043644309043884,0.49994343519210815,0.49503618478775024,0.5022963881492615,0.4990590810775757,,,,,,,,,,,,,,,,,,,,
backward,0,train,0,0.002,5,,,,,,,,,,,,0,0.5103496117875307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5048643946647644, 0.4994434416294098, 0.49453625082969666, 0.5027963519096375, 0.49855905771255493]",,,,0,,,0.4931488633155823,0.5228781700134277,0.47224316000938416,0.5453481078147888,0.5103026628494263,0.028742533177137375,0.024778345599770546,0.024987878277897835,0.02480541169643402,0.030094638466835022,0.5048643946647644,0.4994434416294098,0.49453625082969666,0.5027963519096375,0.49855905771255493,,,,,0.9836537837982178,nan,nan,nan,0.9888907670974731,nan,nan,nan,0.9927494525909424,nan,nan,nan,0.989068329334259,nan,nan,nan
forward,0,test,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5048643946647644, 0.4994434416294098, 0.49453625082969666, 0.5027963519096375, 0.49855905771255493]",,,,0,,,0.4931488633155823,0.5228781700134277,0.47224316000938416,0.5453481078147888,0.5103026628494263,0.028742533177137375,0.024778345599770546,0.024987878277897835,0.02480541169643402,0.030094638466835022,0.5048643946647644,0.4994434416294098,0.49453625082969666,0.5027963519096375,0.49855905771255493,,,,,0.9836537837982178,nan,nan,nan,0.9888907670974731,nan,nan,nan,0.9927494525909424,nan,nan,nan,0.989068329334259,nan,nan,nan
forward,50,train,0,0.0007199999999999999,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5154759883880615, 0.5040736794471741, 0.48800525069236755, 0.4951172471046448, 0.48932772874832153]",,,,0,,,0.6548390984535217,0.6149773597717285,0.46708914637565613,0.4040320813655853,0.39583852887153625,0.08641240000724792,0.08976675570011139,0.09619209170341492,0.10078486800193787,0.1258753091096878,0.5154759883880615,0.5040736794471741,0.48800525069236755,0.4951172471046448,0.48932772874832153,,,,,,,,,,,,,,,,,,,,
backward,50,train,0,0.0007199999999999999,5,,,,,,,,,,,,0,0.06690954322145506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0007199999999999999,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5154297947883606, 0.5041496157646179, 0.48796066641807556, 0.49515387415885925, 0.48934099078178406]",,,,0,,,0.6648123860359192,0.6130093932151794,0.465168833732605,0.40626558661460876,0.3948974013328552,0.06339526921510696,0.06286238133907318,0.06702283769845963,0.08406522125005722,0.10267296433448792,0.5154297947883606,0.5041496157646179,0.48796066641807556,0.49515387415885925,0.48934099078178406,,,,,0.9314756393432617,0.07084986567497253,0.6230608224868774,0.9737576842308044,0.9522666931152344,0.015776824206113815,0.9189698100090027,0.9567636251449585,0.9757469892501831,0.010809071362018585,0.8774842619895935,0.9636375904083252,0.9403901100158691,0.021002138033509254,0.7075546979904175,0.8799219131469727
forward,50,test,0,0.0007199999999999999,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5154297947883606, 0.5041496157646179, 0.48796066641807556, 0.49515387415885925, 0.48934099078178406]",,,,0,,,0.6648123860359192,0.6130093932151794,0.465168833732605,0.40626558661460876,0.3948974013328552,0.06339526921510696,0.06286238133907318,0.06702283769845963,0.08406522125005722,0.10267296433448792,0.5154297947883606,0.5041496157646179,0.48796066641807556,0.49515387415885925,0.48934099078178406,,,,,0.9314756393432617,0.07084986567497253,0.6230608224868774,0.9737576842308044,0.9522666931152344,0.015776824206113815,0.9189698100090027,0.9567636251449585,0.9757469892501831,0.010809071362018585,0.8774842619895935,0.9636375904083252,0.9403901100158691,0.021002138033509254,0.7075546979904175,0.8799219131469727
forward,100,train,0,0.00025919999999999996,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[183, 5]","[183, 5]",,"[183, 5, 32]","[false, false, false, false, false]","[0.5137364864349365, 0.5034758448600769, 0.4877662658691406, 0.4966792166233063, 0.49072694778442383]",,,,0,,,0.5824998617172241,0.5898101925849915,0.49838972091674805,0.4573129713535309,0.44942599534988403,0.08670399338006973,0.08406788110733032,0.11003531515598297,0.10845182090997696,0.12001799792051315,0.5137364864349365,0.5034758448600769,0.4877662658691406,0.4966792166233063,0.49072694778442383,,,,,,,,,,,,,,,,,,,,
backward,100,train,0,0.00025919999999999996,5,,,,,,,,,,,,0,0.15005821067768407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
