epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4
0,train,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5014389157295227, 0.505219578742981, 0.4944969117641449, 0.5055610537528992, 0.4982544481754303]",0.5014793276786804,0.5051649808883667,0.4943419396877289,0.5055783987045288,0.4979005753993988,0.0018040711292997,0.0017994752852246,0.0018015766981989,0.0018434996018186,0.0018489595968276,0.5014389157295227,0.505219578742981,0.4944969117641449,0.5055610537528992,0.4982544481754303
0,val,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5009389519691467, 0.504719614982605, 0.4939969778060913, 0.5060610175132751, 0.4977545142173767]",0.5008900761604309,0.5045760273933411,0.4937605261802673,0.5061365962028503,0.4973368942737579,0.0009397035464644,0.0009539710008539,0.0009437583503313,0.0009520387975499,0.000974157010205,0.5009389519691467,0.504719614982605,0.4939969778060913,0.5060610175132751,0.4977545142173767
0,test,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5009389519691467, 0.504719614982605, 0.4939969778060913, 0.5060610175132751, 0.4977545142173767]",0.5008900761604309,0.5045760273933411,0.4937605261802673,0.5061365962028503,0.4973368942737579,0.0009397035464644,0.0009539710008539,0.0009437583503313,0.0009520387975499,0.000974157010205,0.5009389519691467,0.504719614982605,0.4939969778060913,0.5060610175132751,0.4977545142173767
50,train,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.4949137568473816, 0.5243357419967651, 0.5106955170631409, 0.5195070505142212, 0.49979254603385925]",0.4938899874687195,0.5288351774215698,0.5137368440628052,0.5221226215362549,0.5001952052116394,0.0021488536149263,0.0031392127275466,0.0023793478030711,0.0021957601420581,0.0012197273317724,0.4949137568473816,0.5243357419967651,0.5106955170631409,0.5195070505142212,0.4997925460338592
50,val,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.4950324594974518, 0.5246592164039612, 0.5110775828361511, 0.5197609663009644, 0.5000842809677124]",0.49406898021698,0.529109537601471,0.5141307711601257,0.5223313570022583,0.5005072951316833,0.0010379172163084,0.0013485113158822,0.0010417810408398,0.0010167487198486,0.0006452332600019,0.4950324594974518,0.5246592164039612,0.5110775828361511,0.5197609663009644,0.5000842809677124
50,test,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.4950324594974518, 0.5246592164039612, 0.5110775828361511, 0.5197609663009644, 0.5000842809677124]",0.49406898021698,0.529109537601471,0.5141307711601257,0.5223313570022583,0.5005072951316833,0.0010379172163084,0.0013485113158822,0.0010417810408398,0.0010167487198486,0.0006452332600019,0.4950324594974518,0.5246592164039612,0.5110775828361511,0.5197609663009644,0.5000842809677124
100,train,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.49600663781166077, 0.5319032669067383, 0.5188520550727844, 0.5272403955459595, 0.5092175602912903]",0.4950741827487945,0.5361456871032715,0.521975040435791,0.529800295829773,0.5103318095207214,0.0019451951375231,0.003062306670472,0.0027197685558348,0.0023348813410848,0.001202524639666,0.4960066378116607,0.5319032669067383,0.5188520550727844,0.5272403955459595,0.5092175602912903
100,val,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.49600011110305786, 0.5319584012031555, 0.5189079642295837, 0.5273012518882751, 0.5092929005622864]",0.4950722754001617,0.5361811518669128,0.522061288356781,0.529874861240387,0.5104203820228577,0.0009941117605194,0.0014076054794713,0.0011992587242275,0.00109433545731,0.0005979780107736,0.4960001111030578,0.5319584012031555,0.5189079642295837,0.5273012518882751,0.5092929005622864
100,test,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.49600011110305786, 0.5319584012031555, 0.5189079642295837, 0.5273012518882751, 0.5092929005622864]",0.4950722754001617,0.5361811518669128,0.522061288356781,0.529874861240387,0.5104203820228577,0.0009941117605194,0.0014076054794713,0.0011992587242275,0.00109433545731,0.0005979780107736,0.4960001111030578,0.5319584012031555,0.5189079642295837,0.5273012518882751,0.5092929005622864
150,train,0,5,,,,"[2708, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.49588635563850403, 0.5327857732772827, 0.5198397040367126, 0.5282113552093506, 0.5104885697364807]",0.4948891401290893,0.5370365977287292,0.5230266451835632,0.5308037400245667,0.5116868615150452,0.0018953860271722,0.0032347068190574,0.002682818332687,0.0022925727535039,0.0011555552482604,0.495886355638504,0.5327857732772827,0.5198397040367126,0.5282113552093506,0.5104885697364807
