event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4
forward,0,train,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5018355250358582, 0.5038243532180786, 0.4974983334541321, 0.49947845935821533, 0.4965779483318329]",,,,0,,,0.501798152923584,0.5032691359519958,0.4973047077655792,0.4994018077850342,0.4968191385269165,0.0018994305282831192,0.001822168822400272,0.0019002697663381696,0.001980166183784604,0.0017998219700530171,0.5018355250358582,0.5038243532180786,0.4974983334541321,0.49947845935821533,0.4965779483318329,,,,,,,,,,,,,,,,,,,,
backward,0,train,0,0.002,5,,,,,,,,,,,,0,0.029087311420222098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5013355612754822, 0.5033243298530579, 0.49699831008911133, 0.4989784359931946, 0.4960779547691345]",,,,0,,,0.5012593269348145,0.5027762055397034,0.4967362880706787,0.498871773481369,0.49620020389556885,0.0009565133368596435,0.000922210980206728,0.0009514110861346126,0.001007271115668118,0.0009061590535566211,0.5013355612754822,0.5033243298530579,0.49699831008911133,0.4989784359931946,0.4960779547691345,,,,,0.9999839663505554,nan,nan,nan,0.9999822974205017,nan,nan,nan,0.9999833106994629,nan,nan,nan,0.9999862313270569,nan,nan,nan
forward,0,test,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5013355612754822, 0.5033243298530579, 0.49699831008911133, 0.4989784359931946, 0.4960779547691345]",,,,0,,,0.5012593269348145,0.5027762055397034,0.4967362880706787,0.498871773481369,0.49620020389556885,0.0009565133368596435,0.000922210980206728,0.0009514110861346126,0.001007271115668118,0.0009061590535566211,0.5013355612754822,0.5033243298530579,0.49699831008911133,0.4989784359931946,0.4960779547691345,,,,,0.9999839663505554,nan,nan,nan,0.9999822974205017,nan,nan,nan,0.9999833106994629,nan,nan,nan,0.9999862313270569,nan,nan,nan
forward,50,train,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5017049312591553, 0.5223309397697449, 0.5117107629776001, 0.512491762638092, 0.4960525631904602]",,,,0,,,0.5014724135398865,0.527010977268219,0.5142598748207092,0.5143389105796814,0.49644434452056885,0.0018067796481773257,0.0029540485702455044,0.002192148007452488,0.0015447591431438923,0.0014151374343782663,0.5017049312591553,0.5223309397697449,0.5117107629776001,0.512491762638092,0.4960525631904602,,,,,,,,,,,,,,,,,,,,
backward,50,train,0,0.002,5,,,,,,,,,,,,0,0.017501023919381194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5019341707229614, 0.5226652026176453, 0.5120822191238403, 0.5128780603408813, 0.49625810980796814]",,,,0,,,0.5016880631446838,0.5273532271385193,0.5146774053573608,0.5147804021835327,0.4966607689857483,0.000959136348683387,0.0013514532474800944,0.0011180269066244364,0.0007900269120000303,0.0008136621327139437,0.5019341707229614,0.5226652026176453,0.5120822191238403,0.5128780603408813,0.49625810980796814,,,,,0.999993085861206,0.0008331956923939288,0.011719286441802979,0.9999871850013733,0.9999942779541016,0.0008587850607000291,0.011049807071685791,0.9999871253967285,0.9999934434890747,0.0010025948286056519,0.018242478370666504,0.9999852180480957,0.9999963045120239,0.001017654431052506,0.012524962425231934,0.9999893307685852
forward,50,test,0,0.002,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5019341707229614, 0.5226652026176453, 0.5120822191238403, 0.5128780603408813, 0.49625810980796814]",,,,0,,,0.5016880631446838,0.5273532271385193,0.5146774053573608,0.5147804021835327,0.4966607689857483,0.000959136348683387,0.0013514532474800944,0.0011180269066244364,0.0007900269120000303,0.0008136621327139437,0.5019341707229614,0.5226652026176453,0.5120822191238403,0.5128780603408813,0.49625810980796814,,,,,0.999993085861206,0.0008331956923939288,0.011719286441802979,0.9999871850013733,0.9999942779541016,0.0008587850607000291,0.011049807071685791,0.9999871253967285,0.9999934434890747,0.0010025948286056519,0.018242478370666504,0.9999852180480957,0.9999963045120239,0.001017654431052506,0.012524962425231934,0.9999893307685852
forward,100,train,0,0.00043199999999999993,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[2708, 5]","[2708, 5]",,"[2708, 5, 32]","[false, false, false, false, false]","[0.5053449273109436, 0.5311341285705566, 0.5219064354896545, 0.5220049619674683, 0.504664421081543]",,,,0,,,0.5048800110816956,0.5354161262512207,0.5248149633407593,0.524010181427002,0.5056771636009216,0.001733858254738152,0.0031712576746940613,0.0025865365751087666,0.0017475493950769305,0.0011903438717126846,0.5053449273109436,0.5311341285705566,0.5219064354896545,0.5220049619674683,0.504664421081543,,,,,,,,,,,,,,,,,,,,
backward,100,train,0,0.00043199999999999993,5,,,,,,,,,,,,0,0.015671965320542044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
