epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9108490943908691,1.895972490310669,1.8691506385803223,0.16666666666666666,0.058,0.078,0.002,0.058,0.078,0,Accuracy,higher,final,0
1,1.8998627662658691,1.736173152923584,1.741946816444397,0.44166666666666665,0.258,0.259,0.002,0.258,0.259,1,Accuracy,higher,final,0
2,1.8187397718429565,1.6812505722045898,1.6915658712387085,0.6,0.342,0.319,0.002,0.342,0.319,2,Accuracy,higher,final,0
3,1.6934218406677246,1.6620044708251953,1.6753764152526855,0.5333333333333333,0.316,0.276,0.002,0.342,0.319,2,Accuracy,higher,final,0
4,1.659010648727417,1.6453884840011597,1.6590452194213867,0.5916666666666667,0.346,0.303,0.002,0.346,0.303,4,Accuracy,higher,final,0
5,1.5853675603866577,1.6270921230316162,1.6351991891860962,0.7666666666666667,0.432,0.413,0.002,0.432,0.413,5,Accuracy,higher,final,0
6,1.4620118141174316,1.6153417825698853,1.6143966913223267,0.8583333333333333,0.52,0.509,0.002,0.52,0.509,6,Accuracy,higher,final,0
7,1.4591660499572754,1.6021955013275146,1.594834566116333,0.925,0.574,0.548,0.002,0.574,0.548,7,Accuracy,higher,final,0
8,1.3046362400054932,1.5782767534255981,1.5718510150909424,0.9416666666666667,0.556,0.532,0.002,0.574,0.548,7,Accuracy,higher,final,0
9,1.2528953552246094,1.5543725490570068,1.5496007204055786,0.9416666666666667,0.524,0.503,0.002,0.574,0.548,7,Accuracy,higher,final,0
10,1.060736060142517,1.5098971128463745,1.5093438625335693,0.9666666666666667,0.53,0.502,0.002,0.574,0.548,7,Accuracy,higher,final,0
11,1.0474063158035278,1.4480457305908203,1.4541356563568115,0.975,0.576,0.525,0.002,0.576,0.525,11,Accuracy,higher,final,0
12,0.9011191725730896,1.392269253730774,1.3994746208190918,0.975,0.6,0.565,0.002,0.6,0.565,12,Accuracy,higher,final,0
13,0.8670710325241089,1.3456006050109863,1.3479479551315308,0.9833333333333333,0.608,0.587,0.002,0.608,0.587,13,Accuracy,higher,final,0
14,0.7474884390830994,1.3142564296722412,1.30696439743042,0.9833333333333333,0.606,0.609,0.002,0.608,0.587,13,Accuracy,higher,final,0
15,0.7068288326263428,1.2955608367919922,1.2806189060211182,0.9833333333333333,0.604,0.613,0.002,0.608,0.587,13,Accuracy,higher,final,0
16,0.6477496027946472,1.2749794721603394,1.2567716836929321,0.9916666666666667,0.624,0.614,0.002,0.624,0.614,16,Accuracy,higher,final,0
17,0.5439885258674622,1.257130742073059,1.236036777496338,0.9916666666666667,0.632,0.622,0.002,0.632,0.622,17,Accuracy,higher,final,0
18,0.5641746520996094,1.236175537109375,1.2161778211593628,0.9916666666666667,0.634,0.632,0.002,0.634,0.632,18,Accuracy,higher,final,0
19,0.5332822203636169,1.2182528972625732,1.2028653621673584,1.0,0.626,0.636,0.002,0.634,0.632,18,Accuracy,higher,final,0
20,0.4579874277114868,1.1998027563095093,1.1910572052001953,1.0,0.632,0.626,0.002,0.634,0.632,18,Accuracy,higher,final,0
21,0.4367871880531311,1.1766679286956787,1.1729645729064941,1.0,0.636,0.631,0.002,0.636,0.631,21,Accuracy,higher,final,0
22,0.38129541277885437,1.1473053693771362,1.1463390588760376,1.0,0.64,0.637,0.002,0.64,0.637,22,Accuracy,higher,final,0
23,0.32931002974510193,1.1198198795318604,1.1196235418319702,1.0,0.644,0.65,0.002,0.644,0.65,23,Accuracy,higher,final,0
24,0.3482953906059265,1.0925356149673462,1.0911892652511597,1.0,0.654,0.66,0.002,0.654,0.66,24,Accuracy,higher,final,0
25,0.3128648102283478,1.0721772909164429,1.068036675453186,1.0,0.664,0.668,0.002,0.664,0.668,25,Accuracy,higher,final,0
26,0.2958112061023712,1.0666435956954956,1.0578254461288452,1.0,0.67,0.666,0.002,0.67,0.666,26,Accuracy,higher,final,0
27,0.22185279428958893,1.0689188241958618,1.056357502937317,1.0,0.666,0.666,0.002,0.67,0.666,26,Accuracy,higher,final,0
28,0.30745142698287964,1.072709083557129,1.0574142932891846,1.0,0.662,0.657,0.002,0.67,0.666,26,Accuracy,higher,final,0
29,0.22954966127872467,1.0753016471862793,1.0578471422195435,1.0,0.656,0.645,0.002,0.67,0.666,26,Accuracy,higher,final,0
30,0.2574962079524994,1.0641590356826782,1.049257755279541,1.0,0.66,0.638,0.002,0.67,0.666,26,Accuracy,higher,final,0
31,0.16780884563922882,1.059386968612671,1.046015977859497,1.0,0.662,0.644,0.002,0.67,0.666,26,Accuracy,higher,final,0
32,0.19507011771202087,1.0557907819747925,1.0443087816238403,1.0,0.664,0.644,0.002,0.67,0.666,26,Accuracy,higher,final,0
33,0.17015781998634338,1.0456950664520264,1.0357121229171753,1.0,0.668,0.648,0.002,0.67,0.666,26,Accuracy,higher,final,0
34,0.16836151480674744,1.0388137102127075,1.0270427465438843,1.0,0.662,0.651,0.002,0.67,0.666,26,Accuracy,higher,final,0
35,0.15778401494026184,1.0339382886886597,1.0200912952423096,1.0,0.658,0.646,0.002,0.67,0.666,26,Accuracy,higher,final,0
36,0.13043704628944397,1.030218243598938,1.0134718418121338,1.0,0.654,0.642,0.002,0.67,0.666,26,Accuracy,higher,final,0
37,0.12590360641479492,1.0211641788482666,1.0031940937042236,1.0,0.656,0.649,0.002,0.67,0.666,26,Accuracy,higher,final,0
38,0.11818006634712219,1.0136429071426392,0.9968657493591309,1.0,0.658,0.652,0.002,0.67,0.666,26,Accuracy,higher,final,0
39,0.13934510946273804,1.0069776773452759,0.9938988089561462,1.0,0.666,0.657,0.002,0.67,0.666,26,Accuracy,higher,final,0
40,0.11096208542585373,0.9986717700958252,0.988572895526886,1.0,0.666,0.661,0.002,0.67,0.666,26,Accuracy,higher,final,0
41,0.11471239477396011,0.9899649024009705,0.9822016358375549,1.0,0.666,0.666,0.002,0.67,0.666,26,Accuracy,higher,final,0
42,0.10396758466959,0.9846565127372742,0.9778373837471008,1.0,0.674,0.669,0.002,0.674,0.669,42,Accuracy,higher,final,0
43,0.09145418554544449,0.9853029847145081,0.9769721627235413,1.0,0.672,0.665,0.002,0.674,0.669,42,Accuracy,higher,final,0
