event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.49686679244041443, 0.5037872195243835, 0.4935952126979828]",,,,0,,,0.49661579728126526,0.5038996338844299,0.4939529001712799,0.0017627530032768846,0.0018632744904607534,0.0018460145220160484,0.49686679244041443,0.5037872195243835,0.4935952126979828,,,,,,,,,,,,
forward,0,train,1,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5036618709564209, 0.49022507667541504, 0.484953373670578]",,,,0,,,0.43782922625541687,0.5047398209571838,0.46058210730552673,0.12557102739810944,0.11281373351812363,0.12720777094364166,0.5036618709564209,0.49022507667541504,0.484953373670578,,,,,,,,,,,,
backward,0,train,0,0.05,3,,,,,,,,,,,,0,0.019551680237364602,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.05,3,,,,,,,,,,,,0,0.17600475113503017,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5093656182289124, 0.49128827452659607, 0.5060944557189941]",,,,0,,,0.5110231041908264,0.49026212096214294,0.5058940052986145,0.0031910755205899477,0.003310663625597954,0.0029456433840095997,0.5093656182289124,0.49128827452659607,0.5060944557189941,0.9999685287475586,nan,nan,nan,0.9999713897705078,nan,nan,nan,0.9999514818191528,nan,nan,nan
forward,0,val,1,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.49116286635398865, 0.4777386486530304, 0.4974488317966461]",,,,0,,,0.2583116292953491,0.5655494928359985,0.31254273653030396,0.013399587944149971,0.019655056297779083,0.03216470032930374,0.49116286635398865,0.4777386486530304,0.4974488317966461,0.9801992774009705,nan,nan,nan,0.9954796433448792,nan,nan,nan,0.9982372522354126,nan,nan,nan
forward,0,test,0,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5093656182289124, 0.49128827452659607, 0.5060944557189941]",,,,0,,,0.5110231041908264,0.49026212096214294,0.5058940052986145,0.0031910755205899477,0.003310663625597954,0.0029456433840095997,0.5093656182289124,0.49128827452659607,0.5060944557189941,0.9999685287475586,nan,nan,nan,0.9999713897705078,nan,nan,nan,0.9999514818191528,nan,nan,nan
forward,0,test,1,0.05,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.49116286635398865, 0.4777386486530304, 0.4974488317966461]",,,,0,,,0.2583116292953491,0.5655494928359985,0.31254273653030396,0.013399587944149971,0.019655056297779083,0.03216470032930374,0.49116286635398865,0.4777386486530304,0.4974488317966461,0.9801992774009705,nan,nan,nan,0.9954796433448792,nan,nan,nan,0.9982372522354126,nan,nan,nan
forward,50,train,0,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5472533702850342, 0.4513070285320282, 0.5491728782653809]",,,,0,,,0.547833263874054,0.45101410150527954,0.5488505363464355,0.002377716125920415,0.0018628889229148626,0.0020220130681991577,0.5472533702850342,0.4513070285320282,0.5491728782653809,,,,,,,,,,,,
forward,50,train,1,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.4084259271621704, 0.5401119589805603, 0.4380677342414856]",,,,0,,,8.731600331657319e-08,0.9999935626983643,0.000769690319430083,1.3025694443058455e-06,6.606242095585912e-05,0.006208334118127823,0.4084259271621704,0.5401119589805603,0.4380677342414856,,,,,,,,,,,,
backward,50,train,0,0.010799999999999999,3,,,,,,,,,,,,0,0.0026967540940375984,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.010799999999999999,3,,,,,,,,,,,,0,0.0009460417098099431,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5472704768180847, 0.4513440430164337, 0.5489392280578613]",,,,0,,,0.5478556752204895,0.45104286074638367,0.5486078262329102,0.0012534464476630092,0.0009329472668468952,0.0010140842059627175,0.5472704768180847,0.4513440430164337,0.5489392280578613,1.0,0.0012927016941830516,0.01975882053375244,0.9999711513519287,1.0,0.0011955377412959933,0.02049615979194641,0.9999989867210388,1.0,0.0002510504564270377,0.011757701635360718,0.999999463558197
forward,50,val,1,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.4085782468318939, 0.539974570274353, 0.43830063939094543]",,,,0,,,5.968282812407466e-11,1.0,9.375866284244694e-06,9.344011675516128e-12,0.0,2.656412107171491e-06,0.4085782468318939,0.539974570274353,0.43830063939094543,0.9996688365936279,0.030190708115696907,0.3452260196208954,0.9780657291412354,0.9959418773651123,0.01601681485772133,0.38555824756622314,0.9973438382148743,1.0,0.002166501944884658,0.09384092688560486,0.9999525547027588
forward,50,test,0,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5472704768180847, 0.4513440430164337, 0.5489392280578613]",,,,0,,,0.5478556752204895,0.45104286074638367,0.5486078262329102,0.0012534464476630092,0.0009329472668468952,0.0010140842059627175,0.5472704768180847,0.4513440430164337,0.5489392280578613,1.0,0.0012927016941830516,0.01975882053375244,0.9999710321426392,1.0,0.0011955378577113152,0.02049615979194641,0.9999989867210388,1.0,0.0002510504564270377,0.011757701635360718,0.999999463558197
forward,50,test,1,0.010799999999999999,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.4085782468318939, 0.539974570274353, 0.43830063939094543]",,,,0,,,5.968282812407466e-11,1.0,9.375865374749992e-06,9.344012542877866e-12,0.0,2.656412107171491e-06,0.4085782468318939,0.539974570274353,0.43830063939094543,0.9996688365936279,0.030190709978342056,0.3452260196208954,0.9780657291412354,0.9959418773651123,0.01601681485772133,0.38555824756622314,0.9973438382148743,1.0,0.002166501944884658,0.09384092688560486,0.9999525547027588
forward,100,train,0,0.0008398079999999998,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5460540056228638, 0.45317983627319336, 0.5453630685806274]",,,,0,,,0.5462095141410828,0.4532789885997772,0.5450891852378845,0.0011519752442836761,0.0006203879020176828,0.0009818330872803926,0.5460540056228638,0.45317983627319336,0.5453630685806274,,,,,,,,,,,,
forward,100,train,1,0.0008398079999999998,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.4116664528846741, 0.5372726917266846, 0.4436432123184204]",,,,0,,,9.515042052044009e-07,0.9999449849128723,0.002369306515902281,9.812242751650047e-06,0.00042088580084964633,0.010835419408977032,0.4116664528846741,0.5372726917266846,0.4436432123184204,,,,,,,,,,,,
backward,100,train,0,0.0008398079999999998,3,,,,,,,,,,,,0,0.0017982766433589574,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0008398079999999998,3,,,,,,,,,,,,0,0.0009234692474994544,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0008398079999999998,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.5460513830184937, 0.4531856179237366, 0.545341968536377]",,,,0,,,0.5462024211883545,0.4533001482486725,0.5450701713562012,0.0006582348141819239,0.00035683519672602415,0.0005814213072881103,0.5460513830184937,0.4531856179237366,0.545341968536377,1.0,0.0012922362657263875,0.019905537366867065,0.9999790191650391,1.0,0.0011950754560530186,0.020351022481918335,1.000004768371582,1.0,0.00025079987244680524,0.011755585670471191,0.999999463558197
forward,100,val,1,0.0008398079999999998,3,3,"[""hop_1"", ""hop_2"", ""hop_3""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.4116845428943634, 0.5372572541236877, 0.44367900490760803]",,,,0,,,1.7472671087759295e-09,0.999999463558197,6.646879046456888e-05,1.982585623450106e-10,5.261320268346026e-08,1.5077244825079106e-05,0.4116845428943634,0.5372572541236877,0.44367900490760803,0.9998961687088013,0.02996676228940487,0.35139545798301697,0.9779896140098572,0.9986767172813416,0.013976539485156536,0.33243662118911743,0.9981017708778381,1.0,0.002164827659726143,0.09381633996963501,0.9999526739120483
