epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.092280387878418,2.171226978302002,2.1468756198883057,0.15,0.128,0.13,0.05,0.128,0.13,0,Accuracy,higher,final,0
1,2.578190803527832,2.6900887489318848,2.7556748390197754,0.17857142857142858,0.098,0.092,0.05,0.128,0.13,0,Accuracy,higher,final,0
2,2.9615581035614014,2.0405309200286865,2.023298501968384,0.15,0.11,0.133,0.05,0.128,0.13,0,Accuracy,higher,final,0
3,2.8139097690582275,2.121750831604004,2.075626850128174,0.17857142857142858,0.12,0.139,0.05,0.128,0.13,0,Accuracy,higher,final,0
4,2.649399995803833,2.0997250080108643,2.078235387802124,0.2,0.094,0.117,0.05,0.128,0.13,0,Accuracy,higher,final,0
5,2.391467332839966,2.0833992958068848,2.0709731578826904,0.2,0.094,0.117,0.05,0.128,0.13,0,Accuracy,higher,final,0
6,2.404388904571533,2.014190912246704,2.0120301246643066,0.17857142857142858,0.098,0.092,0.05,0.128,0.13,0,Accuracy,higher,final,0
7,2.2357451915740967,1.941137671470642,1.9465129375457764,0.15714285714285714,0.132,0.113,0.05,0.132,0.113,7,Accuracy,higher,final,0
8,2.232187509536743,1.9267109632492065,1.9336135387420654,0.14285714285714285,0.156,0.144,0.05,0.156,0.144,8,Accuracy,higher,final,0
9,2.1796016693115234,1.9476630687713623,1.9456512928009033,0.15714285714285714,0.114,0.127,0.05,0.156,0.144,8,Accuracy,higher,final,0
10,2.319498062133789,1.9945589303970337,1.9854822158813477,0.17857142857142858,0.154,0.158,0.05,0.156,0.144,8,Accuracy,higher,final,0
11,2.2438912391662598,2.007410764694214,1.9919459819793701,0.17857142857142858,0.154,0.158,0.05,0.156,0.144,8,Accuracy,higher,final,0
12,2.1818199157714844,2.001371383666992,1.982364296913147,0.2,0.094,0.117,0.05,0.156,0.144,8,Accuracy,higher,final,0
13,2.0539469718933105,2.009310483932495,1.988102912902832,0.2,0.094,0.117,0.05,0.156,0.144,8,Accuracy,higher,final,0
14,2.039747953414917,1.9979212284088135,1.9777493476867676,0.20714285714285716,0.094,0.114,0.05,0.156,0.144,8,Accuracy,higher,final,0
15,2.1016247272491455,1.9670132398605347,1.9485715627670288,0.15,0.104,0.113,0.05,0.156,0.144,8,Accuracy,higher,final,0
16,2.126250982284546,1.9381405115127563,1.9241211414337158,0.16428571428571428,0.218,0.219,0.05,0.218,0.219,16,Accuracy,higher,final,0
17,2.197559118270874,1.928187370300293,1.917561650276184,0.17857142857142858,0.154,0.156,0.05,0.218,0.219,16,Accuracy,higher,final,0
18,2.0862958431243896,1.9282902479171753,1.9204479455947876,0.17857142857142858,0.154,0.158,0.05,0.218,0.219,16,Accuracy,higher,final,0
19,2.042766571044922,1.9281476736068726,1.9237456321716309,0.18571428571428572,0.214,0.244,0.05,0.218,0.219,16,Accuracy,higher,final,0
20,1.9895490407943726,1.9382141828536987,1.9351249933242798,0.18571428571428572,0.214,0.244,0.03,0.218,0.219,16,Accuracy,higher,final,0
21,2.096153497695923,1.9570938348770142,1.953313946723938,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
22,1.9963500499725342,1.9750614166259766,1.9698387384414673,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
23,2.075561046600342,1.9857981204986572,1.978083610534668,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
24,2.0756289958953857,1.9847050905227661,1.9746211767196655,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
25,2.0497777462005615,1.9802942276000977,1.9685436487197876,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
26,2.00323224067688,1.9722998142242432,1.958732008934021,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
27,2.02667236328125,1.9659030437469482,1.953220009803772,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
28,1.9636186361312866,1.9541940689086914,1.9421440362930298,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
29,2.0076401233673096,1.9492583274841309,1.937772274017334,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
30,2.030217409133911,1.9494158029556274,1.9381743669509888,0.2,0.094,0.117,0.03,0.218,0.219,16,Accuracy,higher,final,0
31,1.9995263814926147,1.950641393661499,1.9392602443695068,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
32,1.9895137548446655,1.9526803493499756,1.9417084455490112,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
33,1.9870904684066772,1.9528424739837646,1.9426054954528809,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
34,1.9984848499298096,1.9529770612716675,1.9435346126556396,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
35,2.0062243938446045,1.9531943798065186,1.9440717697143555,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
36,1.9937604665756226,1.9533510208129883,1.9446301460266113,0.18571428571428572,0.214,0.244,0.018,0.218,0.219,16,Accuracy,higher,final,0
37,2.0045950412750244,1.9543664455413818,1.9453330039978027,0.2,0.094,0.117,0.018,0.218,0.219,16,Accuracy,higher,final,0
