epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_std_hop_0,hop_scalar_hop_0
0,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
0,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
0,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
50,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
50,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
50,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
100,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
100,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
100,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
150,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
150,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
150,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
200,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
200,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
200,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
250,train,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
250,val,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
250,test,0,1,,,,"[2708, 1]",1.0,"[""hop_1""]","[2708, 1]",,"[2708, 1, 64]",[false],[1.0],1.0,0.0,1.0
