event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_std_hop_0,weights_std_hop_1,hop_scalar_hop_0,hop_scalar_hop_1,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1
forward,0,train,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.49535107612609863, 0.49549245834350586]",,,,0,,,0.49498772621154785,0.4954302906990051,0.0015908345812931657,0.0015863324515521526,0.49535107612609863,0.49549245834350586,,,,,,,,
forward,0,train,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.49674132466316223, 0.511246383190155]",,,,0,,,0.4961167275905609,0.5109282732009888,0.002121404279023409,0.0025643049739301205,0.49674132466316223,0.511246383190155,,,,,,,,
backward,0,train,0,0.005,2,,,,,,,,,,,,0,0.0008976212329114315,,,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,,,,,,,0,0.0010810830542114166,,,,,,,,,,,,,,,
forward,0,val,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.49410125613212585, 0.4967423975467682]",,,,0,,,0.49357718229293823,0.4968182146549225,0.0008277815650217235,0.0007769075455144048,0.49410125613212585,0.4967423975467682,0.9999914169311523,nan,nan,nan,0.9999921917915344,nan,nan,nan
forward,0,val,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.4954914152622223, 0.5124955773353577]",,,,0,,,0.4945454001426697,0.5123430490493774,0.0003760713152587414,0.0005856634234078228,0.4954914152622223,0.5124955773353577,0.9999851584434509,nan,nan,nan,0.9999994039535522,nan,nan,nan
forward,0,test,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.49410125613212585, 0.4967423975467682]",,,,0,,,0.49357718229293823,0.4968182146549225,0.0008277815650217235,0.0007769075455144048,0.49410125613212585,0.4967423975467682,0.9999914169311523,nan,nan,nan,0.9999921917915344,nan,nan,nan
forward,0,test,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.4954914152622223, 0.5124955773353577]",,,,0,,,0.4945454001426697,0.5123430490493774,0.00037607134436257184,0.0005856634234078228,0.4954914152622223,0.5124955773353577,0.9999851584434509,nan,nan,nan,0.9999994039535522,nan,nan,nan
forward,50,train,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.5670431852340698, 0.5693192481994629]",,,,0,,,0.5936368107795715,0.5856038928031921,0.01215690840035677,0.009730376303195953,0.5670431852340698,0.5693192481994629,,,,,,,,
forward,50,train,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.5633795857429504, 0.5794712901115417]",,,,0,,,0.864709734916687,0.8311493396759033,0.041063617914915085,0.04162163287401199,0.5633795857429504,0.5794712901115417,,,,,,,,
backward,50,train,0,0.005,2,,,,,,,,,,,,0,0.09259337075521745,,,,,,,,,,,,,,,
backward,50,train,1,0.005,2,,,,,,,,,,,,0,0.02909468104439121,,,,,,,,,,,,,,,
forward,50,val,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.56894451379776, 0.5710917711257935]",,,,0,,,0.596921443939209,0.588178277015686,0.006144003942608833,0.0060537732206285,0.56894451379776,0.5710917711257935,0.9999790787696838,0.0011499003740027547,0.02516716718673706,0.9999699592590332,0.9999871253967285,0.0005489391041919589,0.019468724727630615,1.0000027418136597
forward,50,val,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.5650162100791931, 0.5809609889984131]",,,,0,,,0.8798106908798218,0.8449202179908752,0.024685516953468323,0.02729056030511856,0.5650162100791931,0.5809609889984131,0.9990910887718201,0.006761664990335703,0.11379435658454895,0.9988713264465332,0.9992727041244507,0.003156066406518221,0.08138707280158997,0.9996119737625122
forward,50,test,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.56894451379776, 0.5710917711257935]",,,,0,,,0.596921443939209,0.588178277015686,0.006144003942608833,0.0060537732206285,0.56894451379776,0.5710917711257935,0.9999790787696838,0.0011499002575874329,0.02516716718673706,0.9999699592590332,0.9999871253967285,0.0005489389877766371,0.019468724727630615,1.0000027418136597
forward,50,test,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.5650162100791931, 0.5809609889984131]",,,,0,,,0.8798106908798218,0.8449202179908752,0.024685516953468323,0.02729055844247341,0.5650162100791931,0.5809609889984131,0.9990910291671753,0.006761664990335703,0.11379435658454895,0.9988713264465332,0.9992727041244507,0.0031560666393488646,0.08138707280158997,0.9996119737625122
forward,100,train,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.6555076241493225, 0.6480395793914795]",,,,0,,,0.7154776453971863,0.6776536107063293,0.024774610996246338,0.017128916457295418,0.6555076241493225,0.6480395793914795,,,,,,,,
forward,100,train,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6120734810829163, 0.6259235739707947]",,,,0,,,0.9745410084724426,0.9609373211860657,0.019162312150001526,0.023576155304908752,0.6120734810829163,0.6259235739707947,,,,,,,,
backward,100,train,0,0.005,2,,,,,,,,,,,,0,0.11510297986005362,,,,,,,,,,,,,,,
backward,100,train,1,0.005,2,,,,,,,,,,,,0,0.013169796775666312,,,,,,,,,,,,,,,
forward,100,val,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.6569597721099854, 0.6492174863815308]",,,,0,,,0.7173961400985718,0.6789897084236145,0.011060445569455624,0.009899136610329151,0.6569597721099854,0.6492174863815308,0.9996445178985596,0.0039018928073346615,0.09588027000427246,0.9996178150177002,0.9999033808708191,0.0011686956277117133,0.07954639196395874,0.9999423623085022
forward,100,val,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6127125024795532, 0.6265139579772949]",,,,0,,,0.9793224930763245,0.9659416675567627,0.008485452271997929,0.012175044044852257,0.6127125024795532,0.6265139579772949,0.992927074432373,0.017889872193336487,0.37289804220199585,0.9922903776168823,0.9914705157279968,0.009423437528312206,0.24895374476909637,0.9959765076637268
forward,100,test,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.6569597721099854, 0.6492174863815308]",,,,0,,,0.7173961400985718,0.6789897084236145,0.011060445569455624,0.009899136610329151,0.6569597721099854,0.6492174863815308,0.9996445178985596,0.0039018928073346615,0.09588027000427246,0.9996178150177002,0.9999033808708191,0.0011686956277117133,0.07954639196395874,0.9999423623085022
forward,100,test,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6127125024795532, 0.6265139579772949]",,,,0,,,0.9793224930763245,0.9659416675567627,0.008485452271997929,0.012175044044852257,0.6127125024795532,0.6265139579772949,0.992927074432373,0.017889872193336487,0.37289804220199585,0.9922903776168823,0.9914705157279968,0.009423437528312206,0.24895374476909637,0.9959765076637268
forward,150,train,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.7124758362770081, 0.6956988573074341]",,,,0,,,0.7721209526062012,0.7219013571739197,0.024994540959596634,0.015270867384970188,0.7124758362770081,0.6956988573074341,,,,,,,,
forward,150,train,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6375771760940552, 0.6494212746620178]",,,,0,,,0.9834966659545898,0.9684683084487915,0.014137710444629192,0.02059296891093254,0.6375771760940552,0.6494212746620178,,,,,,,,
backward,150,train,0,0.005,2,,,,,,,,,,,,0,0.07353395167749452,,,,,,,,,,,,,,,
backward,150,train,1,0.005,2,,,,,,,,,,,,0,0.007237265549926916,,,,,,,,,,,,,,,
forward,150,val,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.7134354114532471, 0.6965420246124268]",,,,0,,,0.772808849811554,0.72232985496521,0.012111854739487171,0.008477333933115005,0.7134354114532471,0.6965420246124268,0.9995686411857605,0.004307476803660393,0.13447052240371704,0.9995472431182861,0.9999517202377319,0.0008913163910619915,0.06332230567932129,0.999975323677063
forward,150,val,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6379790902137756, 0.6498534679412842]",,,,0,,,0.9871768355369568,0.9728245735168457,0.004794876091182232,0.008272665552794933,0.6379790902137756,0.6498534679412842,0.9985700249671936,0.008609856478869915,0.20784631371498108,0.9981755614280701,0.9924269318580627,0.009978566318750381,0.18779301643371582,0.9966230392456055
forward,150,test,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.7134354114532471, 0.6965420246124268]",,,,0,,,0.772808849811554,0.72232985496521,0.012111854739487171,0.008477333933115005,0.7134354114532471,0.6965420246124268,0.9995686411857605,0.004307476803660393,0.13447052240371704,0.9995472431182861,0.9999517202377319,0.0008913163910619915,0.06332230567932129,0.999975323677063
forward,150,test,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6379790902137756, 0.6498534679412842]",,,,0,,,0.9871768355369568,0.9728245735168457,0.004794876091182232,0.008272665552794933,0.6379790902137756,0.6498534679412842,0.998569905757904,0.008609856478869915,0.20784631371498108,0.9981755614280701,0.9924269318580627,0.009978566318750381,0.18779298663139343,0.9966230392456055
forward,200,train,0,0.003,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.7515352368354797, 0.73018878698349]",,,,0,,,0.8030096888542175,0.7515896558761597,0.023666637018322945,0.013792994432151318,0.7515352368354797,0.73018878698349,,,,,,,,
forward,200,train,1,0.003,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6578792929649353, 0.666819155216217]",,,,0,,,0.9852870106697083,0.9685500264167786,0.014080222696065903,0.0217879731208086,0.6578792929649353,0.666819155216217,,,,,,,,
backward,200,train,0,0.003,2,,,,,,,,,,,,0,0.06335290964746725,,,,,,,,,,,,,,,
backward,200,train,1,0.003,2,,,,,,,,,,,,0,0.005923830610174777,,,,,,,,,,,,,,,
forward,200,val,0,0.003,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.751981794834137, 0.730546236038208]",,,,0,,,0.803904116153717,0.7518699765205383,0.011445622891187668,0.007413000799715519,0.751981794834137,0.730546236038208,0.9995164275169373,0.004551904276013374,0.14362087845802307,0.9995032548904419,0.999951958656311,0.0008908797753974795,0.06043124198913574,0.9999744892120361
forward,200,val,1,0.003,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 7]","[false, false]","[0.6581192016601562, 0.6670641899108887]",,,,0,,,0.9894886016845703,0.9739802479743958,0.0037546029780060053,0.007632475811988115,0.6581192016601562,0.6670641899108887,0.9994298815727234,0.005465004127472639,0.14259633421897888,0.9991629123687744,0.992344319820404,0.010480927303433418,0.17726758122444153,0.9965133666992188
forward,200,test,0,0.003,2,2,"[""hop_1"", ""hop_2""]","[2708, 2]","[2708, 2]",,"[2708, 2, 64]","[false, false]","[0.751981794834137, 0.730546236038208]",,,,0,,,0.803904116153717,0.7518699765205383,0.011445622891187668,0.007413000799715519,0.751981794834137,0.730546236038208,0.9995164275169373,0.004551904276013374,0.14362087845802307,0.9995034337043762,0.999951958656311,0.0008908798336051404,0.06043124198913574,0.9999744892120361
