epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.0984206199645996,2.8750813007354736,2.826718807220459,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.30386740331491713,0.31964117091595845,0,Accuracy,higher,final,0
1,2.742520809173584,1.2259469032287598,1.2065647840499878,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.30386740331491713,0.31964117091595845,0,Accuracy,higher,final,0
2,1.1828056573867798,1.4788347482681274,1.4943970441818237,0.3774104683195592,0.3314917127071823,0.3432483474976393,0.005,0.3314917127071823,0.3432483474976393,2,Accuracy,higher,final,0
3,1.5180608034133911,1.665189266204834,1.7271372079849243,0.29476584022038566,0.36464088397790057,0.3371104815864023,0.005,0.36464088397790057,0.3371104815864023,3,Accuracy,higher,final,0
4,1.7024320363998413,1.7248464822769165,1.7939120531082153,0.29476584022038566,0.36464088397790057,0.3371104815864023,0.005,0.36464088397790057,0.3371104815864023,3,Accuracy,higher,final,0
5,1.7201727628707886,1.457582950592041,1.5069319009780884,0.29476584022038566,0.36464088397790057,0.3385269121813031,0.005,0.36464088397790057,0.3371104815864023,3,Accuracy,higher,final,0
6,1.4633597135543823,1.216452956199646,1.2389761209487915,0.49449035812672176,0.4198895027624309,0.44995278564683666,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
7,1.2421646118164062,1.0652726888656616,1.067979335784912,0.38154269972451793,0.3314917127071823,0.34560906515580736,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
8,1.0673792362213135,1.0505579710006714,1.042745590209961,0.40771349862258954,0.3812154696132597,0.3904627006610009,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
9,1.0205607414245605,1.1696782112121582,1.157898187637329,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
10,1.1149287223815918,1.2613604068756104,1.24778413772583,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
11,1.1998507976531982,1.250868558883667,1.2365472316741943,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
12,1.1773120164871216,1.167919397354126,1.1541612148284912,0.3278236914600551,0.30386740331491713,0.31964117091595845,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
13,1.108659029006958,1.071645975112915,1.0606048107147217,0.34710743801652894,0.30939226519337015,0.32530689329556184,0.005,0.4198895027624309,0.44995278564683666,6,Accuracy,higher,final,0
14,1.0250442028045654,1.0026854276657104,0.9977198839187622,0.6267217630853994,0.56353591160221,0.5585457979225684,0.005,0.56353591160221,0.5585457979225684,14,Accuracy,higher,final,0
15,0.968609631061554,0.9688940644264221,0.9726414680480957,0.6225895316804407,0.5911602209944752,0.6076487252124646,0.005,0.5911602209944752,0.6076487252124646,15,Accuracy,higher,final,0
