epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9029357433319092,1.3518998622894287,1.2301355600357056,0.45,0.525,0.5294117647058824,0.005,0.525,0.5294117647058824,0,Accuracy,higher,final,42
1,1.6218254566192627,1.4097659587860107,1.287376880645752,0.475,0.5125,0.5294117647058824,0.005,0.525,0.5294117647058824,0,Accuracy,higher,final,42
2,1.8026888370513916,1.4322497844696045,1.3259563446044922,0.4666666666666667,0.5125,0.5490196078431373,0.005,0.525,0.5294117647058824,0,Accuracy,higher,final,42
3,1.6848722696304321,1.414185881614685,1.324847936630249,0.4583333333333333,0.525,0.5294117647058824,0.005,0.525,0.5294117647058824,0,Accuracy,higher,final,42
4,1.4702402353286743,1.3845595121383667,1.3014425039291382,0.48333333333333334,0.525,0.5686274509803921,0.005,0.525,0.5294117647058824,0,Accuracy,higher,final,42
5,1.9146971702575684,1.2552907466888428,1.2233645915985107,0.6333333333333333,0.55,0.49019607843137253,0.005,0.55,0.49019607843137253,5,Accuracy,higher,final,42
6,1.8486303091049194,1.2071974277496338,1.2547307014465332,0.65,0.6,0.49019607843137253,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
7,1.8257440328598022,1.207378625869751,1.3094451427459717,0.6166666666666667,0.5875,0.49019607843137253,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
8,1.8773046731948853,1.198570966720581,1.3287545442581177,0.65,0.6,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
9,2.4268224239349365,1.1851824522018433,1.3335422277450562,0.675,0.575,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
10,1.8358008861541748,1.189110517501831,1.333927035331726,0.6916666666666667,0.5875,0.43137254901960786,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
11,1.8528398275375366,1.188829779624939,1.3390064239501953,0.675,0.575,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
12,1.5499948263168335,1.2003636360168457,1.3478368520736694,0.6583333333333333,0.5875,0.43137254901960786,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
13,1.5395164489746094,1.2111518383026123,1.3563638925552368,0.6333333333333333,0.5375,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
14,2.172102689743042,1.2103840112686157,1.3587958812713623,0.6083333333333333,0.525,0.43137254901960786,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
15,1.6418431997299194,1.2013213634490967,1.3463393449783325,0.6166666666666667,0.525,0.43137254901960786,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
16,1.8945558071136475,1.1841456890106201,1.3358269929885864,0.65,0.525,0.49019607843137253,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
17,1.4161794185638428,1.1596170663833618,1.330204725265503,0.675,0.575,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
18,1.4269318580627441,1.1411272287368774,1.337094783782959,0.7,0.575,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
19,1.3843157291412354,1.1275074481964111,1.3462871313095093,0.7083333333333334,0.5625,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
20,1.4327168464660645,1.1214501857757568,1.3654807806015015,0.7166666666666667,0.5875,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
21,1.5245412588119507,1.1224615573883057,1.3843090534210205,0.7166666666666667,0.5875,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
22,1.3122061491012573,1.131366491317749,1.4075579643249512,0.7,0.5375,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
23,1.5055564641952515,1.142243504524231,1.4151641130447388,0.7,0.55,0.43137254901960786,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
24,1.4705296754837036,1.1552798748016357,1.4250777959823608,0.6916666666666667,0.525,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
25,1.346813678741455,1.1629834175109863,1.4270318746566772,0.6916666666666667,0.525,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
26,1.7267189025878906,1.1746822595596313,1.435517430305481,0.725,0.5375,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
27,1.453392744064331,1.1868982315063477,1.4461615085601807,0.725,0.5375,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
28,1.378515601158142,1.1852502822875977,1.4590590000152588,0.7333333333333333,0.5375,0.45098039215686275,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
29,1.3185099363327026,1.1801830530166626,1.4712793827056885,0.7416666666666667,0.5625,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
30,1.372275710105896,1.1782954931259155,1.4895994663238525,0.75,0.5625,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
31,1.341357946395874,1.1708765029907227,1.4933029413223267,0.775,0.575,0.47058823529411764,0.005,0.6,0.49019607843137253,6,Accuracy,higher,final,42
32,1.1853352785110474,1.1657298803329468,1.4946283102035522,0.775,0.5875,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
33,1.2610594034194946,1.1605103015899658,1.4923841953277588,0.7833333333333333,0.6,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
34,1.3610104322433472,1.1530876159667969,1.4875712394714355,0.775,0.6,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
35,1.3393491506576538,1.145032286643982,1.4803894758224487,0.7833333333333333,0.6,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
36,1.4793331623077393,1.1364054679870605,1.469596266746521,0.7666666666666667,0.5625,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
37,1.3211066722869873,1.1280676126480103,1.4625508785247803,0.775,0.575,0.47058823529411764,0.003,0.6,0.49019607843137253,6,Accuracy,higher,final,42
