event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.4944911301136017, 0.5051203370094299]",,,,1,,,,0.46433451771736145,0.5177327990531921,,0.03807317838072777,0.03496411815285683,,0.4944911301136017,0.5051203370094299,,,,,,,,,,,,
forward,0,train,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5063472986221313, 0.5118734240531921]",,,,1,,,,0.5176801681518555,0.5186868906021118,,0.021355092525482178,0.021339284256100655,,0.5063472986221313,0.5118734240531921,,,,,,,,,,,,
backward,0,train,0,0.005,2,,,,,,,,,,,,0,0.08468648503911877,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,2,,,,,,,,,,,,0,0.033513493149387605,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.49574100971221924, 0.5063701272010803]",,,,1,,,,0.5185689926147461,0.6006415486335754,,0.04013676941394806,0.04838467016816139,,0.49574100971221924,0.5063701272010803,0.9843894243240356,nan,nan,nan,0.9910923838615417,nan,nan,nan,,,,
forward,0,val,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.507597029209137, 0.5131226181983948]",,,,1,,,,0.5544896721839905,0.524905800819397,,0.01616957038640976,0.018085060641169548,,0.507597029209137,0.5131226181983948,0.944894015789032,nan,nan,nan,0.9988494515419006,nan,nan,nan,,,,
forward,0,test,0,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.49574100971221924, 0.5063701272010803]",,,,1,,,,0.5185689926147461,0.6006415486335754,,0.04013676941394806,0.04838467016816139,,0.49574100971221924,0.5063701272010803,0.9843894243240356,nan,nan,nan,0.9910923838615417,nan,nan,nan,,,,
forward,0,test,1,0.005,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.507597029209137, 0.5131226181983948]",,,,1,,,,0.5544896721839905,0.524905800819397,,0.01616956852376461,0.018085060641169548,,0.507597029209137,0.5131226181983948,0.944894015789032,nan,nan,nan,0.9988494515419006,nan,nan,nan,,,,
forward,50,train,0,0.00108,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5025529265403748, 0.5108282566070557]",,,,1,,,,0.8743844628334045,0.6754651069641113,,0.1188902035355568,0.14382371306419373,,0.5025529265403748,0.5108282566070557,,,,,,,,,,,,
forward,50,train,1,0.00108,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5155709981918335, 0.5246435403823853]",,,,1,,,,0.8043525815010071,0.8441130518913269,,0.1195702850818634,0.16999869048595428,,0.5155709981918335,0.5246435403823853,,,,,,,,,,,,
backward,50,train,0,0.00108,2,,,,,,,,,,,,0,0.11579277036941209,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.00108,2,,,,,,,,,,,,0,0.09566843999427739,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00108,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5026064515113831, 0.5109733939170837]",,,,1,,,,0.8753578066825867,0.6841496229171753,,0.11598764359951019,0.13809894025325775,,0.5026064515113831,0.5109733939170837,0.8303112983703613,0.11457822471857071,0.845898449420929,0.9259655475616455,0.9374457597732544,0.016257943585515022,0.9803377985954285,0.9257141351699829,,,,
forward,50,val,1,0.00108,2,2,"[""hop_1"", ""hop_2""]","[251, 2]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5156726837158203, 0.5246514081954956]",,,,1,,,,0.8252906203269958,0.8657336235046387,,0.10218966007232666,0.15859980881214142,,0.5156726837158203,0.5246514081954956,0.5365525484085083,0.2514646351337433,0.8836145401000977,0.7319151759147644,0.9708949327468872,0.012032943777740002,0.8012505173683167,0.9504685997962952,,,,
