epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.4944911301136017, 0.5051203370094299]",,0.4643345177173614,0.5177327990531921,,0.0380731783807277,0.0349641181528568,,0.4944911301136017,0.5051203370094299
0,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5063472986221313, 0.5118734240531921]",,0.5176801681518555,0.5186868906021118,,0.0213550925254821,0.0213392842561006,,0.5063472986221313,0.5118734240531921
0,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.49574100971221924, 0.5063701272010803]",,0.5185689926147461,0.6006415486335754,,0.040136769413948,0.0483846701681613,,0.4957410097122192,0.5063701272010803
0,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.507597029209137, 0.5131226181983948]",,0.5544896721839905,0.524905800819397,,0.0161695703864097,0.0180850606411695,,0.507597029209137,0.5131226181983948
0,test,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.49574100971221924, 0.5063701272010803]",,0.5185689926147461,0.6006415486335754,,0.040136769413948,0.0483846701681613,,0.4957410097122192,0.5063701272010803
0,test,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.507597029209137, 0.5131226181983948]",,0.5544896721839905,0.524905800819397,,0.0161695685237646,0.0180850606411695,,0.507597029209137,0.5131226181983948
50,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5025529265403748, 0.5108282566070557]",,0.8743844628334045,0.6754651069641113,,0.1188902035355568,0.1438237130641937,,0.5025529265403748,0.5108282566070557
50,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5155709981918335, 0.5246435403823853]",,0.8043525815010071,0.8441130518913269,,0.1195702850818634,0.1699986904859542,,0.5155709981918335,0.5246435403823853
50,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5026064515113831, 0.5109733939170837]",,0.8753578066825867,0.6841496229171753,,0.1159876435995101,0.1380989402532577,,0.5026064515113831,0.5109733939170837
50,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5156726837158203, 0.5246514081954956]",,0.8252906203269958,0.8657336235046387,,0.1021896600723266,0.1585998088121414,,0.5156726837158203,0.5246514081954956
50,test,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5026064515113831, 0.5109733939170837]",,0.8753578066825867,0.6841496229171753,,0.1159876435995101,0.1380989402532577,,0.5026064515113831,0.5109733939170837
50,test,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5156726837158203, 0.5246514081954956]",,0.8252906203269958,0.8657336235046387,,0.1021896600723266,0.1585998088121414,,0.5156726837158203,0.5246514081954956
100,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5032931566238403, 0.5125625729560852]",,0.8807269930839539,0.7081137299537659,,0.116069883108139,0.1354898661375045,,0.5032931566238403,0.5125625729560852
100,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5168605446815491, 0.5252559185028076]",,0.8339166045188904,0.8531409502029419,,0.119417056441307,0.1587755531072616,,0.5168605446815491,0.5252559185028076
100,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5032976269721985, 0.5125733017921448]",,0.8809289932250977,0.7085573673248291,,0.1141958236694336,0.1350429654121399,,0.5032976269721985,0.5125733017921448
100,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5168670415878296, 0.5252653360366821]",,0.8391391038894653,0.865145206451416,,0.1012962535023689,0.1591849625110626,,0.5168670415878296,0.5252653360366821
100,test,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5032976269721985, 0.5125733017921448]",,0.8809289932250977,0.7085573673248291,,0.1141958236694336,0.1350429654121399,,0.5032976269721985,0.5125733017921448
100,test,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5168670415878296, 0.5252653360366821]",,0.8391391038894653,0.865145206451416,,0.1012962460517883,0.1591849625110626,,0.5168670415878296,0.5252653360366821
150,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.503417432308197, 0.5127694606781006]",,0.8823325634002686,0.713530957698822,,0.1130190193653106,0.1393483281135559,,0.503417432308197,0.5127694606781006
150,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170078873634338, 0.5254064202308655]",,0.8278484344482422,0.854170560836792,,0.1166454553604126,0.1648744493722915,,0.5170078873634338,0.5254064202308655
150,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5034183263778687, 0.5127701759338379]",,0.8819468021392822,0.7119936943054199,,0.1137807518243789,0.1347875297069549,,0.5034183263778687,0.5127701759338379
150,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170090198516846, 0.5254064798355103]",,0.8404892086982727,0.8664206862449646,,0.1013487353920936,0.1589029431343078,,0.5170090198516846,0.5254064798355103
150,test,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5034183263778687, 0.5127701759338379]",,0.8819468021392822,0.7119936943054199,,0.1137807518243789,0.1347875297069549,,0.5034183263778687,0.5127701759338379
150,test,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170090198516846, 0.5254064798355103]",,0.8404892086982727,0.8664206862449646,,0.1013487353920936,0.1589029431343078,,0.5170090198516846,0.5254064798355103
200,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5034576058387756, 0.5128170847892761]",,0.8806054592132568,0.7141451239585876,,0.1142162680625915,0.134496733546257,,0.5034576058387756,0.5128170847892761
200,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170639157295227, 0.5254388451576233]",,0.8247926831245422,0.8485572338104248,,0.1291865110397339,0.1752518713474273,,0.5170639157295227,0.5254388451576233
200,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5034583210945129, 0.5128180980682373]",,0.8823086023330688,0.7128056883811951,,0.113574095070362,0.1347624957561493,,0.5034583210945129,0.5128180980682373
200,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170648097991943, 0.5254395604133606]",,0.8409314155578613,0.8666856288909912,,0.1012738943099975,0.1588156819343567,,0.5170648097991943,0.5254395604133606
200,test,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5034583210945129, 0.5128180980682373]",,0.8823086023330688,0.7128056883811951,,0.113574095070362,0.1347624957561493,,0.5034583210945129,0.5128180980682373
200,test,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5170648097991943, 0.5254395604133606]",,0.8409314155578613,0.8666856288909912,,0.1012738943099975,0.1588156819343567,,0.5170648097991943,0.5254395604133606
250,train,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.503500759601593, 0.5128920674324036]",,0.8822126388549805,0.7121392488479614,,0.1191936731338501,0.1401114612817764,,0.503500759601593,0.5128920674324036
250,train,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5171176791191101, 0.525480329990387]",,0.8302282691001892,0.8472362756729126,,0.1136851236224174,0.1773829460144043,,0.5171176791191101,0.525480329990387
250,val,0,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 64]","[false, false]","[0.5035015940666199, 0.5128939151763916]",,0.8826701045036316,0.7142747640609741,,0.1134267672896385,0.1345437169075012,,0.5035015940666199,0.5128939151763916
250,val,1,2,,,,"[251, 2]",2.0,"[""hop_1"", ""hop_2""]","[251, 2]",,"[251, 2, 5]","[false, false]","[0.5171189904212952, 0.5254811644554138]",,0.8413406014442444,0.8670975565910339,,0.101297378540039,0.1587563753128051,,0.5171189904212952,0.5254811644554138
