epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.49860677123069763, 0.5055195689201355, 0.5033444762229919, 0.5058656930923462]",0.4899418652057647,0.4907955527305603,0.5345852375030518,0.4910643100738525,0.0342700034379959,0.0413780137896537,0.0366864837706089,0.0369723439216613,0.4986067712306976,0.5055195689201355,0.5033444762229919,0.5058656930923462
0,val,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.49985674023628235, 0.5042697191238403, 0.502094566822052, 0.5071154832839966]",0.5335816144943237,0.4938839077949524,0.5064791440963745,0.5088328123092651,0.0534367896616458,0.0538851767778396,0.0489501804113388,0.0513592921197414,0.4998567402362823,0.5042697191238403,0.502094566822052,0.5071154832839966
0,test,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.49985674023628235, 0.5042697191238403, 0.502094566822052, 0.5071154832839966]",0.5335816144943237,0.4938839077949524,0.5064791440963745,0.5088328123092651,0.0534367896616458,0.0538851767778396,0.0489501804113388,0.0513592921197414,0.4998567402362823,0.5042697191238403,0.502094566822052,0.5071154832839966
50,train,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5171505212783813, 0.521274745464325, 0.5259304642677307, 0.521240234375]",0.9687156677246094,0.8953685164451599,0.8902909159660339,0.6028023362159729,0.0555250234901905,0.1209719106554985,0.1033202558755874,0.2602768540382385,0.5171505212783813,0.521274745464325,0.5259304642677307,0.521240234375
50,val,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5171574354171753, 0.5212917923927307, 0.5259573459625244, 0.521257758140564]",0.9696592688560486,0.8973230123519897,0.8911296725273132,0.6063524484634399,0.0542405880987644,0.1161547005176544,0.1025798916816711,0.2597205340862274,0.5171574354171753,0.5212917923927307,0.5259573459625244,0.521257758140564
50,test,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5171574354171753, 0.5212917923927307, 0.5259573459625244, 0.521257758140564]",0.9696592688560486,0.8973230123519897,0.8911296725273132,0.6063524484634399,0.0542405880987644,0.1161547005176544,0.1025798916816711,0.2597205340862274,0.5171574354171753,0.5212917923927307,0.5259573459625244,0.521257758140564
100,train,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172582268714905, 0.5214822292327881, 0.5266358852386475, 0.521550178527832]",0.969375729560852,0.8946376442909241,0.8908071517944336,0.6025687456130981,0.0544823072850704,0.1178256645798683,0.1029433161020279,0.2607979774475097,0.5172582268714905,0.5214822292327881,0.5266358852386475,0.521550178527832
100,val,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172587037086487, 0.5214837789535522, 0.5266402959823608, 0.5215558409690857]",0.9695833325386048,0.8972154259681702,0.8912646174430847,0.6072055697441101,0.0541257560253143,0.1147361472249031,0.1006315574049949,0.2579737603664398,0.5172587037086487,0.5214837789535522,0.5266402959823608,0.5215558409690857
100,test,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172587037086487, 0.5214837789535522, 0.5266402959823608, 0.5215558409690857]",0.9695833325386048,0.8972154259681702,0.8912646174430847,0.6072055697441101,0.0541257560253143,0.1147361472249031,0.1006315574049949,0.2579737603664398,0.5172587037086487,0.5214837789535522,0.5266402959823608,0.5215558409690857
150,train,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172690749168396, 0.5215162634849548, 0.5267073512077332, 0.5216150283813477]",0.9684712886810304,0.8971537947654724,0.8890303373336792,0.6092485189437866,0.0552200973033905,0.1165736839175224,0.0986965298652648,0.2563148736953735,0.5172690749168396,0.5215162634849548,0.5267073512077332,0.5216150283813477
150,val,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172691345214844, 0.5215164422988892, 0.5267078876495361, 0.5216153264045715]",0.9695621132850648,0.8972856402397156,0.8909586071968079,0.6078450083732605,0.0541185103356838,0.1144991740584373,0.100513719022274,0.2577263116836548,0.5172691345214844,0.5215164422988892,0.5267078876495361,0.5216153264045715
150,test,0,4,,,,"[251, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[251, 4]",,"[251, 4, 64]","[false, false, false, false]","[0.5172691345214844, 0.5215164422988892, 0.5267078876495361, 0.5216153264045715]",0.9695621132850648,0.8972856402397156,0.8909586071968079,0.6078450083732605,0.0541185103356838,0.1144991740584373,0.100513719022274,0.2577263116836548,0.5172691345214844,0.5215164422988892,0.5267078876495361,0.5216153264045715
