epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.5923011302947998,1.3053858280181885,1.316963791847229,0.6583333333333333,0.6125,0.6078431372549019,0.005,0.6125,0.6078431372549019,0,Accuracy,higher,final,42
1,1.2066978216171265,1.1897777318954468,1.2041219472885132,0.7416666666666667,0.65,0.6078431372549019,0.005,0.65,0.6078431372549019,1,Accuracy,higher,final,42
2,0.9170514941215515,1.1036728620529175,1.1172388792037964,0.8166666666666667,0.7125,0.6470588235294118,0.005,0.7125,0.6470588235294118,2,Accuracy,higher,final,42
3,0.697529137134552,1.0200570821762085,1.0588691234588623,0.8416666666666667,0.7375,0.6862745098039216,0.005,0.7375,0.6862745098039216,3,Accuracy,higher,final,42
4,0.5051718354225159,0.9170328378677368,1.0087437629699707,0.925,0.75,0.7058823529411765,0.005,0.75,0.7058823529411765,4,Accuracy,higher,final,42
5,0.3620964586734772,0.8152261972427368,0.9766417145729065,0.9666666666666667,0.75,0.7058823529411765,0.005,0.75,0.7058823529411765,4,Accuracy,higher,final,42
6,0.24922917783260345,0.7401776313781738,1.0005617141723633,0.9833333333333333,0.7375,0.7254901960784313,0.005,0.75,0.7058823529411765,4,Accuracy,higher,final,42
7,0.16356872022151947,0.6890436410903931,1.0737919807434082,0.9833333333333333,0.7375,0.7058823529411765,0.005,0.75,0.7058823529411765,4,Accuracy,higher,final,42
8,0.13016334176063538,0.6541507840156555,1.1724673509597778,0.9916666666666667,0.75,0.7058823529411765,0.005,0.75,0.7058823529411765,4,Accuracy,higher,final,42
9,0.10589417070150375,0.6309791803359985,1.2563042640686035,0.9916666666666667,0.7625,0.7254901960784313,0.005,0.7625,0.7254901960784313,9,Accuracy,higher,final,42
10,0.06897415220737457,0.6122106313705444,1.3233022689819336,0.9916666666666667,0.7625,0.7058823529411765,0.005,0.7625,0.7254901960784313,9,Accuracy,higher,final,42
11,0.06164783611893654,0.5947462916374207,1.376686453819275,0.9916666666666667,0.7875,0.7058823529411765,0.005,0.7875,0.7058823529411765,11,Accuracy,higher,final,42
12,0.037459731101989746,0.5816484689712524,1.4233715534210205,0.9916666666666667,0.7875,0.7058823529411765,0.005,0.7875,0.7058823529411765,11,Accuracy,higher,final,42
13,0.04293898865580559,0.5767248272895813,1.4608091115951538,0.9916666666666667,0.8,0.7254901960784313,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
14,0.02906855382025242,0.5784538388252258,1.5017361640930176,0.9916666666666667,0.7875,0.7254901960784313,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
15,0.02916114404797554,0.5874098539352417,1.548298954963684,0.9916666666666667,0.8,0.7254901960784313,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
16,0.023388586938381195,0.6023061275482178,1.602053165435791,0.9916666666666667,0.775,0.6862745098039216,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
17,0.01940324157476425,0.6223261952400208,1.662447452545166,1.0,0.7625,0.6666666666666666,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
18,0.016723642125725746,0.6456348299980164,1.7227483987808228,1.0,0.75,0.6862745098039216,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
19,0.00948129128664732,0.6683012247085571,1.774704933166504,1.0,0.7375,0.6862745098039216,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
20,0.008289561606943607,0.69047611951828,1.819812536239624,1.0,0.7375,0.7254901960784313,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
21,0.006333151366561651,0.7092649340629578,1.8549104928970337,1.0,0.75,0.7058823529411765,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
22,0.008180450648069382,0.7254437208175659,1.8795664310455322,1.0,0.75,0.7058823529411765,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
23,0.004731084685772657,0.7374516725540161,1.895113468170166,1.0,0.75,0.7058823529411765,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
24,0.004300213884562254,0.7480438947677612,1.9046295881271362,1.0,0.75,0.7058823529411765,0.005,0.8,0.7254901960784313,13,Accuracy,higher,final,42
25,0.0042590308003127575,0.7527116537094116,1.9072067737579346,1.0,0.75,0.7058823529411765,0.003,0.8,0.7254901960784313,13,Accuracy,higher,final,42
26,0.0024381454568356276,0.7568276524543762,1.907825231552124,1.0,0.75,0.7058823529411765,0.003,0.8,0.7254901960784313,13,Accuracy,higher,final,42
